t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.3294533125727099,0.33095011784923756,train
1,0.2,0.3477865957998329,0.34934182035275485,train
2,0.3,0.37813105956507614,0.3796043607785863,train
3,0.3,0.42691676678871104,0.4281221083817673,train
4,0.5,0.5050334678507381,0.5056909256697603,train
5,0.8,0.6316754443348241,0.6313278672106485,train
6,0.9,0.8417404086302728,0.8396162047074212,train
7,1.4,1.1996162823601564,1.1944455971446266,train
8,2.1,1.8215323556394842,1.81149147210697,train
9,2.9,2.8941584105131573,2.8777717915531933,train
10,4.1,4.602596839481327,4.582901197552172,train
11,6.7,6.688535957810531,6.680549734348118,train
12,8.9,7.6887060770380815,7.7038743094378175,train
13,6.9,6.762483132755891,6.769266283925404,train
14,5.4,5.954138904749224,5.9618440806946955,train
15,4.2,5.2405223095339935,5.2464277021267804,train
16,3.9,4.612950109530231,4.618079625100726,train
17,3.5,4.060414711896946,4.0646939503229556,train
18,3.5,3.57408150435711,3.5776743616851605,train
19,3.4,3.1459964217806347,3.1490016761294926,train
20,3.3,2.76918523602225,2.771692340421014,train
21,3.3,2.4375065486171876,2.4395917324198635,train
22,2.7,2.1455546194999084,2.147282992499187,train
23,2.1,1.8885711827130307,1.8899983095209807,train
24,1.9,1.6623678930322086,1.663541145967435,train
25,1.7,1.4632580636026098,1.4642177881341436,train
26,1.7,1.287996579863655,1.2887770983549038,train
27,1.3,1.133727010297172,1.1343574860967862,train
28,0.9,0.9979350519811246,0.9984402329209098,train
29,0.7,0.8784075521952172,0.8788084099887075,train
30,0.5,0.7731964382069517,0.7735107180203339,train
31,0.4,0.6805869673614734,0.6808296599028938,validation
32,0.3,0.5990697800114946,0.5992535268158348,validation
33,0.3,0.5273162998027588,0.5274517409427488,validation
34,0.3,0.46415708038610315,0.4642531525877029,validation
35,0.2,0.4085627456483731,0.4086269377031477,validation
36,0.2,0.3596272128239144,0.3596657842514349,validation
37,0.2,0.31655292505501015,0.31657109315484644,validation
38,0.2,0.2786378527198606,0.27863995244873363,validation
39,0.2,0.2452640516742762,0.24525367217485322,validation
40,0.2,0.21588759192801052,0.2158676930090195,validation
41,0.1,0.19002969261215902,0.19000270402399555,test
42,0.1,0.167268918754318,0.1672368247105966,test
43,0.1,0.14723431268366155,0.14719872373895698,test
44,0.1,0.1295993481207975,0.12956156222096063,test
45,0.1,0.11407660841547508,0.11403766268316722,test
46,0.1,0.10041310219745858,0.1003738167965371,test
47,0.1,0.0883861400945146,0.08834715532793826,test
48,0.1,0.07779970531579578,0.07776151294874473,test
49,0.1,0.06848125894797738,0.06844422860738765,test
50,0.1,0.06027892789650165,0.06024332927714673,test
51,0.0,0.05305902964067747,0.05302505114365462,test
