origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7295657964472189,0.32956579644721884,0.32956579644721884
32,32,1,0.3,0.6328647290243977,0.33286472902439773,0.33286472902439773
33,33,1,0.3,0.5488503789966116,0.2488503789966116,0.2488503789966116
34,34,1,0.3,0.47808953609518673,0.17808953609518674,0.17808953609518674
35,35,1,0.2,0.4179265882643195,0.2179265882643195,0.2179265882643195
36,36,1,0.2,0.3646815472820421,0.1646815472820421,0.1646815472820421
37,37,1,0.2,0.31901144140521503,0.11901144140521502,0.11901144140521502
38,38,1,0.2,0.2796231582408774,0.0796231582408774,0.0796231582408774
39,39,1,0.2,0.24551609101849997,0.04551609101849996,0.04551609101849996
40,40,1,0.2,0.2158617950424293,0.015861795042429294,0.015861795042429294
41,41,1,0.1,0.19000276783331196,0.09000276783331196,0.09000276783331196
42,42,1,0.1,0.16683670433518655,0.06683670433518654,0.06683670433518654
43,43,1,0.1,0.14661924365093496,0.04661924365093495,0.04661924365093495
44,44,1,0.1,0.12894144469283303,0.028941444692833024,0.028941444692833024
45,45,1,0.1,0.1134610673382293,0.013461067338229299,0.013461067338229299
46,46,1,0.1,0.09988269792809402,-0.00011730207190598085,0.00011730207190598085
47,47,1,0.1,0.08796854461342668,-0.012031455386573325,0.012031455386573325
48,48,1,0.1,0.0774977063993721,-0.0225022936006279,0.0225022936006279
49,49,1,0.1,0.06829344807642687,-0.031706551923573134,0.031706551923573134
50,50,1,0.1,0.06019508164578522,-0.039804918354214784,0.039804918354214784
51,51,1,0.0,0.05306311738223059,0.05306311738223059,0.05306311738223059
31,32,2,0.3,0.6448068916751851,0.34480689167518513,0.34480689167518513
32,33,2,0.3,0.5587539503802308,0.2587539503802308,0.2587539503802308
33,34,2,0.3,0.4841077875464626,0.18410778754646262,0.18410778754646262
34,35,2,0.2,0.4214233520583429,0.2214233520583429,0.2214233520583429
35,36,2,0.2,0.368242149264106,0.16824214926410597,0.16824214926410597
36,37,2,0.2,0.32118737503518324,0.12118737503518323,0.12118737503518323
37,38,2,0.2,0.2808798092685255,0.0808798092685255,0.0808798092685255
38,39,2,0.2,0.24615773788095852,0.046157737880958505,0.046157737880958505
39,40,2,0.2,0.21610066762136118,0.01610066762136117,0.01610066762136117
40,41,2,0.1,0.18999605859688082,0.08999605859688081,0.08999605859688081
41,42,2,0.1,0.1672367177849333,0.06723671778493329,0.06723671778493329
42,43,2,0.1,0.14683367639458997,0.04683367639458996,0.04683367639458996
43,44,2,0.1,0.12903379029071763,0.02903379029071762,0.02903379029071762
44,45,2,0.1,0.11347670887683685,0.013476708876836843,0.013476708876836843
45,46,2,0.1,0.09984963544871761,-0.0001503645512823948,0.0001503645512823948
46,47,2,0.1,0.08790506532853593,-0.01209493467146408,0.01209493467146408
47,48,2,0.1,0.0774206832197727,-0.0225793167802273,0.0225793167802273
48,49,2,0.1,0.06821047428099825,-0.03178952571900176,0.03178952571900176
49,50,2,0.1,0.06010791449342836,-0.039892085506571646,0.039892085506571646
50,51,2,0.0,0.05298109351316097,0.05298109351316097,0.05298109351316097
31,34,4,0.3,0.503688141032407,0.203688141032407,0.203688141032407
32,35,4,0.2,0.4355374294843149,0.2355374294843149,0.2355374294843149
33,36,4,0.2,0.37663461905079554,0.17663461905079553,0.17663461905079553
34,37,4,0.2,0.3274473783992504,0.1274473783992504,0.1274473783992504
35,38,4,0.2,0.28592216142566995,0.08592216142566994,0.08592216142566994
36,39,4,0.2,0.24912792557920488,0.04912792557920487,0.04912792557920487
37,40,4,0.2,0.21775061366347814,0.017750613663478132,0.017750613663478132
38,41,4,0.1,0.19075532641595355,0.09075532641595355,0.09075532641595355
39,42,4,0.1,0.16743350444285196,0.06743350444285195,0.06743350444285195
40,43,4,0.1,0.14719221551262382,0.047192215512623814,0.047192215512623814
41,44,4,0.1,0.12956076731949018,0.029560767319490172,0.029560767319490172
42,45,4,0.1,0.11373836684535252,0.013738366845352512,0.013738366845352512
43,46,4,0.1,0.09993933117970392,-6.0668820296080894e-05,6.0668820296080894e-05
44,47,4,0.1,0.08788923005557533,-0.01211076994442467,0.01211076994442467
45,48,4,0.1,0.0773313827797005,-0.022668617220299503,0.022668617220299503
46,49,4,0.1,0.06808325455860714,-0.03191674544139286,0.03191674544139286
47,50,4,0.1,0.0599657724383683,-0.040034227561631705,0.040034227561631705
48,51,4,0.0,0.052832427677810344,0.052832427677810344,0.052832427677810344
