t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.2101294059501713,0.20990848290906944,train
1,0.2,0.1844823008217505,0.1843291150611242,train
2,0.3,0.30275249838760404,0.30245983028834167,train
3,0.3,0.3795023907798428,0.37917378464021584,train
4,0.5,0.5149377584617699,0.514492153873688,train
5,0.8,0.6850160728630151,0.6844591452554605,train
6,0.9,0.9401680055221944,0.9394384111859688,train
7,1.4,1.325565398001999,1.3246071989831325,train
8,2.1,1.9392775975912948,1.9379961285919929,train
9,2.9,2.923002228060001,2.9213198709243278,train
10,4.1,4.438696684905602,4.436666001732151,train
11,6.7,6.40936999568641,6.407512547518384,train
12,8.9,7.821302817300223,7.820797522240386,train
13,6.9,6.866660579276397,6.867739155723373,train
14,5.4,6.028582420282151,6.030859967826477,train
15,4.2,5.292731675810373,5.295908074210129,train
16,3.9,4.64679797124559,4.650606488165983,train
17,3.5,4.07953072012103,4.083792345837252,train
18,3.5,3.581784055110309,3.5862952068963527,train
19,3.4,3.144337831856032,3.1490313501407874,train
20,3.3,2.7609657040809616,2.765645416671986,train
21,3.3,2.423426837607194,2.4281424799339475,train
22,2.7,2.1283161911667223,2.132844376662415,train
23,2.1,1.8678117159750525,1.8722892413796073,train
24,1.9,1.640525862416115,1.6447416210031949,train
25,1.7,1.439754402570991,1.443834036612656,train
26,1.7,1.2643677682563998,1.2681948675014445,train
27,1.3,1.1098812858381755,1.1135032564878318,train
28,0.9,0.9744728786525926,0.97786432293163,train
29,0.7,0.8555227644055692,0.858690997363697,train
30,0.5,0.7511039160503195,0.7540522216670149,train
31,0.4,0.6594288152858657,0.662163732330159,validation
32,0.3,0.5789429872097035,0.5814727155683419,validation
33,0.3,0.5082807618171676,0.5106146725701396,validation
34,0.3,0.44624313311445796,0.4483913631485218,validation
35,0.2,0.3917774362756861,0.39375056237199396,validation
36,0.2,0.3439594879140885,0.34576826872828015,validation
37,0.2,0.3019779047067772,0.30363307910546933,validation
38,0.2,0.26512033577237304,0.2666324676450923,validation
39,0.2,0.23276137539571554,0.2341407366114539,validation
40,0.2,0.20435195103996862,0.20560843555402578,validation
41,0.1,0.1794100065894624,0.18055306984388333,test
42,0.1,0.15751232273756946,0.15855094146340543,test
43,0.1,0.13828733572738203,0.13922998407387727,test
44,0.1,0.12140883259263147,0.12226347119887977,test
45,0.1,0.1065904159187108,0.10736449112599104,test
46,0.1,0.09358064420094307,0.09428109509483212,test
47,0.1,0.08215876534086301,0.08279203672505565,test
48,0.1,0.07213097088573645,0.07270303063600979,test
49,0.1,0.06332710745260002,0.06384346698958161,test
50,0.1,0.055597789535687864,0.056063526397596646,test
51,0.0,0.04881186470685531,0.04923164640550323,test
