t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.22707920341044302,0.22694716557864725,train
1,0.2,0.19934955161294374,0.1992616223065753,train
2,0.3,0.31685890295771774,0.3166919104079923,train
3,0.3,0.3939248838121275,0.39373912809001854,train
4,0.5,0.52700299213245,0.5267492528875414,train
5,0.8,0.6954773547580446,0.6951538801535316,train
6,0.9,0.9478226170332136,0.9473835195888353,train
7,1.4,1.330562383542331,1.329953993101413,train
8,2.1,1.9413367521675287,1.940460286391723,train
9,2.9,2.9228675580983,2.9215896883842856,train
10,4.1,4.437966200804952,4.43615422042448,train
11,6.7,6.411180439446488,6.40891761182243,train
12,8.9,7.827212455487821,7.8252012771266495,train
13,6.9,6.871373693664615,6.8705732166494755,train
14,5.4,6.032305095243968,6.032449381665076,train
15,4.2,5.295632707723027,5.296503528321079,train
16,3.9,4.649026776149465,4.6504439299315985,train
17,3.5,4.08120193150792,4.0830200943528245,train
18,3.5,3.5830088851287276,3.585107711999666,train
19,3.4,3.145191375638698,3.1474768029551092,train
20,3.3,2.761526096655734,2.763920062215012,train
21,3.3,2.423758014440092,2.42620002094993,train
22,2.7,2.128439613257173,2.130884665599445,train
23,2.1,1.8678291049675446,1.8702342206330451,train
24,1.9,1.6403752548948298,1.642723097743186,train
25,1.7,1.4395797937126482,1.4418372255901017,train
26,1.7,1.2640793945874085,1.2662441515552256,train
27,1.3,1.1095817332838238,1.111635068551152,train
28,0.9,0.9741291786518064,0.9760702377248707,train
29,0.7,0.8551657644440823,0.8569897804775877,train
30,0.5,0.7507381907026383,0.7524451862221353,train
31,0.4,0.6590622360109509,0.6606535675282227,validation
32,0.3,0.5785812178622755,0.5800596899351288,validation
33,0.3,0.5079280919002822,0.5092975482034994,validation
34,0.3,0.4459027328552276,0.44716776011379933,validation
35,0.2,0.39145156619264904,0.3926172554901004,validation
36,0.2,0.3436496737053278,0.34472142903210057,validation
37,0.2,0.301685082978721,0.3026684690072384,validation
38,0.2,0.2648449751371019,0.26574559749546545,validation
39,0.2,0.232503576780323,0.23332698915844127,validation
40,0.2,0.20411153047903444,0.20486316380062514,validation
41,0.1,0.17918656328237972,0.1798716729402124,test
42,0.1,0.15730529473466884,0.15792892253482377,test
43,0.1,0.13809604525120933,0.13866299326181744,test
44,0.1,0.12123252269498007,0.121747336660415,test
45,0.1,0.10642827991353451,0.10689524028863405,test
46,0.1,0.09343184909073916,0.09385496808205039,test
47,0.1,0.0820224702644216,0.0824054935456812,test
48,0.1,0.07200634145360735,0.07235275345853684,test
49,0.1,0.06321332669948403,0.06352635859306897,test
50,0.1,0.05549406610232744,0.055776705697943,test
51,0.0,0.04871743876426752,0.0489724417928876,test
