origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7260907666156182,0.3260907666156182,0.3260907666156182
32,32,1,0.3,0.6413251177978799,0.34132511779787994,0.34132511779787994
33,33,1,0.3,0.5296554972067458,0.22965549720674577,0.22965549720674577
34,34,1,0.3,0.4711524271489727,0.17115242714897272,0.17115242714897272
35,35,1,0.2,0.4237578042120791,0.22375780421207908,0.22375780421207908
36,36,1,0.2,0.3836077493711379,0.18360774937113788,0.18360774937113788
37,37,1,0.2,0.3498396114961623,0.14983961149616226,0.14983961149616226
38,38,1,0.2,0.3210261233461423,0.12102612334614227,0.12102612334614227
39,39,1,0.2,0.2962334322565617,0.09623343225656167,0.09623343225656167
40,40,1,0.2,0.2745217747693758,0.07452177476937577,0.07452177476937577
41,41,1,0.1,0.25555728351112167,0.15555728351112166,0.15555728351112166
42,42,1,0.1,0.23835534447333906,0.13835534447333905,0.13835534447333905
43,43,1,0.1,0.2230432249683991,0.12304322496839909,0.12304322496839909
44,44,1,0.1,0.20948611446542084,0.10948611446542084,0.10948611446542084
45,45,1,0.1,0.19707095531316215,0.09707095531316215,0.09707095531316215
46,46,1,0.1,0.18601548656845734,0.08601548656845734,0.08601548656845734
47,47,1,0.1,0.17605270474336063,0.07605270474336062,0.07605270474336062
48,48,1,0.1,0.1669835779714033,0.06698357797140331,0.06698357797140331
49,49,1,0.1,0.15860518083707645,0.05860518083707644,0.05860518083707644
50,50,1,0.1,0.15103613203540228,0.051036132035402276,0.051036132035402276
51,51,1,0.0,0.1441108592460894,0.1441108592460894,0.1441108592460894
31,32,2,0.3,0.7405997706871088,0.4405997706871088,0.4405997706871088
32,33,2,0.3,0.6824092792786667,0.3824092792786667,0.3824092792786667
33,34,2,0.3,0.46210194319664927,0.16210194319664928,0.16210194319664928
34,35,2,0.2,0.4054858177132441,0.2054858177132441,0.2054858177132441
35,36,2,0.2,0.35271027755738205,0.15271027755738203,0.15271027755738203
36,37,2,0.2,0.309150267383038,0.10915026738303801,0.10915026738303801
37,38,2,0.2,0.31504396407981633,0.11504396407981632,0.11504396407981632
38,39,2,0.2,0.2871277414338794,0.08712774143387941,0.08712774143387941
39,40,2,0.2,0.2630777642022712,0.06307776420227118,0.06307776420227118
40,41,2,0.1,0.2422331234301354,0.1422331234301354,0.1422331234301354
41,42,2,0.1,0.22395964980801247,0.12395964980801247,0.12395964980801247
42,43,2,0.1,0.2075660111578326,0.1075660111578326,0.1075660111578326
43,44,2,0.1,0.1926938462206458,0.0926938462206458,0.0926938462206458
44,45,2,0.1,0.1802705705516548,0.08027057055165479,0.08027057055165479
45,46,2,0.1,0.16918837074098772,0.06918837074098771,0.06918837074098771
46,47,2,0.1,0.158498253716013,0.058498253716013,0.058498253716013
47,48,2,0.1,0.1553022159497469,0.05530221594974691,0.05530221594974691
48,49,2,0.1,0.14789463217319304,0.047894632173193036,0.047894632173193036
49,50,2,0.1,0.14081823983418348,0.04081823983418348,0.04081823983418348
50,51,2,0.0,0.1353598330875642,0.1353598330875642,0.1353598330875642
31,34,4,0.3,0.7414562955181212,0.4414562955181212,0.4414562955181212
32,35,4,0.2,0.44867540587544996,0.24867540587544995,0.24867540587544995
33,36,4,0.2,0.3944384567535801,0.19443845675358007,0.19443845675358007
34,37,4,0.2,0.3527726680427417,0.1527726680427417,0.1527726680427417
35,38,4,0.2,0.31881621288777057,0.11881621288777056,0.11881621288777056
36,39,4,0.2,0.2895241596073264,0.0895241596073264,0.0895241596073264
37,40,4,0.2,0.2646380417411331,0.06463804174113308,0.06463804174113308
38,41,4,0.1,0.24321012557715962,0.14321012557715962,0.14321012557715962
39,42,4,0.1,0.22455343772301953,0.12455343772301952,0.12455343772301952
40,43,4,0.1,0.2082152882215169,0.10821528822151688,0.10821528822151688
41,44,4,0.1,0.193753556235921,0.09375355623592099,0.09375355623592099
42,45,4,0.1,0.1806576574886247,0.08065765748862469,0.08065765748862469
43,46,4,0.1,0.16900168291350012,0.06900168291350012,0.06900168291350012
44,47,4,0.1,0.15858460177094574,0.05858460177094574,0.05858460177094574
45,48,4,0.1,0.14925193986545934,0.04925193986545934,0.04925193986545934
46,49,4,0.1,0.14090646331773307,0.040906463317733066,0.040906463317733066
47,50,4,0.1,0.13343410804712194,0.033434108047121935,0.033434108047121935
48,51,4,0.0,0.1268568386285932,0.1268568386285932,0.1268568386285932
