origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7883445727162567,0.38834457271625666,0.38834457271625666
32,32,1,0.3,0.6788883312667613,0.3788883312667613,0.3788883312667613
33,33,1,0.3,0.5698043239321836,0.2698043239321836,0.2698043239321836
34,34,1,0.3,0.4916821268810025,0.1916821268810025,0.1916821268810025
35,35,1,0.2,0.4288127150705159,0.22881271507051587,0.22881271507051587
36,36,1,0.2,0.37171449946776947,0.17171449946776945,0.17171449946776945
37,37,1,0.2,0.3220967415560751,0.12209674155607508,0.12209674155607508
38,38,1,0.2,0.28181490350179916,0.08181490350179915,0.08181490350179915
39,39,1,0.2,0.24667768053662756,0.04667768053662755,0.04667768053662755
40,40,1,0.2,0.21557381389152697,0.015573813891526955,0.015573813891526955
41,41,1,0.1,0.18946857275194895,0.08946857275194894,0.08946857275194894
42,42,1,0.1,0.1656668386045604,0.0656668386045604,0.0656668386045604
43,43,1,0.1,0.14495838076939388,0.044958380769393874,0.044958380769393874
44,44,1,0.1,0.12715990162819446,0.027159901628194455,0.027159901628194455
45,45,1,0.1,0.1115252710373274,0.011525271037327395,0.011525271037327395
46,46,1,0.1,0.09789292914052036,-0.002107070859479643,0.002107070859479643
47,47,1,0.1,0.08595359224944168,-0.01404640775055832,0.01404640775055832
48,48,1,0.1,0.07556633948590996,-0.024433660514090044,0.024433660514090044
49,49,1,0.1,0.06635901383313247,-0.03364098616686753,0.03364098616686753
50,50,1,0.1,0.05833665773070478,-0.041663342269295224,0.041663342269295224
51,51,1,0.0,0.05130027738038263,0.05130027738038263,0.05130027738038263
31,32,2,0.3,0.6834092312743433,0.3834092312743433,0.3834092312743433
32,33,2,0.3,0.5874692720622378,0.28746927206223777,0.28746927206223777
33,34,2,0.3,0.5045240713120335,0.20452407131203348,0.20452407131203348
34,35,2,0.2,0.43520263821390515,0.23520263821390514,0.23520263821390514
35,36,2,0.2,0.3767480288060048,0.17674802880600476,0.17674802880600476
36,37,2,0.2,0.3270112494991996,0.12701124949919956,0.12701124949919956
37,38,2,0.2,0.2841672463458498,0.08416724634584977,0.08416724634584977
38,39,2,0.2,0.24732717507938756,0.04732717507938755,0.04732717507938755
39,40,2,0.2,0.216323325793489,0.016323325793488996,0.016323325793488996
40,41,2,0.1,0.18964760679371484,0.08964760679371483,0.08964760679371483
41,42,2,0.1,0.16670825944251244,0.06670825944251244,0.06670825944251244
42,43,2,0.1,0.14574043047677795,0.04574043047677795,0.04574043047677795
43,44,2,0.1,0.12758783741777754,0.02758783741777754,0.02758783741777754
44,45,2,0.1,0.11172191712739579,0.011721917127395787,0.011721917127395787
45,46,2,0.1,0.09796848716171395,-0.002031512838286051,0.002031512838286051
46,47,2,0.1,0.08604268578481168,-0.013957314215188324,0.013957314215188324
47,48,2,0.1,0.0755240394976973,-0.024475960502302704,0.024475960502302704
48,49,2,0.1,0.06639454803974999,-0.03360545196025001,0.03360545196025001
49,50,2,0.1,0.058354236412314166,-0.04164576358768584,0.04164576358768584
50,51,2,0.0,0.051303193212561736,0.051303193212561736,0.051303193212561736
31,34,4,0.3,0.538849615905494,0.23884961590549397,0.23884961590549397
32,35,4,0.2,0.46128335612729165,0.26128335612729164,0.26128335612729164
33,36,4,0.2,0.3941824500559582,0.1941824500559582,0.1941824500559582
34,37,4,0.2,0.33943664584401545,0.13943664584401544,0.13943664584401544
35,38,4,0.2,0.2938482594852955,0.09384825948529552,0.09384825948529552
36,39,4,0.2,0.25401112267083914,0.05401112267083913,0.05401112267083913
37,40,4,0.2,0.22049359580207495,0.020493595802074938,0.020493595802074938
38,41,4,0.1,0.1918606526340297,0.0918606526340297,0.0918606526340297
39,42,4,0.1,0.1677278121033314,0.0677278121033314,0.0677278121033314
40,43,4,0.1,0.14699084783371094,0.046990847833710936,0.046990847833710936
41,44,4,0.1,0.1291257483423736,0.02912574834237358,0.02912574834237358
42,45,4,0.1,0.1128921123358797,0.012892112335879696,0.012892112335879696
43,46,4,0.1,0.09879814440843693,-0.001201855591563078,0.001201855591563078
44,47,4,0.1,0.0865694600092458,-0.013430539990754206,0.013430539990754206
45,48,4,0.1,0.07592339320550111,-0.024076606794498898,0.024076606794498898
46,49,4,0.1,0.066582028473682,-0.03341797152631801,0.03341797152631801
47,50,4,0.1,0.05854060310618604,-0.04145939689381396,0.04145939689381396
48,51,4,0.0,0.051281580839645444,0.051281580839645444,0.051281580839645444
