t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.3294563323319936,0.330950103939817,train
1,0.2,0.34778941787150364,0.3493417538550122,train
2,0.3,0.37813375113907316,0.37960425851396895,train
3,0.3,0.4269194071850538,0.42812199003187845,train
4,0.5,0.5050361574458038,0.5056908186005008,train
5,0.8,0.6316783183642943,0.6313278152158001,train
6,0.9,0.8417436560897171,0.8396162835574742,train
7,1.4,1.1996201608239945,1.1944459388857804,train
8,2.1,1.8215371525172384,1.811492286556615,train
9,2.9,2.8941641706177945,2.8777733094915208,train
10,4.1,4.602602451172228,4.582903283529874,train
11,6.7,6.688537929306332,6.680550999234417,train
12,8.9,7.688702638821221,7.7038732397089715,train
13,6.9,6.762481647869956,6.769265998975241,train
14,5.4,5.954137747310994,5.961844135433252,train
15,4.2,5.24052179593656,5.246428116576036,train
16,3.9,4.612949997389909,4.61808028013702,train
17,3.5,4.060414937142536,4.064694791506283,train
18,3.5,3.5740819833589232,3.577675332952116,train
19,3.4,3.1459970910175,3.1490027345431604,train
20,3.3,2.76918604303121,2.771693451130692,train
21,3.3,2.437507450793441,2.4395928676981273,train
22,2.7,2.145555582468746,2.147284130512551,train
23,2.1,1.8885721789689809,1.8899994333153705,train
24,1.9,1.6623689007866016,1.6635422426123398,train
25,1.7,1.4632590658087088,1.4642188480018212,train
26,1.7,1.2879975633933052,1.288778114514551,train
27,1.3,1.1337279652466588,1.134358453806472,train
28,0.9,0.997935971087097,0.9984411492025422,train
29,0.7,0.8784084303442674,0.8788092732734293,train
30,0.5,0.7731972720247983,0.7735115278535725,train
31,0.4,0.6805877548697105,0.6808304166998601,validation
32,0.3,0.5990705203416181,0.5992542316596168,validation
33,0.3,0.5273169929586724,0.5274523954183025,validation
34,0.3,0.46415772704759234,0.464253758646036,validation
35,0.2,0.4085633470091425,0.4086274975508462,validation
36,0.2,0.35962777045872624,0.35966630026140683,validation
37,0.2,0.3165534408112772,0.31657156779478623,validation
38,0.2,0.27863832862974125,0.2786403882243409,validation
39,0.2,0.2452644898839159,0.245254071585298,validation
40,0.2,0.21588799464108266,0.21586805851253368,validation
41,0.1,0.19003006204529566,0.19000303801180388,test
42,0.1,0.16726925710239177,0.16723712948768243,test
43,0.1,0.14723462209319815,0.14719900151039936,test
44,0.1,0.12959963067006974,0.12956181508278344,test
45,0.1,0.11407686610005861,0.11403789261681567,test
46,0.1,0.10041333692022712,0.1003740256662435,test
47,0.1,0.08838635365921811,0.08834734488036391,test
48,0.1,0.07779989942350687,0.07776168481439046,test
49,0.1,0.06848143519581107,0.0684443843033542,test
50,0.1,0.06027908777811473,0.06024347021090141,test
51,0.0,0.0530591745481397,0.053025178617523226,test
