origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7295708860501914,0.32957088605019136,0.32957088605019136
32,32,1,0.3,0.6328633990744242,0.33286339907442425,0.33286339907442425
33,33,1,0.3,0.5488648809730455,0.24886488097304554,0.24886488097304554
34,34,1,0.3,0.4781055339220279,0.17810553392202794,0.17810553392202794
35,35,1,0.2,0.4179257138953355,0.2179257138953355,0.2179257138953355
36,36,1,0.2,0.36468226446304924,0.16468226446304923,0.16468226446304923
37,37,1,0.2,0.3190123024717488,0.11901230247174877,0.11901230247174877
38,38,1,0.2,0.27963776368123416,0.07963776368123415,0.07963776368123415
39,39,1,0.2,0.24551497279220008,0.04551497279220007,0.04551497279220007
40,40,1,0.2,0.21586171589033964,0.015861715890339634,0.015861715890339634
41,41,1,0.1,0.19000292101704905,0.09000292101704904,0.09000292101704904
42,42,1,0.1,0.16683703695508942,0.06683703695508941,0.06683703695508941
43,43,1,0.1,0.14661935513387914,0.04661935513387913,0.04661935513387913
44,44,1,0.1,0.12894490502052597,0.028944905020525963,0.028944905020525963
45,45,1,0.1,0.11346112695502132,0.013461126955021316,0.013461126955021316
46,46,1,0.1,0.09988359032745917,-0.00011640967254084034,0.00011640967254084034
47,47,1,0.1,0.08797088818486949,-0.012029111815130514,0.012029111815130514
48,48,1,0.1,0.07749775282947274,-0.022502247170527262,0.022502247170527262
49,49,1,0.1,0.06829096017258562,-0.03170903982741438,0.03170903982741438
50,50,1,0.1,0.06019844050671988,-0.039801559493280125,0.039801559493280125
51,51,1,0.0,0.05306330656679659,0.05306330656679659,0.05306330656679659
31,32,2,0.3,0.644808943102959,0.344808943102959,0.344808943102959
32,33,2,0.3,0.5587476242452041,0.2587476242452041,0.2587476242452041
33,34,2,0.3,0.4841083461308215,0.1841083461308215,0.1841083461308215
34,35,2,0.2,0.421426047109169,0.22142604710916897,0.22142604710916897
35,36,2,0.2,0.3682470989496275,0.16824709894962747,0.16824709894962747
36,37,2,0.2,0.3211958824557627,0.12119588245576268,0.12119588245576268
37,38,2,0.2,0.2808797535172435,0.08087975351724347,0.08087975351724347
38,39,2,0.2,0.2461571183618897,0.04615711836188968,0.04615711836188968
39,40,2,0.2,0.2161068644737087,0.016106864473708682,0.016106864473708682
40,41,2,0.1,0.18999616474866837,0.08999616474866837,0.08999616474866837
41,42,2,0.1,0.1672368496981254,0.0672368496981254,0.0672368496981254
42,43,2,0.1,0.14683384252490425,0.046833842524904246,0.046833842524904246
43,44,2,0.1,0.1290347568444721,0.029034756844472098,0.029034756844472098
44,45,2,0.1,0.1134733315347059,0.013473331534705896,0.013473331534705896
45,46,2,0.1,0.09985141228990502,-0.0001485877100949884,0.0001485877100949884
46,47,2,0.1,0.08791016522516461,-0.012089834774835398,0.012089834774835398
47,48,2,0.1,0.07741999105487653,-0.022580008945123478,0.022580008945123478
48,49,2,0.1,0.06820702174562022,-0.03179297825437978,0.03179297825437978
49,50,2,0.1,0.06010938182103939,-0.03989061817896061,0.03989061817896061
50,51,2,0.0,0.05298141687709618,0.05298141687709618,0.05298141687709618
31,34,4,0.3,0.5036870000224826,0.20368700002248258,0.20368700002248258
32,35,4,0.2,0.43554437315995825,0.23554437315995824,0.23554437315995824
33,36,4,0.2,0.3766331130429457,0.1766331130429457,0.1766331130429457
34,37,4,0.2,0.32744645047477394,0.12744645047477393,0.12744645047477393
35,38,4,0.2,0.2858979533902148,0.08589795339021478,0.08589795339021478
36,39,4,0.2,0.2491392381318918,0.04913923813189178,0.04913923813189178
37,40,4,0.2,0.217743260252423,0.017743260252422982,0.017743260252422982
38,41,4,0.1,0.19075815344006047,0.09075815344006047,0.09075815344006047
39,42,4,0.1,0.16743548438779932,0.06743548438779931,0.06743548438779931
40,43,4,0.1,0.1471888567363684,0.047188856736368384,0.047188856736368384
41,44,4,0.1,0.12956178702621846,0.02956178702621845,0.02956178702621845
42,45,4,0.1,0.11373631155484645,0.013736311554846448,0.013736311554846448
43,46,4,0.1,0.09993828038585519,-6.171961414482008e-05,6.171961414482008e-05
44,47,4,0.1,0.08788299316705155,-0.01211700683294846,0.01211700683294846
45,48,4,0.1,0.07733222977035437,-0.02266777022964564,0.02266777022964564
46,49,4,0.1,0.06808241517535418,-0.03191758482464582,0.03191758482464582
47,50,4,0.1,0.05996555589604581,-0.040034444103954195,0.040034444103954195
48,51,4,0.0,0.05283380369183358,0.05283380369183358,0.05283380369183358
