t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.21550368259471434,0.21550368259471472,train
1,0.2,0.18935347412985967,0.18935347412986006,train
2,0.3,0.3102982303201349,0.31029823032013576,train
3,0.3,0.3891432193518444,0.38914321935184554,train
4,0.5,0.5280024446763311,0.5280024446763328,train
5,0.8,0.7024132747221098,0.7024132747221123,train
6,0.9,0.9634950474775266,0.9634950474775301,train
7,1.4,1.35660489460028,1.3566048946002855,train
8,2.1,1.9795819070447238,1.9795819070447322,train
9,2.9,2.9715888955253815,2.971588895525393,train
10,4.1,4.486144289156441,4.4861442891564565,train
11,6.7,6.429463973735952,6.429463973735966,train
12,8.9,7.787880228491053,7.787880228491057,train
13,6.9,6.842835948496262,6.842835948496253,train
14,5.4,6.012523118229973,6.01252311822998,train
15,4.2,5.282890829269403,5.2828908292693875,train
16,3.9,4.641912685952042,4.6419126859520645,train
17,3.5,4.078523908459531,4.078523908459495,train
18,3.5,3.583804306329712,3.5838043063297707,train
19,3.4,3.148641738562716,3.1486417385626297,train
20,3.3,2.766984768190589,2.7669847681907123,train
21,3.3,2.4306759314535826,2.4306759314534263,train
22,2.7,2.1363869503173927,2.1363869503175743,train
23,2.1,1.876446899834866,1.8764468998346877,train
24,1.9,1.6493915443074518,1.6493915443076048,train
25,1.7,1.4487552606394845,1.4487552606393819,train
26,1.7,1.2732602083534992,1.2732602083535558,train
27,1.3,1.1186132589550677,1.1186132589550482,train
28,0.9,0.9829234299340338,0.9829234299340398,train
29,0.7,0.8636412863018852,0.863641286301886,train
30,0.5,0.7588437907049773,0.7588437907049785,train
31,0.4,0.6667621882930707,0.6667621882930719,validation
32,0.3,0.5858541715559178,0.585854171555919,validation
33,0.3,0.5147639063664172,0.5147639063664184,validation
34,0.3,0.45230006350207147,0.4523000635020726,validation
35,0.2,0.3974158732590443,0.39741587325904537,validation
36,0.2,0.3491915855005466,0.3491915855005476,validation
37,0.2,0.3068190567647919,0.30681905676479276,validation
38,0.2,0.26958820744796863,0.26958820744796946,validation
39,0.2,0.23687512229532598,0.23687512229532676,validation
40,0.2,0.20813159482371138,0.20813159482371213,validation
41,0.1,0.18287594046936784,0.1828759404693685,test
42,0.1,0.160684924509995,0.16068492450999564,test
43,0.1,0.1411866694898384,0.14118666948983896,test
44,0.1,0.12405442329059328,0.12405442329059378,test
45,0.1,0.10900108341345435,0.10900108341345481,test
46,0.1,0.0957743857101778,0.0957743857101782,test
47,0.1,0.08415267693584354,0.08415267693584391,test
48,0.1,0.0739412002796899,0.07394120027969023,test
49,0.1,0.06496883162688266,0.06496883162688297,test
50,0.1,0.05708521185743632,0.0570852118574366,test
51,0.0,0.050158227125301116,0.05015822712530138,test
