origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7026540037411152,0.3026540037411152,0.3026540037411152
32,32,1,0.3,0.6114761238132411,0.31147612381324113,0.31147612381324113
33,33,1,0.3,0.5302202559165484,0.23022025591654843,0.23022025591654843
34,34,1,0.3,0.46111612347414005,0.16111612347414006,0.16111612347414006
35,35,1,0.2,0.40529583310050205,0.20529583310050203,0.20529583310050203
36,36,1,0.2,0.3504350404777259,0.15043504047772588,0.15043504047772588
37,37,1,0.2,0.306155869843373,0.106155869843373,0.106155869843373
38,38,1,0.2,0.26698898665663234,0.06698898665663233,0.06698898665663233
39,39,1,0.2,0.23447083807844568,0.03447083807844567,0.03447083807844567
40,40,1,0.2,0.20591325593215837,0.005913255932158357,0.005913255932158357
41,41,1,0.1,0.1808338696431858,0.08083386964318579,0.08083386964318579
42,42,1,0.1,0.15880904928579168,0.05880904928579167,0.05880904928579167
43,43,1,0.1,0.13946673945278254,0.039466739452782534,0.039466739452782534
44,44,1,0.1,0.12248023240087445,0.022480232400874448,0.022480232400874448
45,45,1,0.1,0.10756264315195922,0.007562643151959217,0.007562643151959217
46,46,1,0.1,0.09446195500301932,-0.005538044996980684,0.005538044996980684
47,47,1,0.1,0.08295687686263527,-0.017043123137364738,0.017043123137364738
48,48,1,0.1,0.07285306998539813,-0.027146930014601875,0.027146930014601875
49,49,1,0.1,0.06397986528687366,-0.036020134713126345,0.036020134713126345
50,50,1,0.1,0.05518290818533382,-0.044817091814666185,0.044817091814666185
51,51,1,0.0,0.04843646581494049,0.04843646581494049,0.04843646581494049
31,32,2,0.3,0.65027302347913,0.35027302347913,0.35027302347913
32,33,2,0.3,0.5334097022871437,0.2334097022871437,0.2334097022871437
33,34,2,0.3,0.4651360116625051,0.16513601166250513,0.16513601166250513
34,35,2,0.2,0.40339153389319704,0.20339153389319703,0.20339153389319703
35,36,2,0.2,0.3531740491473992,0.15317404914739918,0.15317404914739918
36,37,2,0.2,0.3094381033276082,0.10943810332760817,0.10943810332760817
37,38,2,0.2,0.2662576339086331,0.0662576339086331,0.0662576339086331
38,39,2,0.2,0.23381051547998527,0.03381051547998526,0.03381051547998526
39,40,2,0.2,0.20531732309388295,0.005317323093882942,0.005317323093882942
40,41,2,0.1,0.179783041530908,0.07978304153090798,0.07978304153090798
41,42,2,0.1,0.15785044153866976,0.05785044153866975,0.05785044153866975
42,43,2,0.1,0.13859349590002534,0.03859349590002534,0.03859349590002534
43,44,2,0.1,0.121446242180236,0.021446242180235997,0.021446242180235997
44,45,2,0.1,0.10653559705367492,0.006535597053674916,0.006535597053674916
45,46,2,0.1,0.09352985658125028,-0.006470143418749727,0.006470143418749727
46,47,2,0.1,0.08211184161935275,-0.01788815838064725,0.01788815838064725
47,48,2,0.1,0.07189886106393567,-0.028101138936064335,0.028101138936064335
48,49,2,0.1,0.06311391650776609,-0.03688608349223392,0.03688608349223392
49,50,2,0.1,0.05538270948653703,-0.04461729051346298,0.04461729051346298
50,51,2,0.0,0.04861592924713785,0.04861592924713785,0.04861592924713785
31,34,4,0.3,0.48337576783923947,0.18337576783923948,0.18337576783923948
32,35,4,0.2,0.4161483303647359,0.2161483303647359,0.2161483303647359
33,36,4,0.2,0.36153547779621903,0.16153547779621902,0.16153547779621902
34,37,4,0.2,0.3129555360583957,0.1129555360583957,0.1129555360583957
35,38,4,0.2,0.27304760694675206,0.07304760694675205,0.07304760694675205
36,39,4,0.2,0.23674767456888976,0.03674767456888975,0.03674767456888975
37,40,4,0.2,0.20799320078756103,0.007993200787561022,0.007993200787561022
38,41,4,0.1,0.1827313468417242,0.0827313468417242,0.0827313468417242
39,42,4,0.1,0.1605376679390361,0.06053766793903609,0.06053766793903609
40,43,4,0.1,0.141039514345821,0.04103951434582098,0.04103951434582098
41,44,4,0.1,0.1239095163675181,0.02390951636751809,0.02390951636751809
42,45,4,0.1,0.10702992123310054,0.007029921233100533,0.007029921233100533
43,46,4,0.1,0.09397911408657943,-0.006020885913420579,0.006020885913420579
44,47,4,0.1,0.08173750927395006,-0.01826249072604995,0.01826249072604995
45,48,4,0.1,0.07174890190768148,-0.02825109809231853,0.02825109809231853
46,49,4,0.1,0.06298093684588348,-0.03701906315411653,0.03701906315411653
47,50,4,0.1,0.055284447573643536,-0.04471555242635647,0.04471555242635647
48,51,4,0.0,0.04852849602729763,0.04852849602729763,0.04852849602729763
