t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.022483556425409137,0.022543818267921345,train
1,0.2,0.03429952738281264,0.0344223757139819,train
2,0.3,0.05188206969056228,0.05210132736886306,train
3,0.3,0.08175905340554605,0.0821621785159741,train
4,0.5,0.13476752249942697,0.13549788236427507,train
5,0.8,0.23175867320360027,0.23316310607046553,train
6,0.9,0.4128223845237202,0.41545592108501717,train
7,1.4,0.7553894806268737,0.7606290642918989,train
8,2.1,1.3991396221837842,1.408845713993887,train
9,2.9,2.570877548170879,2.5893871008017633,train
10,4.1,4.501109663396499,4.529256275825684,train
11,6.7,7.006764017085842,7.04307112087349,train
12,8.9,8.459439200991806,8.465123053428197,train
13,6.9,6.827093776793669,6.812748585890796,train
14,5.4,5.586760062127347,5.583075106565195,train
15,4.2,4.890029305099732,4.887759358985591,train
16,3.9,4.325912420462098,4.325476583458467,train
17,3.5,3.8361983978398757,3.8344868387236777,train
18,3.5,3.4456280267595187,3.446820955537812,train
19,3.4,3.086611297790061,3.085046515499274,train
20,3.3,2.802002637485904,2.8044264021925307,train
21,3.3,2.5099216340435007,2.5080285321609987,train
22,2.7,2.2871096714071864,2.290524891206583,train
23,2.1,2.029965574107343,2.0275989178020435,train
24,1.9,1.8451066619123637,1.8492318066531785,train
25,1.7,1.6092709890072545,1.6065674669028192,train
26,1.7,1.4508464023742993,1.4552225773792762,train
27,1.3,1.238143399881211,1.2354893554604112,train
28,0.9,1.1050914401975316,1.1090968367582141,train
29,0.7,0.92875534760962,0.9266248071803351,train
30,0.5,0.8256322014774959,0.8287302727171489,train
31,0.4,0.6964230118625874,0.6950933802605982,validation
32,0.3,0.6226439076739171,0.6246939887471991,validation
33,0.3,0.5362388992858222,0.5356441567634691,validation
34,0.3,0.48421754462798017,0.48545152032034355,validation
35,0.2,0.42765904525190745,0.4275391515292405,validation
36,0.2,0.3899893993339834,0.390729662577201,validation
37,0.2,0.351932106256526,0.35204715852563145,validation
38,0.2,0.3239116284780796,0.32439320939719535,validation
39,0.2,0.29717437809198666,0.2973814886533703,validation
40,0.2,0.2760030804656753,0.2763568996162919,validation
41,0.1,0.25657772512645294,0.25681172951726017,test
42,0.1,0.2406079919924243,0.24089997827151546,test
43,0.1,0.22647014586972752,0.22670952225480498,test
44,0.1,0.21494124837193304,0.2152076135892795,test
45,0.1,0.20543899862884507,0.20568571750168715,test
46,0.1,0.19855145811524566,0.19882092711523933,test
47,0.1,0.19432252056017651,0.194595601112867,test
48,0.1,0.19349043100071064,0.19379781540434596,test
49,0.1,0.19654051803712394,0.19687571779255672,test
50,0.1,0.2044484331362528,0.20484160271866886,test
51,0.0,0.21805678458928582,0.218507895247941,test
