t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.2,0.20108949534665593,0.19885565732769708,train,-0.03728024481504716,0.4017268441975016,-0.0008245827384579796,0.42396529248900666,0.022148730357325147,0.534813083889476,0.003233084539543199,0.36692067056768796,0.0,0.4230356986576236,0.0,0.5769225279278828
1,0.2,0.1916175761647675,0.18963021624960597,train,0.016829826669733067,0.48066392956624127,-0.0007863281593834814,0.5151099697121171,0.021121192043294157,0.7669240266289866,0.04647681822046719,0.4307319007053408,0.0,0.5137658958751975,0.0,0.8392829610650405
2,0.3,0.3066760698581418,0.3049431571933865,train,0.07058528529517721,0.5056837566075959,-0.0012644893638513732,0.6795139070909246,0.033964855985251396,0.6819507358750925,0.11079356182109724,0.4712431232896282,0.0,0.6779671112006831,0.0,0.7292054719856312
3,0.3,0.38947852164202423,0.3880012439727217,train,0.27110419154850385,0.6306261540735069,0.08479539578106665,0.8288553281084365,0.04321594389892969,1.3431053359708292,0.29115996766077124,0.5889995195662348,0.08604748917065552,0.8270348141315074,0.0,1.462819618594231
4,0.5,0.5270187222366667,0.5262838434026907,train,0.08086003494282673,0.6609557436820921,-0.002182309412922745,0.8959774823872924,0.05861799003150309,1.1765406949766124,0.15728044069545077,0.6378503751154361,0.0,0.8944508266044097,0.0,1.2580449343148292
5,0.8,0.7008670171478155,0.7009138892833315,train,0.47750807938300827,0.8358948280891565,0.45959750119305454,1.1871183427287562,0.3182791509022836,1.3169510499103012,0.5158373341642212,0.812736438446541,0.46059402106933445,1.1851105536779234,0.27031909754699857,1.3941661381626518
6,0.9,0.9582792403731857,0.9593156122365476,train,0.6676098169231897,1.162982935966178,0.5775180517555276,1.2056959366806166,0.5109601027563535,1.2550950035649115,0.7176571534481914,1.1280401708459524,0.579094690875421,1.204678505198338,0.45476250227766374,1.2921684680640373
7,1.4,1.345354557886596,1.3472015010095753,train,0.9470401379415323,1.5945088144162134,0.931126583523127,1.654520771885569,0.7340403498644967,2.0537418547471153,1.0156949631919399,1.5520788300346542,0.9328447715358767,1.6532516920513507,0.6571857452650036,2.1423007587459706
8,2.1,1.9584779403770447,1.960367006360341,train,1.7907975454933407,2.135151615769128,1.4208262635965099,2.295502073453075,1.3188325875864308,2.3365490102632185,1.8198902135469783,2.1051641958857634,1.4230543057053857,2.2941181278444107,1.2384216320003543,2.3837002675035195
9,2.9,2.938741633363829,2.9381973590750863,train,2.684631382222946,3.1995450262583036,2.605919631070882,3.412771434545595,2.555584846090719,3.430522874134749,2.728135152044103,3.1547061685472593,2.607291777252174,3.4108116733262426,2.5076275785023903,3.4922317458130845
10,4.1,4.44723969039346,4.43827327699901,train,4.212163231801577,4.733844866744251,4.0780229023764045,4.936799699607601,3.9571016659909017,5.055019615095778,4.25095644642223,4.683134284174853,4.07951056204838,4.934741026788437,3.8967908425809896,5.132323592792495
11,6.7,6.41050057773811,6.382682110311624,train,6.367313582070947,6.729633140550454,6.190389902576298,6.936357686171043,6.170079514183326,7.167077711127568,6.36995032743944,6.670107497772579,6.191183976317325,6.934071274043292,6.143431562936329,7.265395116980352
12,8.9,7.824025483179631,7.773979953846972,train,7.308762690460735,7.985599233757684,7.1736833412064085,8.127490999166334,7.073487162351244,8.137403450350977,7.388579016745648,7.94929216860153,7.176162275649667,8.126031169662282,6.985686269527783,8.182955535759225
13,6.9,6.877063618152254,6.839922546638339,train,6.661582393510414,7.088948964721199,6.505963338090238,7.348313014343526,6.3829357688409125,7.471406174549788,6.692179830390012,7.046224037244114,6.507342427972274,7.346213607792695,6.325656311312939,7.550557347848281
14,5.4,6.048650819406654,6.020422834007769,train,5.774034542301366,6.421721884338128,5.5671978258319585,6.607801850139197,5.532373937722873,6.680192697620301,5.816306852104482,6.352871868528629,5.5690694257371645,6.6053762591169,5.471201104318235,6.762889313183614
15,4.2,5.310898935155151,5.292327414658036,train,5.194849535035883,5.452686933904172,4.854477396038796,5.611830262436301,4.750209455410073,5.6741819241702585,5.2115736053957225,5.425174395745382,4.856285504679227,5.610510870326801,4.682259518714837,5.722044182384578
16,3.9,4.67842123211872,4.663581414354046,train,4.457896796834162,4.910217976760355,4.386023809130964,5.002990297091975,4.334476538444243,5.094460060330265,4.493185664715501,4.8679030716867056,4.387169987691841,5.001588702693389,4.293226004122919,5.148467082635943
17,3.5,4.0950882293578355,4.090267643638858,train,3.7719235709786134,4.182080848407824,3.5535573528613478,4.408706570476326,3.3497221317343673,4.571080766858429,3.8265411795113886,4.166328654141079,3.5557737065735693,4.407391571845333,3.256900966533243,4.6313466568325055
18,3.5,3.6289586069108886,3.6201190337769886,train,3.3508515717252476,3.9667093083214224,3.197973392023546,3.9682283460403545,3.232755974801847,4.122717241610756,3.3970492116249287,3.9072455596228934,3.199716649189051,3.9667908230791755,3.18420326614053,4.1857137091190815
19,3.4,3.1420273101325837,3.1497693042917256,train,2.8624859133471787,3.2767235705138633,2.7738726184815032,3.3571227516611275,2.5866586799627593,3.498278960318838,2.911774507456872,3.2549422998398314,2.7754248898452594,3.3562664822906383,2.5160774888717135,3.5419617209814285
20,3.3,2.836191420446572,2.8258489510569236,train,2.491195750280734,3.111612006747536,2.344613009270172,3.188127992754602,2.3214487058447717,3.6316741255624176,2.5486114808815716,3.062584253290675,2.3466002807728077,3.18663195566956,2.2582263680739056,3.7326775486385215
21,3.3,2.3870860484183916,2.4076872560051816,train,2.1039108952383017,2.491331455428857,2.0783777424144905,2.5934365916450455,2.031842339522617,2.7282370099181232,2.156029152742609,2.476980799856779,2.0797376313069864,2.5926695367987675,1.9847333333615882,2.7684152314923973
22,2.7,2.237880225389794,2.222064801671387,train,1.9657494282103587,2.40930710773988,1.8435608219814292,2.642299763543851,1.6183187901959397,2.870212670763981,2.009724906100181,2.3771823476079783,1.845123860206877,2.6405643965614107,1.5426442943414433,2.95145256684691
23,2.1,1.8070121596373412,1.8344597981908226,train,1.4478752687666208,2.004433242065061,1.3881546685245467,2.1907531337377275,1.3266129729768235,2.4487119991757056,1.5142007458407696,1.9752712635148941,1.3899976926809987,2.1892818147217734,1.2629586353266957,2.5257033577164423
