series_name,model_name,split,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,average_interval_width,uncertainty_method,uncertainty_draws,interval_calibration_method,interval_calibration_scale,artifact_dir
0-4 yr,probabilistic_seir,test,calibrated,50,0.5,0.7272727272727273,0.2272727272727273,0.37392900096634557,bootstrap,30,conformal,1.1594703933697392,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,test,calibrated,80,0.8,1.0,0.19999999999999996,0.7183600279577347,bootstrap,30,conformal,1.4085252437987483,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,test,calibrated,95,0.95,1.0,0.050000000000000044,0.9579644361226939,bootstrap,30,conformal,1.2759378379462571,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,test,raw,50,0.5,0.7272727272727273,0.2272727272727273,0.32249982673520905,bootstrap,30,conformal,1.1594703933697392,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,test,raw,80,0.8,0.9090909090909091,0.10909090909090902,0.5100086286138119,bootstrap,30,conformal,1.4085252437987483,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,0.750792403542659,bootstrap,30,conformal,1.2759378379462571,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,calibrated,50,0.5,0.4,-0.09999999999999998,0.45623555960764534,bootstrap,30,conformal,1.1594703933697392,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,calibrated,80,0.8,0.9,0.09999999999999998,0.9893106275336156,bootstrap,30,conformal,1.4085252437987483,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,1.3805216521361123,bootstrap,30,conformal,1.2759378379462571,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,raw,50,0.5,0.5,0.0,0.39348616593969216,bootstrap,30,conformal,1.1594703933697392,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,raw,80,0.8,0.8,0.0,0.7023733737745983,bootstrap,30,conformal,1.4085252437987483,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,probabilistic_seir,validation,raw,95,0.95,0.9,-0.04999999999999993,1.0819662299208812,bootstrap,30,conformal,1.2759378379462571,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,calibrated,50,0.5,1.0,0.5,0.40030363924465834,bootstrap,30,conformal,2.6386712306312634,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,calibrated,80,0.8,1.0,0.19999999999999996,0.4731596834683167,bootstrap,30,conformal,1.898123343450438,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,calibrated,95,0.95,1.0,0.050000000000000044,0.6697501744129363,bootstrap,30,conformal,1.9011693688176767,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,raw,50,0.5,0.9090909090909091,0.40909090909090906,0.1517065235705365,bootstrap,30,conformal,2.6386712306312634,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,raw,80,0.8,1.0,0.19999999999999996,0.2492776273475462,bootstrap,30,conformal,1.898123343450438,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,0.3522832764917988,bootstrap,30,conformal,1.9011693688176767,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,calibrated,50,0.5,0.5,0.0,0.5591302168079648,bootstrap,30,conformal,2.6386712306312634,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,calibrated,80,0.8,0.9,0.09999999999999998,0.7302997817481531,bootstrap,30,conformal,1.898123343450438,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,0.9466554264579493,bootstrap,30,conformal,1.9011693688176767,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,raw,50,0.5,0.3,-0.2,0.21189840186122808,bootstrap,30,conformal,2.6386712306312634,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,raw,80,0.8,0.5,-0.30000000000000004,0.3847483274825559,bootstrap,30,conformal,1.898123343450438,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,probabilistic_seir,validation,raw,95,0.95,0.6,-0.35,0.49793324150108054,bootstrap,30,conformal,1.9011693688176767,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,calibrated,50,0.5,0.8181818181818182,0.31818181818181823,0.3271549848339266,bootstrap,30,conformal,1.5616807866291467,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,calibrated,80,0.8,1.0,0.19999999999999996,0.43757818756592126,bootstrap,30,conformal,1.0441029731338187,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,calibrated,95,0.95,1.0,0.050000000000000044,0.6988328483302193,bootstrap,30,conformal,1.0,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,raw,50,0.5,0.6363636363636364,0.13636363636363635,0.20948902466814834,bootstrap,30,conformal,1.5616807866291467,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,raw,80,0.8,1.0,0.19999999999999996,0.41909485829022586,bootstrap,30,conformal,1.0441029731338187,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,0.6988328483302193,bootstrap,30,conformal,1.0,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,calibrated,50,0.5,0.6,0.09999999999999998,0.326328608365273,bootstrap,30,conformal,1.5616807866291467,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,calibrated,80,0.8,0.9,0.09999999999999998,0.3978701769848985,bootstrap,30,conformal,1.0441029731338187,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,0.4742938275404652,bootstrap,30,conformal,1.0,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,raw,50,0.5,0.3,-0.2,0.2089598662922953,bootstrap,30,conformal,1.5616807866291467,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,raw,80,0.8,0.7,-0.10000000000000009,0.3810641164929477,bootstrap,30,conformal,1.0441029731338187,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,probabilistic_seir,validation,raw,95,0.95,1.0,0.050000000000000044,0.4742938275404652,bootstrap,30,conformal,1.0,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,calibrated,50,0.5,0.5454545454545454,0.045454545454545414,0.08451743822234731,bootstrap,30,conformal,0.3367164199387983,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,calibrated,80,0.8,0.8181818181818182,0.018181818181818188,0.33079043959402293,bootstrap,30,conformal,0.7006749617881173,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,calibrated,95,0.95,1.0,0.050000000000000044,0.7764564516012687,bootstrap,30,conformal,1.0605450988706815,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,raw,50,0.5,1.0,0.5,0.2510048017192308,bootstrap,30,conformal,0.3367164199387983,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,raw,80,0.8,1.0,0.19999999999999996,0.4721025548705897,bootstrap,30,conformal,0.7006749617881173,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,0.7321295930065361,bootstrap,30,conformal,1.0605450988706815,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,validation,calibrated,50,0.5,0.6,0.09999999999999998,0.1658916757934436,bootstrap,30,conformal,0.3367164199387983,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,validation,calibrated,80,0.8,0.9,0.09999999999999998,0.5591835899729493,bootstrap,30,conformal,0.7006749617881173,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,1.1121245789768328,bootstrap,30,conformal,1.0605450988706815,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,validation,raw,50,0.5,0.7,0.19999999999999996,0.4926747434045424,bootstrap,30,conformal,0.3367164199387983,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
50-64 yr,probabilistic_seir,validation,raw,80,0.8,0.9,0.09999999999999998,0.7980641816369702,bootstrap,30,conformal,0.7006749617881173,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/50_64_yr/probabilistic_seir
