t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.29928897640573654,0.2830780562052658,train
1,0.2,0.45338225719423914,0.4271513295010653,train
2,0.3,0.4121592843203701,0.38891491093607977,train
3,0.2,0.4816539486119872,0.45460840369818817,train
4,0.8,0.5697659330099469,0.5400242473802895,train
5,0.8,0.7432616487805398,0.7082933963191138,train
6,0.7,1.0150627777030976,0.9746107328117548,train
7,1.2,1.4587925133281021,1.412961681043624,train
8,2.3,2.1459080769700125,2.0990543526514056,train
9,2.2,3.173143094145775,3.1360919757429575,train
10,4.6,4.555444717677376,4.547501700605453,train
11,6.5,6.083208089943429,6.120970249524479,train
12,7.4,7.134381238060082,7.198968560757825,train
13,7.2,7.0154733194388195,7.042062291812096,train
14,5.8,5.958845038082439,5.932791690040252,train
15,4.7,4.952410950472025,4.92935962142565,train
16,4.6,4.312835869571944,4.305874342646765,train
17,2.9,3.946901117313952,3.9537805236691717,train
18,4.6,3.7382388016703323,3.7533019493607465,train
19,3.8,3.5970469320255503,3.6150210012872535,train
20,3.2,3.4624861978278894,3.478791023807987,train
21,4.4,3.2945596820233227,3.305658512882417,train
22,3.0,3.071638482633608,3.0752289108325597,train
23,2.5,2.7883609925749537,2.783529919709167,train
24,1.9,2.453457163001477,2.440738332206283,train
25,1.2,2.086396595650331,2.067666776047176,train
26,1.6,1.7125782378438978,1.6906475488833912,train
27,1.6,1.3574609460547213,1.3353622404107952,train
28,1.1,1.0411672981019693,1.0213978575737754,train
29,1.1,0.7753289462111402,0.7593733043044022,train
30,0.6,0.5628934875483821,0.5511731694864919,train
31,0.5,0.400182094459517,0.39232912036286116,validation
32,0.6,0.2797806512131931,0.2750189024443367,validation
33,0.1,0.19308125581229055,0.19054530381043902,validation
34,0.1,0.1319473817211941,0.1308731927188901,validation
35,0.3,0.0895193449694772,0.08931960777138774,validation
36,0.1,0.06041977357258874,0.06068611919698796,validation
37,0.2,0.040634784050890035,0.041106296724994607,validation
38,0.2,0.027268039702777448,0.02779148261489139,validation
39,0.2,0.018278702934988282,0.018772926768263858,validation
40,0.1,0.012252775606369185,0.012681459922642736,validation
41,0.0,0.008222293645374515,0.008574987748098364,test
42,0.2,0.005530347571347881,0.0058101986061688945,test
43,0.0,0.0037339159018163447,0.003950213225083023,test
44,0.1,0.002535589148586415,0.0026995274250797056,test
45,0.1,0.0017363835541662508,0.001858853664614629,test
46,0.0,0.0012035094143392614,0.0012940988619254575,test
47,0.2,0.0008485414068682757,0.0009152140737348456,test
48,0.2,0.0006127315562004708,0.0006618601665675344,test
49,0.0,0.0004571868729090246,0.000493747128740296,test
50,0.2,0.00035634846204008575,0.00038417073883522215,test
51,0.0,0.00029371814999115355,0.00031574729657857286,test
