origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,0.3172738241427441,-0.18272617585725592,0.18272617585725592
32,32,1,0.6,0.23015483152850166,-0.3698451684714983,0.3698451684714983
33,33,1,0.1,0.1793422194654067,0.0793422194654067,0.0793422194654067
34,34,1,0.1,0.11873727550848412,0.018737275508484114,0.018737275508484114
35,35,1,0.3,0.07939113320721179,-0.22060886679278818,0.22060886679278818
36,36,1,0.1,0.05662798731900291,-0.043372012680997094,0.043372012680997094
37,37,1,0.2,0.03839408408488635,-0.16160591591511367,0.16160591591511367
38,38,1,0.2,0.0266034964954301,-0.17339650350456992,0.17339650350456992
39,39,1,0.2,0.018373145588896675,-0.18162685441110332,0.18162685441110332
40,40,1,0.1,0.012646393566969161,-0.08735360643303085,0.08735360643303085
41,41,1,0.0,0.008586625588763733,0.008586625588763733,0.008586625588763733
42,42,1,0.2,0.005749272738152578,-0.19425072726184744,0.19425072726184744
43,43,1,0.0,0.00392920133276451,0.00392920133276451,0.00392920133276451
44,44,1,0.1,0.0026612257109090947,-0.0973387742890909,0.0973387742890909
45,45,1,0.1,0.0018157269263504657,-0.09818427307364953,0.09818427307364953
46,46,1,0.0,0.0012548820044550521,0.0012548820044550521,0.0012548820044550521
47,47,1,0.2,0.0008772535505566021,-0.19912274644944342,0.19912274644944342
48,48,1,0.2,0.0006303650738028887,-0.1993696349261971,0.1993696349261971
49,49,1,0.0,0.0004678884957151488,0.0004678884957151488,0.0004678884957151488
50,50,1,0.2,0.000360519627613304,-0.1996394803723867,0.1996394803723867
51,51,1,0.0,0.00029560724008812546,0.00029560724008812546,0.00029560724008812546
31,32,2,0.6,0.965188995389736,0.36518899538973604,0.36518899538973604
32,33,2,0.1,0.15492725515053138,0.05492725515053137,0.05492725515053137
33,34,2,0.1,0.12266965060956425,0.022669650609564246,0.022669650609564246
34,35,2,0.3,0.08015551614609724,-0.21984448385390276,0.21984448385390276
35,36,2,0.1,0.053327523659050816,-0.04667247634094919,0.04667247634094919
36,37,2,0.2,0.03811044730366852,-0.16188955269633148,0.16188955269633148
37,38,2,0.2,0.0257946782669498,-0.1742053217330502,0.1742053217330502
38,39,2,0.2,0.017890735048236187,-0.18210926495176383,0.18210926495176383
39,40,2,0.1,0.012381918636985975,-0.08761808136301404,0.08761808136301404
40,41,2,0.0,0.008588537367315954,0.008588537367315954,0.008588537367315954
41,42,2,0.2,0.005817457420028256,-0.19418254257997175,0.19418254257997175
42,43,2,0.0,0.003917266586813351,0.003917266586813351,0.003917266586813351
43,44,2,0.1,0.0026925750609907485,-0.09730742493900926,0.09730742493900926
44,45,2,0.1,0.0018286243604056878,-0.09817137563959431,0.09817137563959431
45,46,2,0.0,0.0012628264326662612,0.0012628264326662612,0.0012628264326662612
46,47,2,0.2,0.0008860853919271617,-0.19911391460807285,0.19911391460807285
47,48,2,0.2,0.0006335134839654442,-0.19936648651603456,0.19936648651603456
48,49,2,0.0,0.00047104750465669343,0.00047104750465669343,0.00047104750465669343
49,50,2,0.2,0.00036399384881603337,-0.199636006151184,0.199636006151184
50,51,2,0.0,0.00029701461491563573,0.00029701461491563573,0.00029701461491563573
31,34,4,0.1,0.09327501928818005,-0.006724980711819956,0.006724980711819956
32,35,4,0.3,0.0684431938653338,-0.23155680613466617,0.23155680613466617
33,36,4,0.1,0.05633463256230396,-0.04366536743769604,0.04366536743769604
34,37,4,0.2,0.0361414742657421,-0.1638585257342579,0.1638585257342579
35,38,4,0.2,0.0238134899083961,-0.1761865100916039,0.1761865100916039
36,39,4,0.2,0.01722248796668086,-0.18277751203331916,0.18277751203331916
37,40,4,0.1,0.011648098990979823,-0.08835190100902018,0.08835190100902018
38,41,4,0.0,0.008134074217764449,0.008134074217764449,0.008134074217764449
39,42,4,0.2,0.005664983995736812,-0.1943350160042632,0.1943350160042632
40,43,4,0.0,0.003943840908596792,0.003943840908596792,0.003943840908596792
41,44,4,0.1,0.002699651995139404,-0.0973003480048606,0.0973003480048606
42,45,4,0.1,0.0018322020011744171,-0.09816779799882559,0.09816779799882559
43,46,4,0.0,0.0012833557618781263,0.0012833557618781263,0.0012833557618781263
44,47,4,0.2,0.0008978333590988496,-0.19910216664090116,0.19910216664090116
45,48,4,0.2,0.0006445306954559684,-0.19935546930454404,0.19935546930454404
46,49,4,0.0,0.0004790137779265058,0.0004790137779265058,0.0004790137779265058
47,50,4,0.2,0.0003681358832990949,-0.19963186411670092,0.19963186411670092
48,51,4,0.0,0.00030238945438608867,0.00030238945438608867,0.00030238945438608867
