origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.3,1.729764432875031,1.429764432875031,1.429764432875031
32,32,1,0.2,0.49664560407625824,0.29664560407625823,0.29664560407625823
33,33,1,0.4,0.4192042467609475,0.019204246760947452,0.019204246760947452
34,34,1,0.3,0.3596770722661355,0.0596770722661355,0.0596770722661355
35,35,1,0.3,0.3087213801673498,0.008721380167349801,0.008721380167349801
36,36,1,0.2,0.26498475799753646,0.06498475799753645,0.06498475799753645
37,37,1,0.3,0.22640733863638732,-0.07359266136361267,0.07359266136361267
38,38,1,0.2,0.1942933147054826,-0.0057066852945174,0.0057066852945174
39,39,1,0.2,0.16673424266990217,-0.033265757330097845,0.033265757330097845
40,40,1,0.2,0.14308422149261363,-0.05691577850738638,0.05691577850738638
41,41,1,0.1,0.1227887811811586,0.022788781181158596,0.022788781181158596
42,42,1,0.1,0.10537209921399468,0.005372099213994674,0.005372099213994674
43,43,1,0.1,0.09074928202934768,-0.009250717970652328,0.009250717970652328
44,44,1,0.1,0.07788700947141904,-0.02211299052858097,0.02211299052858097
45,45,1,0.1,0.06684776020842768,-0.03315223979157232,0.03315223979157232
46,46,1,0.0,0.05737314958004067,0.05737314958004067,0.05737314958004067
47,47,1,0.1,0.049241414856420015,-0.05075858514357999,0.05075858514357999
48,48,1,0.1,0.042262224660050474,-0.05773777533994953,0.05773777533994953
49,49,1,0.1,0.03627222406972146,-0.06372777593027854,0.06372777593027854
50,50,1,0.1,0.031131211135396845,-0.06886878886460315,0.06886878886460315
51,51,1,0.0,0.02671885531149501,0.02671885531149501,0.02671885531149501
31,32,2,0.2,0.501263340467337,0.301263340467337,0.301263340467337
32,33,2,0.4,0.42429222895395025,0.024292228953950223,0.024292228953950223
33,34,2,0.3,0.3618556692841158,0.06185566928411579,0.06185566928411579
34,35,2,0.3,0.3090356325096943,0.009035632509694302,0.009035632509694302
35,36,2,0.2,0.26472886637714804,0.06472886637714803,0.06472886637714803
36,37,2,0.3,0.2272164714863739,-0.0727835285136261,0.0727835285136261
37,38,2,0.2,0.19457664155310211,-0.005423358446897897,0.005423358446897897
38,39,2,0.2,0.16698933590271803,-0.03301066409728198,0.03301066409728198
39,40,2,0.2,0.14331339095794854,-0.05668660904205147,0.05668660904205147
40,41,2,0.1,0.12299424939432797,0.022994249394327967,0.022994249394327967
41,42,2,0.1,0.10555597967515482,0.00555597967515481,0.00555597967515481
42,43,2,0.1,0.09059012839619836,-0.009409871603801648,0.009409871603801648
43,44,2,0.1,0.0777461531573623,-0.022253846842637703,0.022253846842637703
44,45,2,0.1,0.06672321187270326,-0.033276788127296744,0.033276788127296744
45,46,2,0.0,0.05726311620155413,0.05726311620155413,0.05726311620155413
46,47,2,0.1,0.0491442840503803,-0.050855715949619705,0.050855715949619705
47,48,2,0.1,0.042176549495989285,-0.05782345050401072,0.05782345050401072
48,49,2,0.1,0.03755067669018346,-0.06244932330981655,0.06244932330981655
49,50,2,0.1,0.031458332149061574,-0.06854166785093843,0.06854166785093843
50,51,2,0.0,0.027008305667349512,0.027008305667349512,0.027008305667349512
31,34,4,0.3,0.3705758138212214,0.07057581382122141,0.07057581382122141
32,35,4,0.3,0.3144335567509585,0.014433556750958532,0.014433556750958532
33,36,4,0.2,0.2656077723207592,0.0656077723207592,0.0656077723207592
34,37,4,0.3,0.22769062253542294,-0.07230937746457705,0.07230937746457705
35,38,4,0.2,0.19489831138750957,-0.00510168861249044,0.00510168861249044
36,39,4,0.2,0.16727577082744363,-0.03272422917255638,0.03272422917255638
37,40,4,0.2,0.14322673359183744,-0.056773266408162576,0.056773266408162576
38,41,4,0.1,0.12392686495769893,0.023926864957698926,0.023926864957698926
39,42,4,0.1,0.10639112530128443,0.0063911253012844255,0.0063911253012844255
40,43,4,0.1,0.09133657795718242,-0.008663422042817587,0.008663422042817587
41,44,4,0.1,0.07841246535695157,-0.02158753464304844,0.02158753464304844
42,45,4,0.1,0.06731662514881032,-0.03268337485118969,0.03268337485118969
43,46,4,0.0,0.05779146303066463,0.05779146303066463,0.05779146303066463
44,47,4,0.1,0.04961360548390785,-0.050386394516092156,0.050386394516092156
45,48,4,0.1,0.04259331149566923,-0.057406688504330776,0.057406688504330776
46,49,4,0.1,0.0365661269463846,-0.0634338730536154,0.0634338730536154
47,50,4,0.1,0.031392016534606014,-0.06860798346539398,0.06860798346539398
48,51,4,0.0,0.027074115750695626,0.027074115750695626,0.027074115750695626
