t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
0,0.2,0.1757481477306889,0.1889829691901811,train,-0.03790554200175796,0.40232930737207895,-0.1785800314503192,0.6998474624595863,-0.6115103234049594,0.9056989686555325
1,0.3,0.2330119202118392,0.2495292619259912,train,-0.0049708343573784605,0.4777656270977306,-0.2835944842193345,0.7059413250181035,-0.7104895681891539,1.1928780592557706
2,0.4,0.3650304897514745,0.37363984813172435,train,0.06651519519745167,0.5443239032627576,-0.12117854973233638,0.8602507021072544,-0.4041502656966128,1.2120418982657375
3,0.3,0.49881778439885327,0.5038021475018553,train,0.27990300874285656,0.7463371479750245,0.05118548146916449,0.9575054158080039,-0.27800503275910227,1.2904188200561555
4,0.6,0.6875882937807385,0.6838649247215478,train,0.4361502960092692,0.9067191332927156,0.18243469720036087,1.068373046099122,-0.304984339645192,1.3904878986154368
5,1.0,0.9271253173853384,0.9171964454953387,train,0.6101429867575565,1.1035829796710668,0.343035418656101,1.2961175715417277,-0.1750065773655587,1.7183655809246348
6,1.3,1.265176211953129,1.2497073683646418,train,0.9467955738340892,1.4513733117980512,0.7640418174970689,1.6392237500794904,0.5335716041673092,2.005171543820223
7,1.8,1.761533527006685,1.7448725408553611,train,1.601513590601639,1.984902388686303,1.3299382923763963,2.2439439730086725,0.5299805152240789,2.569848369015397
8,2.7,2.534407864311321,2.5226626885767636,train,2.2624428539155357,2.764122207100369,1.9682962770968477,2.9344758879757995,1.6445461803294639,3.1540631313498553
9,3.7,3.7672091764307667,3.7700761985939435,train,3.5396104671247657,4.055214144071222,3.3103629988477667,4.314526600186641,2.891754735499238,4.480799328107412
10,4.7,5.683603833894577,5.710918993686124,train,5.482758321458265,6.019469387226183,5.3009205088155555,6.357179422194001,5.070290040756738,6.589058508126265
11,9.3,8.240146701070287,8.290193306385135,train,8.071893864930669,8.542194790752916,7.820453054996899,8.821193016639329,7.554093936935255,9.056805738387931
12,11.4,10.160000413032568,10.201464475961542,train,10.007399594565374,10.527724695878447,9.728421013910904,10.740881065305182,9.469632991278926,11.134957427758382
13,8.9,8.80225681941816,8.825766759966228,train,8.524011922742803,9.041169524995524,8.386022389913556,9.310745154369402,7.911022793669998,9.649485754298414
14,7.3,7.6294423067735035,7.642724958184428,train,7.46350303893239,7.945344125290544,7.277595940738627,8.189317835023074,6.742630735102001,8.442358784802654
15,5.1,6.603596528388466,6.603334146188569,train,6.385524820759504,6.822192292874189,6.177468831972096,7.092880244732766,5.908040419816317,7.234187662246701
16,4.6,5.732788648991627,5.731718931627856,train,5.568644739866061,6.008742186823708,5.329245002491396,6.176009360242858,4.880798395423576,6.44366952653292
17,4.1,4.944729215351582,4.92790016996535,train,4.727248518921726,5.197762720536952,4.475250361708986,5.380970809466791,4.085485591811077,5.779846299361886
18,4.0,4.324532882903791,4.319564392119426,train,4.07949830294537,4.576569771222813,3.7605695389575073,4.821377495451653,3.423884946085902,5.089445956770759
19,3.7,3.674644319229255,3.646135356216482,train,3.414212667660883,3.8892768299672804,3.2413396066048663,4.036071639642058,2.9690416431332824,4.344335290249328
20,3.6,3.3044419178493136,3.2975000573569613,train,3.1206954675318155,3.5550781530397435,2.80522237392401,3.752589973173969,2.4524522374981057,3.90843581635417
21,3.3,2.6782339411080422,2.654321783670395,train,2.4621044823248335,2.9511664985813257,2.261571850375976,3.1443729490351746,1.8825759686496015,3.605136199370866
22,2.9,2.581412360685467,2.5519131570468554,train,2.3175167288245415,2.846939387539932,2.076268088836472,3.0752970936960224,1.862348102171177,3.1903790352734016
23,2.1,1.9226577322818799,1.933064740434263,train,1.6662949268663743,2.1243440739457515,1.429817469228892,2.384767973287163,1.270370440393171,2.6957811057888774
24,2.1,2.0084591630041824,1.9347328051766364,train,1.7206217528246581,2.19633344140359,1.534876577236941,2.4504539766306737,1.1011243049545025,2.793635800531379
25,1.8,1.4412473031725732,1.4726408263828357,train,1.2105416961890743,1.7290081011187697,0.9111214169457966,1.9829505305370825,0.6142067017734044,2.1565969348339955
26,1.9,1.4615607591040691,1.3922525494294986,train,1.1506436198945735,1.6898311925127154,0.8856771868840531,1.896929899707621,0.5186109505210691,2.109882509774578
27,1.5,1.139685126337217,1.1467777587536105,train,0.9358067975768951,1.3717506428215749,0.6822058823286781,1.6645064803024843,0.35014619636528316,1.8410499346127485
28,1.1,1.0316289685284872,1.0077764270301663,train,0.7296874566924798,1.1610189458888123,0.5846161718398085,1.4364789920638694,0.14022673888481504,1.670910416803884
29,0.7,0.8800535419209056,0.869002154335552,train,0.6585386558653538,1.125612677405903,0.4815485693857465,1.3374096095320314,0.1838446220535666,1.5939613991316364
30,0.4,0.7637405625886073,0.7520390149570378,train,0.49808669230741554,0.9752735141784923,0.30429771491074475,1.2368345204894071,0.13652443484818094,1.457989823304128
31,0.3,0.6616662549928466,0.6507506286395788,validation,0.38073998574149404,0.8760396015086647,0.1920525552358748,1.1496409187453762,-0.3360072622569584,1.5451759974710413
32,0.2,0.5732415566901838,0.5630997304835604,validation,0.30055738257129816,0.7800545509770692,0.1147739876046595,0.9527433424647177,-0.2541341548393371,1.2487533893078242
33,0.4,0.4966347451184482,0.487254004286854,validation,0.2689683489346697,0.6890736295471911,-0.05766860604497163,0.8800355777104646,-0.3442343309316514,1.3204199918606143
34,0.3,0.43026566900169017,0.4216240194789552,validation,0.2843627676310021,0.7390834471248745,0.024053663960209727,0.9575641672109162,-0.3596913394789581,1.2684676030236781
35,0.3,0.3727660391040961,0.36483392165236705,validation,0.07616646801676734,0.6310361951811475,-0.1928580965603046,0.916857214295451,-0.5828352197645758,1.3053486885636907
36,0.2,0.3229505300853121,0.3156930735254647,validation,0.08861424566586659,0.5952920571989629,-0.21317813515388612,0.7417137446755413,-0.35426273708701433,1.17300570376135
37,0.3,0.2797922448717894,0.2731711825951788,validation,0.0804451720802063,0.549433924490907,-0.11797484662692698,0.7658362592673484,-0.4367229023556425,1.0558445644992296
38,0.2,0.24240152519949515,0.2363767219068935,validation,0.012376975188417967,0.5423895581392958,-0.18702129547155788,0.7261968518660469,-0.43902071800193715,1.1680499892773337
39,0.2,0.21000760677988958,0.20453824455546876,validation,0.04831866252346132,0.4327920320335705,-0.17590692869930669,0.7094406225549406,-0.4538553010498393,0.8818315694933861
40,0.2,0.1819427291792751,0.17698821147632715,validation,-0.10610127455295223,0.40779729202322,-0.3729965862635856,0.6828564390608317,-0.7507336958582578,1.075740854701706
41,0.1,0.15762837013458095,0.15314899640543678,test,-0.07137825618653476,0.45597702476199264,-0.3663255215120115,0.6664494671984271,-0.7497893430421234,0.9605002396871222
42,0.1,0.13656331978864464,0.13252077547863345,test,-0.08161955251762844,0.35010080815108574,-0.39496380352826993,0.576916940722712,-0.6215049923402749,0.917635246385113
43,0.1,0.1183133487696781,0.11467104786577084,test,-0.07128732384777861,0.2656825600274708,-0.28766409776022633,0.5053675924162592,-0.7161490853291625,1.0431857646974059
44,0.1,0.10250225704947707,0.09922556784113544,test,-0.13231351498428254,0.3457193225316021,-0.3468918917233418,0.6943718507331669,-0.6321354436244083,1.0757508637120492
45,0.1,0.08880411903021791,0.08586049821578197,test,-0.17246306166105546,0.2987623178625908,-0.5343200777875103,0.4869875120806319,-0.874819033500431,0.7594862869359313
46,0.0,0.07693656498784598,0.07429562063825788,test,-0.14283491583373947,0.315152695346587,-0.4832342092525474,0.6123501513717786,-0.7939219714639075,0.8943081895670848
47,0.1,0.06665496037105498,0.06428846041769579,test,-0.17431014923239113,0.2538600521616282,-0.4108054624373992,0.5074567864729417,-0.7786045597158343,0.7889273927656587
48,0.1,0.05774736296638467,0.055629202692496174,test,-0.20942709976272883,0.3335178986641464,-0.4259158482590689,0.6206968580077863,-0.9100038907173026,1.0020423024289884
49,0.1,0.05003015397623528,0.04813629335714522,test,-0.13757908450204986,0.24187383499964102,-0.3426445899574984,0.4574816680264351,-0.6606010986680108,0.6648231944609119
50,0.1,0.043344252949205304,0.04165263251548633,test,-0.17476402888961245,0.286098970063843,-0.3800569046100154,0.5790684489333213,-0.6045894522385123,0.7989259340727551
51,0.0,0.03755183853790671,0.036042280651371196,test,-0.25167586026445293,0.24870142215705018,-0.5166993174327665,0.5395527859910534,-0.7570480660822532,0.8265039925131551
