round,spec_key,structure_name,fractional,observation_map,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,rolling_val_metrics,complexity_penalty,score,params
2,SEIRS|fractional=1|obs=I,SEIRS,True,I,10,4,0.14122630416140525,0.17777611240711846,0.23096314508731838,0.03963512180957634,0.048057528100675685,1.1409503438143305,0.05220695205591649,0.06675768690023083,"{'1': {'mae': 0.06736629340270284, 'rmse': 0.09983982322381738, 'smape': 1.1626817638475557}, '2': {'mae': 0.04330832908960464, 'rmse': 0.04987260316808324, 'smape': 1.2035956665892664}, '4': {'mae': 0.045946233675441976, 'rmse': 0.05056063430879188, 'smape': 1.5220197365077186}}",0.20500000000000002,0.2572069520559165,"{'b0': -0.7550305068519292, 'b1': 2.2172418707847164, 'b2': 0.5471352317207376, 'sigma': 0.8828494229196618, 'gamma': 0.46549994834439185, 'omega': 0.7346580117233552, 'rho': 5.558968709128827, 'alpha': 0.9780860347471938, 'S0': 0.911391248839955, 'E0': 0.04626192127613922, 'I0': 0.042346829883905895, 'R0': 0.0, 'fractional': 1.0}"
1,SIR|fractional=0|obs=I,SIR,False,I,6,3,0.11806871483818587,0.23174827838421488,0.2928623819962104,0.22274895840089695,0.22977363814089186,1.335702956124221,0.1650660372311406,0.18117392721997772,"{'1': {'mae': 0.164459846501353, 'rmse': 0.17902794000972552, 'smape': 1.2333175738497277}, '2': {'mae': 0.16441460540735892, 'rmse': 0.17951423682054807, 'smape': 1.306277038877151}, '4': {'mae': 0.16632365978470992, 'rmse': 0.18497960482965953, 'smape': 1.459652979800538}}",0.12,0.2850660372311406,"{'b0': -0.7059187017363427, 'b1': 0.501521375516104, 'b2': -0.12275915499285564, 'gamma': 0.09734206254855104, 'rho': 3.7906614575259066, 'S0': 0.95592280366406, 'I0': 0.04407719633594006, 'R0': 0.0, 'fractional': 0.0}"
1,SEIRS|fractional=0|obs=I,SEIRS,False,I,9,4,0.13525897865706343,0.1751353924944218,0.22601707504724752,0.044714968238775105,0.055377630822474634,1.3024339490473886,0.11248378137612174,0.15195176212953598,"{'1': {'mae': 0.13321336901440012, 'rmse': 0.16871089275676207, 'smape': 1.3956680136253303}, '2': {'mae': 0.08784217962482337, 'rmse': 0.12234695017087083, 'smape': 1.478773471078413}, '4': {'mae': 0.11639579548914168, 'rmse': 0.164797443460975, 'smape': 1.6328019750204403}}",0.18,0.29248378137612174,"{'b0': -0.7649421915289032, 'b1': 2.229746288226751, 'b2': 0.5194845442919972, 'sigma': 0.881187807644769, 'gamma': 0.46039865534054836, 'omega': 0.7351121787064225, 'rho': 5.477353291319247, 'S0': 0.910138906884917, 'E0': 0.046600011568537124, 'I0': 0.04326108154654593, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=I,SEIR,False,I,8,4,0.13507167208970378,0.23151275918556666,0.29227868025323145,0.18072336944511283,0.1896796060020763,1.2666770112380477,0.14154528960301285,0.15760363272512795,"{'1': {'mae': 0.14342539408757143, 'rmse': 0.158077821371959, 'smape': 1.1865403147321556}, '2': {'mae': 0.1414719384462579, 'rmse': 0.15664797469916028, 'smape': 1.2566507292858518}, '4': {'mae': 0.1397385362752093, 'rmse': 0.15808510210426457, 'smape': 1.41008424735188}}",0.16,0.30154528960301286,"{'b0': 0.6853161875272882, 'b1': 0.4637519755493348, 'b2': -0.14806668402524786, 'sigma': 0.2287388440324601, 'gamma': 0.11857185159174877, 'rho': 4.517462638122278, 'S0': 0.8830442084231515, 'E0': 0.08026516892174103, 'I0': 0.03669062265510747, 'R0': 0.0, 'fractional': 0.0}"
2,SIR|fractional=1|obs=I,SIR,True,I,7,3,0.12224162532326874,0.23662651893738249,0.29483381125163394,0.25424657877336776,0.26025944923587546,1.3786289061123813,0.18631735427734908,0.2019428307942146,"{'1': {'mae': 0.18434154174177436, 'rmse': 0.19847061529544707, 'smape': 1.2727743328212224}, '2': {'mae': 0.18530589440343206, 'rmse': 0.19993852268234327, 'smape': 1.3458948762759555}, '4': {'mae': 0.1893046266868408, 'rmse': 0.20741935440485354, 'smape': 1.4967416461358531}}",0.14500000000000002,0.3313173542773491,"{'b0': -0.6879329908409929, 'b1': 0.6622611678923833, 'b2': -0.15515767614731926, 'gamma': 0.10905311481600226, 'rho': 3.894941545386943, 'alpha': 0.96231937697166, 'S0': 0.9563431465980824, 'I0': 0.04365685340191769, 'R0': 0.0, 'fractional': 1.0}"
1,SEIHR|fractional=0|obs=I,SEIHR,False,I,10,5,0.14039233309041266,0.2328643674676019,0.29397631166387367,0.1824169217694894,0.19126812340557972,1.269751173262072,0.14306107787455133,0.15893725260543898,"{'1': {'mae': 0.14494993176863363, 'rmse': 0.1593941879985719, 'smape': 1.1901848444901741}, '2': {'mae': 0.14299343748030194, 'rmse': 0.15797682688838371, 'smape': 1.2601154212076924}, '4': {'mae': 0.1412398643747184, 'rmse': 0.15944074292936133, 'smape': 1.4130607290443655}}",0.2,0.3430610778745513,"{'b0': 1.179009308782499, 'b1': 0.4299321555829605, 'b2': -0.08410109859164247, 'sigma': 0.24077361864035188, 'eta': 0.11675144714062405, 'delta': 0.4998258548417808, 'rho': 6.319531638180709, 'S0': 0.6226566394359342, 'E0': 0.05627895740212848, 'I0': 0.026065261240757143, 'H0': 0.29499914192118015, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=1|obs=I,SEIR,True,I,9,4,0.14205738061014944,0.23496576470890565,0.2948263780435236,0.20289010766338036,0.2106910136688299,1.3048244802012217,0.15941661527190562,0.17426732203143844,"{'1': {'mae': 0.16035000593650756, 'rmse': 0.17389078481295975, 'smape': 1.2247612183257566}, '2': {'mae': 0.1591366199838667, 'rmse': 0.17317899031202752, 'smape': 1.2953588402721248}, '4': {'mae': 0.15876321989534264, 'rmse': 0.17573219096932796, 'smape': 1.447385294927893}}",0.185,0.3444166152719056,"{'b0': 0.658587906000951, 'b1': 0.5081102514916899, 'b2': -0.15721916623923846, 'sigma': 0.24627009503246733, 'gamma': 0.1263800329244627, 'rho': 4.623753929298961, 'alpha': 0.9833708386073737, 'S0': 0.8886552878547463, 'E0': 0.07556636560684593, 'I0': 0.035778346538407516, 'R0': 0.0, 'fractional': 1.0}"
2,SEIHR|fractional=0|obs=I+H,SEIHR,False,I+H,10,5,0.15276823275368667,0.2451134337293946,0.3007601050448914,0.19484676791846775,0.20322818277331423,1.2919213328099537,0.1436134720040042,0.16291936952038147,"{'1': {'mae': 0.14521721931979187, 'rmse': 0.16297152754723118, 'smape': 1.1878785928751368}, '2': {'mae': 0.14238025339416055, 'rmse': 0.1610094378993201, 'smape': 1.2555068568721703}, '4': {'mae': 0.14324294329806017, 'rmse': 0.16477714311459307, 'smape': 1.4134082723651125}}",0.20500000000000002,0.3486134720040042,"{'b0': 0.8727298720438802, 'b1': 0.4301815145482395, 'b2': -0.12654121996319048, 'sigma': 0.24474622167731974, 'eta': 0.11139696479762706, 'delta': 0.6402575642936846, 'rho': 3.9590347297360924, 'S0': 0.8060080582160402, 'E0': 0.07834714004231824, 'I0': 0.030214557182004574, 'H0': 0.0854302445596371, 'R0': 0.0, 'fractional': 0.0}"
1,SEIAR|fractional=0|obs=I,SEIAR,False,I,11,5,0.1597445966659321,0.24564823280780995,0.30537289713098625,0.193917753670344,0.20241712562144973,1.290441233069425,0.15208232669770033,0.16768417426834903,"{'1': {'mae': 0.15396673521677232, 'rmse': 0.16820147748730746, 'smape': 1.21092470460284}, '2': {'mae': 0.15200041749875817, 'rmse': 0.16672287326016208, 'smape': 1.2803747332692827}, '4': {'mae': 0.1502798273775705, 'rmse': 0.16812817205757752, 'smape': 1.4312278120108402}}",0.21000000000000002,0.36208232669770035,"{'b0': 0.503214380539159, 'b1': 0.7502267126748401, 'b2': -0.2925898567253441, 'sigma': 0.25625345810663397, 'p_asym': 0.07562176074512005, 'gamma_i': 0.11207988333408031, 'gamma_a': 0.740647369708849, 'rho': 5.303485454576122, 'S0': 0.7814741758179833, 'E0': 0.06690115731834076, 'I0': 0.03197739537230827, 'A0': 0.11964727149136756, 'R0': 0.0, 'fractional': 0.0}"
2,SEIHR|fractional=1|obs=I,SEIHR,True,I,11,5,0.14751312733145416,0.23610111677899617,0.2963041574289396,0.20379490397072417,0.21155483435809572,1.3062887521233018,0.16042620434789964,0.17513931829881005,"{'1': {'mae': 0.16143047985456688, 'rmse': 0.1748270016887217, 'smape': 1.2270655836597097}, '2': {'mae': 0.16016003469422477, 'rmse': 0.17405246377354677, 'smape': 1.2974892840546433}, '4': {'mae': 0.1596880984949073, 'rmse': 0.17653848943416175, 'smape': 1.4490068662591067}}",0.22500000000000003,0.38542620434789965,"{'b0': 1.1576278001771365, 'b1': 0.47465260308985324, 'b2': -0.09790369551685486, 'sigma': 0.25873592294506254, 'eta': 0.12421891582846248, 'delta': 0.5001911659643882, 'rho': 6.452040015567514, 'alpha': 0.9839588242638739, 'S0': 0.6282731045356514, 'E0': 0.05300456937918245, 'I0': 0.025387278509304747, 'H0': 0.2933350475758613, 'R0': 0.0, 'fractional': 1.0}"
