t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.07596850207513067,0.07637528375093712,train
1,0.1,0.12502625075232968,0.1256067141821006,train
2,0.1,0.16707038130664265,0.16788893979155106,train
3,0.2,0.21591589126163552,0.21701655656093266,train
4,0.2,0.28398442381627903,0.2854073954425144,train
5,0.6,0.38442952273184466,0.3861987715559928,train
6,0.7,0.5326783898359345,0.5347483902137845,train
7,0.6,0.7453666387986589,0.7475131913474516,train
8,0.9,1.0329606718562592,1.0346295483675279,train
9,1.3,1.3820507130896378,1.3823107868634394,train
10,1.7,1.7337060210345447,1.7316923373718422,train
11,2.7,1.9955370519371691,1.9915088223636415,train
12,2.2,2.122345568206593,2.1178073604656085,train
13,1.8,2.1521606419754735,2.148104091062742,train
14,1.7,2.1134908581971557,2.1104459318524427,train
15,1.4,2.028406323533369,2.026641455780367,train
16,1.9,1.9132573890864575,1.9128255976971802,train
17,1.9,1.7804811785037422,1.7813316118654654,train
18,1.7,1.6390184242374972,1.6410128676540523,train
19,1.7,1.4954738589207421,1.498446530686058,train
20,1.7,1.3544034033594177,1.3581686697622493,train
21,1.5,1.2189575342215433,1.2233341887716171,train
22,1.6,1.0911525835520974,1.0959701464979987,train
23,1.1,0.9721856219088977,0.9772909574509046,train
24,1.2,0.862644838442754,0.867904700082031,train
25,0.7,0.7626795185720492,0.7679812738528329,train
26,0.7,0.6721295487701533,0.6773805987238636,train
27,0.4,0.5906240373263573,0.595750432507055,train
28,0.3,0.5176557173861491,0.5226003240861709,train
29,0.2,0.452636454358074,0.4573569174918308,train
30,0.1,0.39493808103005656,0.3994047509738048,train
31,0.2,0.3439219023198034,0.3481158349233124,validation
32,0.2,0.2989595063402786,0.30287060327023585,validation
33,0.1,0.2594469552629219,0.26307228185654874,validation
34,0.0,0.22481398059280933,0.2281562774580005,validation
35,0.1,0.1945294504943723,0.19759584086021562,validation
36,0.1,0.16810409358366538,0.17090497910284305,validation
37,0.0,0.14509123948362743,0.14763937146361958,validation
38,0.1,0.12508615960389166,0.12739586947567788,validation
39,0.0,0.10772445253321296,0.10981102398825737,validation
40,0.0,0.09267980945607497,0.09455897452502073,validation
41,0.0,0.07966140996520828,0.08134895195531652,test
42,0.0,0.06841113259422703,0.06992257994189786,test
43,0.0,0.0587007133770004,0.06005110988792793,test
44,0.0,0.05032894658254343,0.051532685071403767,test
45,0.0,0.043118991944344584,0.04418969984306281,test
46,0.0,0.03691583018312677,0.03786629719216618,test
47,0.0,0.031583891807020426,0.032426031074332645,test
48,0.0,0.02700487178942787,0.027749707392028283,test
49,0.0,0.02307573376454255,0.023733408426714855,test
50,0.0,0.019706901048157446,0.0202866990557646,test
51,0.0,0.016820627461410075,0.01733100862749098,test
