t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.13948224309662544,0.1406082723212691,train
1,0.1,0.11645875603507352,0.11745697446695103,train
2,0.1,0.1417644829124874,0.14280544077103782,train
3,0.2,0.1925637838466248,0.19379980740167896,train
4,0.2,0.2687643169032668,0.2702857610895942,train
5,0.6,0.37858604236582066,0.38042107700097316,train
6,0.7,0.5348840668417608,0.5369611282162099,train
7,0.6,0.75225631990697,0.7543144637742435,train
8,0.9,1.0397250415506043,1.0411953271836245,train
9,1.3,1.3846923857829434,1.3846899891444706,train
10,1.7,1.7325864489990772,1.7303452170717386,train
11,2.7,1.994513643764792,1.9903516567203596,train
12,2.2,2.121645434597211,2.117062850939429,train
13,1.8,2.1516078950168676,2.1475534865974604,train
14,1.7,2.1131136749590067,2.1101028894119804,train
15,1.4,2.028114860020622,2.026398081348468,train
16,1.9,1.9130628351766044,1.9126826573694176,train
17,1.9,1.7803454958161982,1.7812497614793452,train
18,1.7,1.638916454185789,1.6409518013455322,train
19,1.7,1.4954336648326074,1.4984501700665367,train
20,1.7,1.3543484241616914,1.3581354301453084,train
21,1.5,1.2189649018250002,1.2233690121429297,train
22,1.6,1.091132433229504,1.095955939292594,train
23,1.1,0.9722046720609363,0.9773187030326297,train
24,1.2,0.8626521926482534,0.8679080313066615,train
25,0.7,0.7626985486747204,0.7679937101400346,train
26,0.7,0.6721488258675304,0.6773879894852567,train
27,0.4,0.5906448052455541,0.5957559734651128,train
28,0.3,0.5176768839564676,0.5226036594743675,train
29,0.2,0.4526574250779441,0.4573582194207581,train
30,0.1,0.3949584480567762,0.39940427381816285,train
31,0.2,0.34394139401517637,0.34811386661493016,validation
32,0.2,0.29897795159925405,0.302867435483771,validation
33,0.1,0.2594642567619428,0.26306819147123084,validation
34,0.0,0.22483009463112777,0.2281515158117344,validation
35,0.1,0.19454437182267206,0.19759062838304733,validation
36,0.1,0.16811784401761767,0.17089950358069633,validation
37,0.0,0.14510385938933515,0.1476337886656052,validation
38,0.1,0.1250977015601907,0.127390305237311,validation
39,0.0,0.10773497664180978,0.10980557711019494,validation
40,0.0,0.09268937989716404,0.09455372004476609,validation
41,0.0,0.07967009249283341,0.08134394449454306,test
42,0.0,0.06841899273928666,0.06991785693749075,test
43,0.0,0.0587078151818535,0.06004669459040985,test
44,0.0,0.0503353517338014,0.05152858924766233,test
45,0.0,0.04312475920281574,0.04418592615701258,test
46,0.0,0.036921015034456044,0.03786284126154881,test
47,0.0,0.03158854627520311,0.03242288321760967,test
48,0.0,0.027009044369501026,0.027746854088752576,test
49,0.0,0.023079469441457258,0.02373083351974816,test
50,0.0,0.019710241376940645,0.020284384725625715,test
51,0.0,0.01682361068986408,0.01732893616899028,test
