origin_end,target_t,horizon,actual,prediction
31,31,1,0.2,0.2958196025300041
32,32,1,0.2,0.2342755117769056
33,33,1,0.1,0.19084836043326595
34,34,1,0.0,0.15055052858524373
35,35,1,0.1,0.11554361444395912
36,36,1,0.1,0.09448629117562822
37,37,1,0.0,0.07889178380775509
38,38,1,0.1,0.06333143218363395
39,39,1,0.0,0.05525595258646422
40,40,1,0.0,0.04596510236984684
41,41,1,0.0,0.03894637227308188
42,42,1,0.0,0.03364924744192799
43,43,1,0.0,0.02968190894822957
44,44,1,0.0,0.026723217572838305
45,45,1,0.0,0.024575714426163606
46,46,1,0.0,0.0230633229685212
47,47,1,0.0,0.022026149178252543
48,48,1,0.0,0.021359950007373726
49,49,1,0.0,0.021056706500787097
50,50,1,0.0,0.02095223593069122
51,51,1,0.0,0.021023431915615752
31,32,2,0.2,0.249632618739401
32,33,2,0.1,0.19648777244865723
33,34,2,0.0,0.1600056634203423
34,35,2,0.1,0.1260152902903547
35,36,2,0.1,0.0965015396322778
36,37,2,0.0,0.07950504719577321
37,38,2,0.1,0.06717070534489444
38,39,2,0.0,0.054359306161452466
39,40,2,0.0,0.04842576161120685
40,41,2,0.0,0.040850086648847025
41,42,2,0.0,0.035193397366479036
42,43,2,0.0,0.030975443722062204
43,44,2,0.0,0.02788226308113961
44,45,2,0.0,0.02565586112895423
45,46,2,0.0,0.024077761234926044
46,47,2,0.0,0.023046637161152895
47,48,2,0.0,0.022425326632685923
48,49,2,0.0,0.0221809010103358
49,50,2,0.0,0.02217201896453429
50,51,2,0.0,0.022349436573793496
31,34,4,0.0,0.17853105127647148
32,35,4,0.1,0.13953243432296197
33,36,4,0.1,0.1142383043440075
34,37,4,0.0,0.09027452793036711
35,38,4,0.1,0.0692803815134085
36,39,4,0.0,0.058408724574046715
37,40,4,0.0,0.05099332958262793
38,41,4,0.0,0.04222074579411061
39,42,4,0.0,0.039569176503382056
40,43,4,0.0,0.001970863323754041
41,44,4,0.0,0.001384961894298594
42,45,4,0.0,0.0009735326982710126
43,46,4,0.0,0.0006866959733663778
44,47,4,0.0,0.0004839298276228619
45,48,4,0.0,0.00034052960983214534
46,49,4,0.0,0.000240236425007869
47,50,4,0.0,0.00016926527126318893
48,51,4,0.0,0.00011903414612029365
