round,spec_key,structure_name,fractional,observation_map,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,rolling_val_metrics,complexity_penalty,score,params
2,SEIRS|fractional=1|obs=I,SEIRS,True,I,10,4,0.7136442370147378,0.5013123163523876,0.6535358221821459,0.1681457224926658,0.20751062454307181,0.2831944789924836,0.2457792279888158,0.2810414839596385,"{'1': {'mae': 0.1870062117072704, 'rmse': 0.2292892728591443, 'smape': 0.31504631584741705}, '2': {'mae': 0.3418756413432901, 'rmse': 0.3731848497367265, 'smape': 0.7660776865804733}, '4': {'mae': 0.20845583091588676, 'rmse': 0.24065032928304483, 'smape': 0.4605558753188622}}",0.20500000000000002,0.4507792279888158,"{'b0': -0.23778458269163638, 'b1': 4.689746382012537, 'b2': -0.2714399105187677, 'sigma': 0.9544426791848887, 'gamma': 0.803144255991327, 'omega': 0.12389823683644488, 'rho': 81.81369746502978, 'alpha': 0.8392090272942798, 'S0': 0.9806468180694163, 'E0': 0.00691890523938111, 'I0': 0.012434276691202664, 'R0': 0.0, 'fractional': 1.0}"
1,SIR|fractional=0|obs=I,SIR,False,I,6,3,1.7556523037872642,0.9020583236468329,1.2738804448032088,0.4532689430577997,0.5236903836025124,0.46865698212296386,0.36668992794327915,0.4402117884165313,"{'1': {'mae': 0.40933187484586825, 'rmse': 0.4872996119740329, 'smape': 0.4276264242131657}, '2': {'mae': 0.3796164337326407, 'rmse': 0.45382054170053066, 'smape': 0.5714029069832632}, '4': {'mae': 0.31112147525132855, 'rmse': 0.3795152115750304, 'smape': 0.4064193541461557}}",0.12,0.48668992794327914,"{'b0': 1.6513191674149852, 'b1': 0.5132636130843425, 'b2': -2.9823198764010126, 'gamma': 0.11855248615845408, 'rho': 27.550634280239038, 'S0': 0.9728316037746578, 'I0': 0.027168396225342145, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=I,SEIR,False,I,8,4,1.8731278244276168,0.8838437497073628,1.2969090998334851,0.43718010221960374,0.5085361813478015,0.4549332743834663,0.36255370092769246,0.4394885736142122,"{'1': {'mae': 0.3978399495770298, 'rmse': 0.47461086060539925, 'smape': 0.4190287185850021}, '2': {'mae': 0.3825970664161846, 'rmse': 0.46700792549167675, 'smape': 0.42973362524924086}, '4': {'mae': 0.3072240867898629, 'rmse': 0.37684693474556047, 'smape': 0.4019778337035018}}",0.16,0.5225537009276925,"{'b0': 1.3276119629588232, 'b1': 2.012537754413352, 'b2': -2.626241933259623, 'sigma': 0.9963404340890171, 'gamma': 0.11931427426256336, 'rho': 27.670577714855547, 'S0': 0.9674112900249016, 'E0': 0.014875958236792424, 'I0': 0.017712751738306057, 'R0': 0.0, 'fractional': 0.0}"
1,SEIHR|fractional=0|obs=I,SEIHR,False,I,10,5,1.8948400356539594,0.8874377274588602,1.2973042140027984,0.44065239702869086,0.5118018438605026,0.45791523692535785,0.3635405200341495,0.44004581995419617,"{'1': {'mae': 0.40206723834140634, 'rmse': 0.4794941321198214, 'smape': 0.42182559350913984}, '2': {'mae': 0.38516441226576925, 'rmse': 0.46985965457227147, 'smape': 0.43177883779044957}, '4': {'mae': 0.3033899094952729, 'rmse': 0.3707836731704957, 'smape': 0.3995416465645004}}",0.2,0.5635405200341495,"{'b0': 1.5048371292075886, 'b1': 2.1702689676256672, 'b2': -2.729009534885927, 'sigma': 0.9962607211754215, 'eta': 0.11914905416130796, 'delta': 0.540682084843899, 'rho': 30.77616763953114, 'S0': 0.8686533542520168, 'E0': 0.013345601224079897, 'I0': 0.015900601950515836, 'H0': 0.1021004425733874, 'R0': 0.0, 'fractional': 0.0}"
1,SEIAR|fractional=0|obs=I,SEIAR,False,I,11,5,1.9166350367068548,0.8866269109652591,1.2967326721347598,0.4374296181754678,0.5087640885001354,0.45515332061935554,0.3632652915997437,0.44044274048622944,"{'1': {'mae': 0.39893721493282897, 'rmse': 0.47579858714789897, 'smape': 0.419872314990136}, '2': {'mae': 0.386651103291449, 'rmse': 0.4739628378908117, 'smape': 0.43210617002723883}, '4': {'mae': 0.3042075565749532, 'rmse': 0.37156679641997764, 'smape': 0.3999068585105666}}",0.21000000000000002,0.5732652915997437,"{'b0': 1.1764309284719088, 'b1': 2.43458492635522, 'b2': -2.6754799910509823, 'sigma': 0.9964044363884856, 'p_asym': 0.03733230317718235, 'gamma_i': 0.11929763609062546, 'gamma_a': 0.5817608909015755, 'rho': 30.330732923756088, 'S0': 0.9196566664495076, 'E0': 0.012754094082117213, 'I0': 0.015254331080623806, 'A0': 0.052334908387751386, 'R0': 0.0, 'fractional': 0.0}"
2,SEIHR|fractional=0|obs=I+H,SEIHR,False,I+H,10,5,2.073901336340511,0.892293083933748,1.357670906231607,0.441140938109937,0.5125183214996902,0.458126704313775,0.371854575933275,0.451694273710959,"{'1': {'mae': 0.4003286292940613, 'rmse': 0.4780364103151519, 'smape': 0.42036122910597795}, '2': {'mae': 0.38403598811558254, 'rmse': 0.46907423414311716, 'smape': 0.4306455795788129}, '4': {'mae': 0.33119911039018096, 'rmse': 0.4079721766746079, 'smape': 0.41797399195753177}}",0.20500000000000002,0.576854575933275,"{'b0': 0.9558534505148143, 'b1': 2.151113960305739, 'b2': -2.0349343435329197, 'sigma': 0.9959920369202083, 'eta': 0.11930860814200563, 'delta': 0.9885109430954917, 'rho': 25.4128480757239, 'S0': 0.9430024635820047, 'E0': 0.016457790077509145, 'I0': 0.011390446755144803, 'H0': 0.029149299585341442, 'R0': 0.0, 'fractional': 0.0}"
1,SEIRS|fractional=0|obs=I,SEIRS,False,I,9,4,0.8068637826238529,0.5666893419326767,0.7333376496613849,0.42358089548899064,0.4492990527819296,1.0278173283202074,0.42130670466554493,0.4475160789472088,"{'1': {'mae': 0.40311180855574785, 'rmse': 0.43050333808761165, 'smape': 0.9502713250457282}, '2': {'mae': 0.4099501453649701, 'rmse': 0.4383901039589288, 'smape': 1.0317614352971463}, '4': {'mae': 0.4508581600759167, 'rmse': 0.47365479479508604, 'smape': 1.2363185858385701}}",0.18,0.6013067046655449,"{'b0': -2.0977727833709228, 'b1': 4.99620700256167, 'b2': 0.29472144920519655, 'sigma': 0.981436910306306, 'gamma': 0.30053334828011785, 'omega': 0.13871890725674677, 'rho': 39.64186540431578, 'S0': 0.9686703905286573, 'E0': 0.013968163538231016, 'I0': 0.017361445933111515, 'R0': 0.0, 'fractional': 0.0}"
2,SIR|fractional=1|obs=I,SIR,True,I,7,3,0.9476686740052593,0.733389767281215,0.9067075267451019,0.5723305348694697,0.6483816104690773,0.5568468582313388,0.5345581653682293,0.708020465413945,"{'1': {'mae': 0.4940347330999466, 'rmse': 0.5793833916573736, 'smape': 0.4933224894311926}, '2': {'mae': 0.5739756507869741, 'rmse': 0.8078219160634937, 'smape': 0.5362226611961378}, '4': {'mae': 0.5356641122177672, 'rmse': 0.7368560885209676, 'smape': 0.544531688698218}}",0.14500000000000002,0.6795581653682293,"{'b0': 0.34695550640513645, 'b1': 2.145939665029696, 'b2': -1.395288964938572, 'gamma': 0.5500170235968876, 'rho': 60.45246927398283, 'alpha': 0.7018427206795287, 'S0': 0.9759148173302962, 'I0': 0.024085182669703806, 'R0': 0.0, 'fractional': 1.0}"
2,SEIAR|fractional=1|obs=I,SEIAR,True,I,12,5,1.3685178351961444,0.7537007665718439,0.9844335792039464,1.3101756254332149,1.4448311978509996,0.9236427399596924,0.5281287237515699,0.6818581489336434,"{'1': {'mae': 0.6765000304623003, 'rmse': 0.9841108459661916, 'smape': 0.5209044316585401}, '2': {'mae': 0.4740868842253835, 'rmse': 0.5643201001026491, 'smape': 0.5093271999045137}, '4': {'mae': 0.433799256567026, 'rmse': 0.4971435007320894, 'smape': 0.5212490891908411}}",0.235,0.7631287237515699,"{'b0': 2.674527525827588, 'b1': 3.3774924441737584, 'b2': -4.292776138571967, 'sigma': 0.9986673600417347, 'p_asym': 0.009053423422491451, 'gamma_i': 0.6384735694268945, 'gamma_a': 0.36522544724576356, 'rho': 76.75255204232683, 'alpha': 0.7470653037251077, 'S0': 0.9248667628332641, 'E0': 0.006116073566544036, 'I0': 0.004819904937353873, 'A0': 0.06419725866283817, 'R0': 0.0, 'fractional': 1.0}"
1,SEIR|fractional=1|obs=I,SEIR,True,I,9,4,1.2749987897658586,0.7729569760756937,0.9975912071661457,1.3213062626169987,1.4317609376282219,0.9396932283024656,0.6099050523424938,0.765184790408257,"{'1': {'mae': 0.6579712324631732, 'rmse': 0.8192277589552728, 'smape': 0.5906629897899023}, '2': {'mae': 0.688900282537903, 'rmse': 0.8889159872307015, 'smape': 0.6055426659828269}, '4': {'mae': 0.48284364202640523, 'rmse': 0.5874106250387968, 'smape': 0.534816166041455}}",0.185,0.7949050523424939,"{'b0': 2.763112819707658, 'b1': 2.8322268181613985, 'b2': -3.420960114871757, 'sigma': 0.9984513336917803, 'gamma': 0.6179756864658127, 'rho': 70.39356481171703, 'alpha': 0.7528663404440997, 'S0': 0.9752767288711202, 'E0': 0.007527244171904119, 'I0': 0.017196026956975755, 'R0': 0.0, 'fractional': 1.0}"
