origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,2.8845600610831683,1.5845600610831683,1.5845600610831683
32,32,1,0.8,0.8543864635449558,0.0543864635449558,0.0543864635449558
33,33,1,0.9,0.6854542571780409,-0.21454574282195915,0.21454574282195915
34,34,1,0.9,0.5775409084868584,-0.32245909151314167,0.32245909151314167
35,35,1,0.5,0.5021164320428969,0.0021164320428969097,0.0021164320428969097
36,36,1,0.5,0.4329242742764011,-0.06707572572359888,0.06707572572359888
37,37,1,0.8,0.3802415225783646,-0.41975847742163547,0.41975847742163547
38,38,1,0.4,0.3463788750520608,-0.05362112494793925,0.05362112494793925
39,39,1,0.5,0.3112563251617781,-0.1887436748382219,0.1887436748382219
40,40,1,0.6,0.2826254872992032,-0.31737451270079675,0.31737451270079675
41,41,1,0.4,0.2619154288793946,-0.1380845711206054,0.1380845711206054
42,42,1,0.2,0.24075237676957678,0.04075237676957677,0.04075237676957677
43,43,1,0.2,0.22186442207517354,0.02186442207517353,0.02186442207517353
44,44,1,0.4,0.20501130743725574,-0.1949886925627443,0.1949886925627443
45,45,1,0.3,0.19139691177779444,-0.10860308822220555,0.10860308822220555
46,46,1,0.2,0.1792658849580536,-0.020734115041946416,0.020734115041946416
47,47,1,0.3,0.16871630883523642,-0.13128369116476357,0.13128369116476357
48,48,1,0.3,0.15969947846712898,-0.140300521532871,0.140300521532871
49,49,1,0.3,0.1523383196101311,-0.14766168038986888,0.14766168038986888
50,50,1,0.4,0.14726441966552015,-0.25273558033447985,0.25273558033447985
51,51,1,0.0,0.1444433611359719,0.1444433611359719,0.1444433611359719
31,32,2,0.8,1.345063963917675,0.5450639639176749,0.5450639639176749
32,33,2,0.9,0.7017626114384378,-0.19823738856156226,0.19823738856156226
33,34,2,0.9,0.567460144370897,-0.33253985562910304,0.33253985562910304
34,35,2,0.5,0.48940758876819707,-0.010592411231802934,0.010592411231802934
35,36,2,0.5,0.43406308053812703,-0.06593691946187297,0.06593691946187297
36,37,2,0.8,0.380686854546377,-0.419313145453623,0.419313145453623
37,38,2,0.4,0.3383844917896587,-0.06161550821034134,0.06161550821034134
38,39,2,0.5,0.3110650031471469,-0.1889349968528531,0.1889349968528531
39,40,2,0.6,0.28178274392394465,-0.31821725607605533,0.31821725607605533
40,41,2,0.4,0.25768402746972274,-0.14231597253027728,0.14231597253027728
41,42,2,0.2,0.24018227744755416,0.04018227744755415,0.04018227744755415
42,43,2,0.2,0.22200199620558364,0.02200199620558363,0.02200199620558363
43,44,2,0.4,0.20559827549215395,-0.19440172450784607,0.19440172450784607
44,45,2,0.3,0.19091159122236193,-0.10908840877763806,0.10908840877763806
45,46,2,0.2,0.17904785031284667,-0.020952149687153337,0.020952149687153337
46,47,2,0.3,0.1685271843106771,-0.1314728156893229,0.1314728156893229
47,48,2,0.3,0.15941227748536557,-0.14058772251463442,0.14058772251463442
48,49,2,0.3,0.15200345173420926,-0.14799654826579073,0.14799654826579073
49,50,2,0.4,0.14658704000351322,-0.25341295999648683,0.25341295999648683
50,51,2,0.0,0.1437222946547053,0.1437222946547053,0.1437222946547053
31,34,4,0.9,0.5572628200191575,-0.3427371799808425,0.3427371799808425
32,35,4,0.5,0.4841847413588873,-0.015815258641112717,0.015815258641112717
33,36,4,0.5,0.4152351071295848,-0.08476489287041522,0.08476489287041522
34,37,4,0.8,0.37015020251567865,-0.4298497974843214,0.4298497974843214
35,38,4,0.4,0.3383360072841203,-0.061663992715879745,0.061663992715879745
36,39,4,0.5,0.30331308856730144,-0.19668691143269856,0.19668691143269856
37,40,4,0.6,0.2746181622409562,-0.3253818377590438,0.3253818377590438
38,41,4,0.4,0.25676580375562863,-0.1432341962443714,0.1432341962443714
39,42,4,0.2,0.2356970802193584,0.035697080219358385,0.035697080219358385
40,43,4,0.2,0.21907696585683342,0.01907696585683341,0.01907696585683341
41,44,4,0.4,0.2042408038281525,-0.19575919617184753,0.19575919617184753
42,45,4,0.3,0.19219002563451876,-0.10780997436548123,0.10780997436548123
43,46,4,0.2,0.17961533526801357,-0.02038466473198644,0.02038466473198644
44,47,4,0.3,0.16859338678568236,-0.13140661321431762,0.13140661321431762
45,48,4,0.3,0.15974165061377976,-0.14025834938622023,0.14025834938622023
46,49,4,0.3,0.1522008423934104,-0.1477991576065896,0.1477991576065896
47,50,4,0.4,0.1465852281824334,-0.2534147718175666,0.2534147718175666
48,51,4,0.0,0.14364439804808288,0.14364439804808288,0.14364439804808288
