t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.7,0.6151641795775793,0.8029968737991839,train
1,0.7,0.5391175526046411,0.7045620184666259,train
2,0.6,0.8025214998663412,0.9026335928617637,train
3,0.5,0.9800577387449098,1.058835008347929,train
4,1.1,1.277550177973082,1.312390763647889,train
5,1.6,1.6665026689371543,1.6746810244042656,train
6,2.1,2.2595216160608653,2.245246815929497,train
7,3.4,3.1878558881251107,3.1705119963947093,train
8,5.4,4.718322504527433,4.721931628579662,train
9,7.6,7.276795738271924,7.333956850612435,train
10,10.6,11.420614423388589,11.5404278864484,train
11,17.4,17.180735678105837,17.270407247121113,train
12,25.3,21.816280271274824,21.662390345914897,train
13,19.3,19.12074489056493,19.010449530500882,train
14,14.8,16.756407078696263,16.677139194395505,train
15,12.0,14.687444131516981,14.638729139830946,train
16,10.2,12.868159079548116,12.835587092372608,train
17,9.6,11.284798036245316,11.27623412339619,train
18,9.4,9.877381546362157,9.874063773202083,train
19,9.0,8.677810797632603,8.690948031967554,train
20,9.2,7.572034058998479,7.59299777059173,train
21,9.5,6.683712040091141,6.6974612569725185,train
22,7.2,5.797005272132763,5.844553581610923,train
23,6.1,5.148494552877421,5.152694802184986,train
24,4.8,4.447505000833629,4.5063719278799015,train
25,5.0,3.9489409933537303,3.960866448423864,train
26,4.4,3.4287119375667334,3.47334255729371,train
27,3.6,3.0200827347720143,3.0480668054073177,train
28,2.7,2.641891817893647,2.6745219329628087,train
29,2.0,2.3163231267185562,2.346776929033274,train
30,1.5,2.0300274369472833,2.0592012231929497,train
31,1.3,1.7791673950389673,1.8068702918544632,validation
32,0.8,1.559314466371286,1.585463978281697,validation
33,0.9,1.3666336886383277,1.3911917614428422,validation
34,0.9,1.1977660935382877,1.220727760323876,validation
35,0.5,1.0497681509146888,1.0711537692098565,validation
36,0.5,0.9200602232621783,0.9399092875620899,validation
37,0.8,0.8063815530341099,0.8247476788734766,validation
38,0.4,0.70675084126923,0.7236977053190439,validation
39,0.5,0.6194317057404286,0.6350297784932732,validation
40,0.6,0.5429024109958885,0.5572263475137604,validation
41,0.4,0.4758293408496682,0.4889559164228551,test
42,0.2,0.4170437500529019,0.4290502443936906,test
43,0.2,0.3655213893608917,0.3764843359196338,test
44,0.4,0.32036464839776024,0.3303588755726717,test
45,0.3,0.28078690445960774,0.2898848053837113,test
46,0.2,0.2460988033374525,0.25436978412046973,test
47,0.3,0.2156962312319584,0.22320630509254766,test
48,0.3,0.18904976644059238,0.19586127814905935,test
49,0.3,0.165695427764449,0.17186690102673638,test
50,0.4,0.14522656373020768,0.15081266031260507,test
51,0.0,0.1272867491572117,0.1323383185907337,test
