origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,1.3,1.884953762805495,0.584953762805495,0.584953762805495
32,32,1,0.8,2.0950540755272713,1.2950540755272713,1.2950540755272713
33,33,1,0.9,1.8254637073029174,0.9254637073029174,0.9254637073029174
34,34,1,0.9,1.4386653818114672,0.5386653818114672,0.5386653818114672
35,35,1,0.5,1.3561674816869809,0.8561674816869809,0.8561674816869809
36,36,1,0.5,1.136826149157786,0.636826149157786,0.636826149157786
37,37,1,0.8,1.055406952037385,0.25540695203738495,0.25540695203738495
38,38,1,0.4,0.9217101378471202,0.5217101378471202,0.5217101378471202
39,39,1,0.5,0.8555570860277512,0.35555708602775116,0.35555708602775116
40,40,1,0.6,0.7667219511613405,0.16672195116134048,0.16672195116134048
41,41,1,0.4,0.7150321284474485,0.31503212844744843,0.31503212844744843
42,42,1,0.2,0.6570214385468826,0.45702143854688254,0.45702143854688254
43,43,1,0.2,0.6117017238112705,0.4117017238112705,0.4117017238112705
44,44,1,0.4,0.5710757120451498,0.17107571204514982,0.17107571204514982
45,45,1,0.3,0.5378393902771598,0.23783939027715978,0.23783939027715978
46,46,1,0.2,0.5092079217068611,0.3092079217068611,0.3092079217068611
47,47,1,0.3,0.4868978278229677,0.1868978278229677,0.1868978278229677
48,48,1,0.3,0.4691460240680474,0.1691460240680474,0.1691460240680474
49,49,1,0.3,0.4579954596214328,0.1579954596214328,0.1579954596214328
50,50,1,0.4,0.45349094525181355,0.053490945251813526,0.053490945251813526
51,51,1,0.0,0.4578667192927951,0.4578667192927951,0.4578667192927951
31,32,2,0.8,2.8582910971092996,2.0582910971093,2.0582910971093
32,33,2,0.9,2.7235713609593315,1.8235713609593316,1.8235713609593316
33,34,2,0.9,1.2482357203216192,0.3482357203216192,0.3482357203216192
34,35,2,0.5,1.0862385719139476,0.5862385719139476,0.5862385719139476
35,36,2,0.5,0.9536150242303333,0.4536150242303333,0.4536150242303333
36,37,2,0.8,0.837184157121911,0.03718415712191092,0.03718415712191092
37,38,2,0.4,0.9104176858172165,0.5104176858172165,0.5104176858172165
38,39,2,0.5,0.8255923166725564,0.3255923166725564,0.3255923166725564
39,40,2,0.6,0.7270439268144542,0.1270439268144542,0.1270439268144542
40,41,2,0.4,0.6761723320304273,0.27617233203042724,0.27617233203042724
41,42,2,0.2,0.6184013416201338,0.4184013416201338,0.4184013416201338
42,43,2,0.2,0.5776132515344756,0.3776132515344756,0.3776132515344756
43,44,2,0.4,0.5321732588560717,0.13217325885607167,0.13217325885607167
44,45,2,0.3,0.4968903113005252,0.1968903113005252,0.1968903113005252
45,46,2,0.2,0.4669566622629543,0.2669566622629543,0.2669566622629543
46,47,2,0.3,0.4357304004994065,0.1357304004994065,0.1357304004994065
47,48,2,0.3,0.41480431430792825,0.11480431430792826,0.11480431430792826
48,49,2,0.3,0.3994269987155001,0.09942699871550009,0.09942699871550009
49,50,2,0.4,0.37937137928952164,-0.020628620710478385,0.020628620710478385
50,51,2,0.0,0.3610281208069931,0.3610281208069931,0.3610281208069931
31,34,4,0.9,1.307937991129719,0.40793799112971907,0.40793799112971907
32,35,4,0.5,1.1521512515779195,0.6521512515779195,0.6521512515779195
33,36,4,0.5,0.9636983352663313,0.4636983352663313,0.4636983352663313
34,37,4,0.8,0.8382872607437505,0.03828726074375044,0.03828726074375044
35,38,4,0.4,0.7359890594300293,0.3359890594300293,0.3359890594300293
36,39,4,0.5,0.64617455338204,0.14617455338204,0.14617455338204
37,40,4,0.6,0.5506774305973323,-0.04932256940266766,0.04932256940266766
38,41,4,0.4,0.4829158120540837,0.08291581205408366,0.08291581205408366
39,42,4,0.2,0.4234925215249523,0.2234925215249523,0.2234925215249523
40,43,4,0.2,0.37138132836999305,0.17138132836999304,0.17138132836999304
41,44,4,0.4,0.32568247169324877,-0.07431752830675126,0.07431752830675126
42,45,4,0.3,0.28291861632730714,-0.01708138367269285,0.01708138367269285
43,46,4,0.2,0.2477152314072405,0.04771523140724049,0.04771523140724049
44,47,4,0.3,0.2171524359660098,-0.08284756403399018,0.08284756403399018
45,48,4,0.3,0.19036044001765262,-0.10963955998234737,0.10963955998234737
46,49,4,0.3,0.1668740070304601,-0.1331259929695399,0.1331259929695399
47,50,4,0.4,0.14628530077609436,-0.25371469922390566,0.25371469922390566
48,51,4,0.0,0.12823681199215378,0.12823681199215378,0.12823681199215378
