t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.3294536528297703,0.33095147487294346,train
1,0.2,0.34778733940609463,0.3493429848975599,train
2,0.3,0.37813213625298814,0.37960534423203796,train
3,0.3,0.42691810704461497,0.42812291400181424,train
4,0.5,0.5050349877563146,0.5056915440687827,train
5,0.8,0.6316770179805673,0.6313282682823365,train
6,0.9,0.8417418197884617,0.8396163237240245,train
7,1.4,1.1996171555243886,1.1944453135825208,train
8,2.1,1.821532131403422,1.8114905899298213,train
9,2.9,2.8941566978879023,2.8777700783347404,train
10,4.1,4.602595094146426,4.582898689091857,train
11,6.7,6.688540415673063,6.680547577235468,train
12,8.9,7.688720417553623,7.7038745478354995,train
13,6.9,6.762492253819504,6.769267390833813,train
14,5.4,5.954148115206542,5.9618450576621,train
15,4.2,5.2405301393152515,5.24642880718608,train
16,3.9,4.6129571282630915,4.618080745435541,train
17,3.5,4.0604209131952125,4.064695082647501,train
18,3.5,3.574086999354789,3.577675484071407,train
19,3.4,3.1460012888626268,3.1490027750558514,train
20,3.3,2.7691895468546606,2.771693405378409,train
21,3.3,2.437510366628753,2.439592755771373,train
22,2.7,2.145558000902711,2.147283968926016,train
23,2.1,1.8885741773233644,1.8899992355762651,train
24,1.9,1.6623705449964503,1.6635420197039879,train
25,1.7,1.4632604120408088,1.4642186087945572,train
26,1.7,1.287998659440267,1.2887778661143894,train
27,1.3,1.1337288517271817,1.134358201850557,train
28,0.9,0.9979366824788438,0.9984408981091248,train
29,0.7,0.8784089958722311,0.8788090264530314,train
30,0.5,0.7731977164249605,0.7735112878870452,train
31,0.4,0.6805880990451211,0.6808301854882401,validation
32,0.3,0.5990707819257092,0.5992540105499844,validation
33,0.3,0.5273171867986193,0.5274521853092368,validation
34,0.3,0.4641578656187909,0.46425356007575386,validation
35,0.2,0.4085634407703703,0.40862731077065784,validation
36,0.2,0.35962782815625044,0.3596661252967425,validation
37,0.2,0.3165534697390442,0.31657140449571747,validation
38,0.2,0.2786383348518056,0.278640236307238,validation
39,0.2,0.24526447842442137,0.24525393066702222,validation
40,0.2,0.21588796964637752,0.21586792813835531,validation
41,0.1,0.19003002692213186,0.19000291767805855,test
42,0.1,0.16726921463561134,0.16723701866002616,test
43,0.1,0.1472345745458383,0.1471988996383913,test
44,0.1,0.12959957986840953,0.12956172161141463,test
45,0.1,0.11407681350577879,0.11403780699550611,test
46,0.1,0.10041328369154959,0.10037394735574887,test
47,0.1,0.08838630070263012,0.08834727335796343,test
48,0.1,0.07779984743744811,0.07776161957766899,test
49,0.1,0.06848138470750689,0.06844432487284066,test
50,0.1,0.06027903917457067,0.060243416131783446,test
51,0.0,0.05305912810216749,0.053025129460621614,test
