origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7295685972238413,0.32956859722384124,0.32956859722384124
32,32,1,0.3,0.6328597813370955,0.33285978133709554,0.33285978133709554
33,33,1,0.3,0.5488349848299153,0.24883498482991534,0.24883498482991534
34,34,1,0.3,0.47808150102069413,0.17808150102069414,0.17808150102069414
35,35,1,0.2,0.41792625488796764,0.21792625488796763,0.21792625488796763
36,36,1,0.2,0.3646817030106079,0.16468170301060792,0.16468170301060792
37,37,1,0.2,0.31900975896615597,0.11900975896615595,0.11900975896615595
38,38,1,0.2,0.27962849802464607,0.07962849802464605,0.07962849802464605
39,39,1,0.2,0.24551613768770827,0.045516137687708264,0.045516137687708264
40,40,1,0.2,0.2158598894493872,0.015859889449387182,0.015859889449387182
41,41,1,0.1,0.19000222453650595,0.09000222453650594,0.09000222453650594
42,42,1,0.1,0.1668371722616521,0.06683717226165209,0.06683717226165209
43,43,1,0.1,0.14661924069020824,0.04661924069020823,0.04661924069020823
44,44,1,0.1,0.12894192363762116,0.02894192363762116,0.02894192363762116
45,45,1,0.1,0.11345878711237574,0.013458787112375734,0.013458787112375734
46,46,1,0.1,0.09988721005193256,-0.00011278994806744602,0.00011278994806744602
47,47,1,0.1,0.08797036823341342,-0.012029631766586585,0.012029631766586585
48,48,1,0.1,0.07749919688713626,-0.022500803112863746,0.022500803112863746
49,49,1,0.1,0.06829359200697842,-0.03170640799302159,0.03170640799302159
50,50,1,0.1,0.0601935087665244,-0.039806491233475606,0.039806491233475606
51,51,1,0.0,0.05306347079126631,0.05306347079126631,0.05306347079126631
31,32,2,0.3,0.6448100274285467,0.34481002742854666,0.34481002742854666
32,33,2,0.3,0.5587468038220254,0.25874680382202536,0.25874680382202536
33,34,2,0.3,0.4841113999530927,0.18411139995309272,0.18411139995309272
34,35,2,0.2,0.42141079196015796,0.22141079196015795,0.22141079196015795
35,36,2,0.2,0.36824493335974984,0.16824493335974983,0.16824493335974983
36,37,2,0.2,0.3211860712026801,0.1211860712026801,0.1211860712026801
37,38,2,0.2,0.2808787686692768,0.08087876866927679,0.08087876866927679
38,39,2,0.2,0.24615757480063144,0.04615757480063143,0.04615757480063143
39,40,2,0.2,0.21610656008689497,0.016106560086894955,0.016106560086894955
40,41,2,0.1,0.1899963249746787,0.08999632497467869,0.08999632497467869
41,42,2,0.1,0.16723683769658876,0.06723683769658875,0.06723683769658875
42,43,2,0.1,0.1468347045907744,0.046834704590774406,0.046834704590774406
43,44,2,0.1,0.12903465990245527,0.029034659902455268,0.029034659902455268
44,45,2,0.1,0.11347446743400501,0.013474467434005002,0.013474467434005002
45,46,2,0.1,0.09985297938525192,-0.00014702061474808348,0.00014702061474808348
46,47,2,0.1,0.08791034295422681,-0.012089657045773194,0.012089657045773194
47,48,2,0.1,0.07742000361838466,-0.02257999638161534,0.02257999638161534
48,49,2,0.1,0.06820781469023596,-0.03179218530976405,0.03179218530976405
49,50,2,0.1,0.06011020863677228,-0.039889791363227727,0.039889791363227727
50,51,2,0.0,0.052981147067681235,0.052981147067681235,0.052981147067681235
31,34,4,0.3,0.5036867318395635,0.20368673183956348,0.20368673183956348
32,35,4,0.2,0.43553798600040705,0.23553798600040704,0.23553798600040704
33,36,4,0.2,0.37663311458215787,0.17663311458215786,0.17663311458215786
34,37,4,0.2,0.3274420669605947,0.12744206696059468,0.12744206696059468
35,38,4,0.2,0.285897538833658,0.08589753883365797,0.08589753883365797
36,39,4,0.2,0.24913831943967332,0.04913831943967331,0.04913831943967331
37,40,4,0.2,0.21774286038566346,0.017742860385663445,0.017742860385663445
38,41,4,0.1,0.19075789187778908,0.09075789187778907,0.09075789187778907
39,42,4,0.1,0.1674392261799521,0.0674392261799521,0.0674392261799521
40,43,4,0.1,0.1471720512512755,0.04717205125127549,0.04717205125127549
41,44,4,0.1,0.12956148435713083,0.029561484357130824,0.029561484357130824
42,45,4,0.1,0.11373622003877598,0.013736220038775976,0.013736220038775976
43,46,4,0.1,0.09993647973692751,-6.352026307249181e-05,6.352026307249181e-05
44,47,4,0.1,0.08788413440386394,-0.01211586559613606,0.01211586559613606
45,48,4,0.1,0.07733515055181607,-0.022664849448183935,0.022664849448183935
46,49,4,0.1,0.06808356476876223,-0.03191643523123777,0.03191643523123777
47,50,4,0.1,0.05996598893039236,-0.04003401106960765,0.04003401106960765
48,51,4,0.0,0.052833562052434196,0.052833562052434196,0.052833562052434196
