t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.26408436346876485,0.26502717053553637,train
1,0.2,0.24343432275654958,0.24415497763885022,train
2,0.3,0.2594061748054455,0.25998863452836346,train
3,0.3,0.30368329953463563,0.3041802362115398,train
4,0.5,0.3744066388915186,0.3747696026622797,train
5,0.8,0.49221427444419924,0.4924677996242651,train
6,0.9,0.7187245366488983,0.7187457058091415,train
7,1.4,0.9452955356101604,0.9450206514813706,train
8,2.1,1.4078062480751203,1.4069454321668875,train
9,2.9,2.131237552531956,2.129686186456195,train
10,4.1,3.1762286536413296,3.173968923265754,train
11,6.7,4.56843183693149,4.566976876520379,train
12,8.9,6.220611300217393,6.2208028732250895,train
13,6.9,6.987889628073948,6.988076497844389,train
14,5.4,6.580715082303874,6.581865722469227,train
15,4.2,5.867898134804611,5.869087192818185,train
16,3.9,5.081017765782537,5.082870206250489,train
17,3.5,4.30792799431981,4.309357564972096,train
18,3.5,3.7744041680033336,3.7765051211630096,train
19,3.4,3.416061275876023,3.417566340017166,train
20,3.3,3.200824976009028,3.202802328169768,train
21,3.3,2.983750817486063,2.9852801126920165,train
22,2.7,2.8576336196760614,2.8593651832747,train
23,2.1,2.5425385734430392,2.543990099294718,train
24,1.9,2.179232883670346,2.180705833181969,train
25,1.7,1.913973174111274,1.915259569913966,train
26,1.7,1.6649469858385122,1.6661608722134358,train
27,1.3,1.5172540459565664,1.5183285184402495,train
28,0.9,1.3022264819720373,1.3032035517152891,train
29,0.7,1.058292126682299,1.0591677041973329,train
30,0.5,0.8704731142519027,0.8712703576388181,train
31,0.4,0.6830158543892921,0.6837440133190491,validation
32,0.3,0.5479503042474487,0.6511211216733926,validation
33,0.3,0.4446333855811752,0.6227530271830217,validation
34,0.3,0.38502284469157694,0.5980968713847729,validation
35,0.2,0.34860143077947214,0.5766337143954647,validation
36,0.2,0.28993111287765366,0.5579251848528071,validation
37,0.2,0.26113047481012136,0.5415893743744794,validation
38,0.2,0.23937672999301435,0.5273033014757852,validation
39,0.2,0.21939386863776558,0.5147907250691219,validation
40,0.2,0.2084468820390608,0.5038164617238792,validation
41,0.1,0.1988345311474796,0.19917908813125224,test
42,0.1,0.1578842407712174,0.19070585803898793,test
43,0.1,0.13794747981265068,0.18324807152189032,test
44,0.1,0.12389614852602977,0.17667746862005507,test
45,0.1,0.11061954312232365,0.17088319261826526,test
46,0.1,0.10552191424652832,0.1657693501811205,test
47,0.1,0.10102048828443302,0.1612530324604407,test
48,0.1,0.09704393986111372,0.15726278815805061,test
49,0.1,0.09353131885065927,0.1537375517397354,test
50,0.1,0.09043151587611432,0.15062611315500057,test
51,0.0,0.08770342804097024,0.1478872946992405,test
