t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.32946406864354705,0.3309492085221259,train
1,0.2,0.3478027604858227,0.34934072190932114,train
2,0.3,0.37815262123857024,0.37960307373981633,train
3,0.3,0.4269440166034529,0.428120622888175,train
4,0.5,0.5050670280532064,0.5056892223917526,train
5,0.8,0.6317162450584787,0.6313259221440999,train
6,0.9,0.8417894628373641,0.8396140054314618,train
7,1.4,1.1996738460984673,1.1944431890294611,train
8,2.1,1.8215954786964024,1.8114890731533635,train
9,2.9,2.8942151609869744,2.8777700230935985,train
10,4.1,4.60261791701182,4.582901309660216,train
11,6.7,6.688483995397195,6.680552862128814,train
12,8.9,7.688607964269929,7.703878557779883,train
13,6.9,6.762417876544938,6.769268957513253,train
14,5.4,5.954084755852777,5.961846215900364,train
15,4.2,5.2404821131537895,5.246429171794945,train
16,3.9,4.612920089122209,4.6180806153144305,train
17,3.5,4.060393268114584,4.064694542947092,train
18,3.5,3.574066972965671,3.5776746394230052,train
19,3.4,3.1459874579429177,3.149001705852792,train
20,3.3,2.7691807144861107,2.7716921775650087,train
21,3.3,2.437505533825645,2.4395914227074846,train
22,2.7,2.1455563362820835,2.147282573460835,train
23,2.1,1.8885749912822583,1.8899978118016643,train
24,1.9,1.6623732676750704,1.663540594438003,train
25,1.7,1.4632645745310886,1.4642172028350406,train
26,1.7,1.2880038777781444,1.2887764952966585,train
27,1.3,1.1337348132712766,1.1343568779380198,train
28,0.9,0.997943134333512,0.9984396295417228,train
29,0.7,0.8784157350606736,0.8788078189747837,train
30,0.5,0.7732045815592454,0.7735101450709249,train
31,0.4,0.68059496327551,0.6808291091739742,validation
32,0.3,0.5990775469823344,0.5992530012081084,validation
33,0.3,0.5273237779649873,0.527451242342793,validation
34,0.3,0.464164227499373,0.464252682069347,validation
35,0.2,0.40856953373416666,0.4086264956951534,validation
36,0.2,0.35963362535511734,0.3596653706766623,validation
37,0.2,0.31655895461412065,0.3165707075453313,validation
38,0.2,0.2786434990538906,0.27863959404045097,validation
39,0.2,0.24526932008491253,0.24525333998538315,validation
40,0.2,0.21589249194463014,0.21586738590085133,validation
41,0.1,0.19003423690303414,0.1900024207557976,test
42,0.1,0.16727312223799107,0.1672365639784263,test
43,0.1,0.14723819180815842,0.14719848420908602,test
44,0.1,0.12960292028322248,0.12956134255573282,test
45,0.1,0.114079891498699,0.11403746156108743,test
46,0.1,0.10041611420417722,0.10037363292760268,test
47,0.1,0.08838889886199935,0.0883469874650642,test
48,0.1,0.07780222829725623,0.07776135989599904,test
49,0.1,0.06848356304867145,0.068444089225637,test
50,0.1,0.060281029354614935,0.06024320248761472,test
51,0.0,0.053060943944598656,0.053024935929812084,test
