origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.729566551358887,0.329566551358887,0.329566551358887
32,32,1,0.3,0.6328651654035669,0.33286516540356686,0.33286516540356686
33,33,1,0.3,0.5488505688830597,0.24885056888305973,0.24885056888305973
34,34,1,0.3,0.47808690136684256,0.17808690136684258,0.17808690136684258
35,35,1,0.2,0.4179243786712808,0.21792437867128078,0.21792437867128078
36,36,1,0.2,0.3646834727604219,0.1646834727604219,0.1646834727604219
37,37,1,0.2,0.31901190962620585,0.11901190962620584,0.11901190962620584
38,38,1,0.2,0.27962685120725983,0.07962685120725982,0.07962685120725982
39,39,1,0.2,0.24551408455696513,0.04551408455696512,0.04551408455696512
40,40,1,0.2,0.21586302415203795,0.01586302415203794,0.01586302415203794
41,41,1,0.1,0.1900155616789392,0.0900155616789392,0.0900155616789392
42,42,1,0.1,0.16683719690816257,0.06683719690816256,0.06683719690816256
43,43,1,0.1,0.14661836049120097,0.046618360491200966,0.046618360491200966
44,44,1,0.1,0.1289418187860549,0.028941818786054896,0.028941818786054896
45,45,1,0.1,0.11346040951733201,0.013460409517332003,0.013460409517332003
46,46,1,0.1,0.09988657976449034,-0.00011342023550967029,0.00011342023550967029
47,47,1,0.1,0.08797014285689808,-0.012029857143101924,0.012029857143101924
48,48,1,0.1,0.07749926973094291,-0.022500730269057093,0.022500730269057093
49,49,1,0.1,0.06829230802085505,-0.031707691979144956,0.031707691979144956
50,50,1,0.1,0.060185356313593764,-0.03981464368640624,0.03981464368640624
51,51,1,0.0,0.05306353588216146,0.05306353588216146,0.05306353588216146
31,32,2,0.3,0.6448140392531111,0.3448140392531111,0.3448140392531111
32,33,2,0.3,0.5587457971402806,0.2587457971402806,0.2587457971402806
33,34,2,0.3,0.4841081469027635,0.1841081469027635,0.1841081469027635
34,35,2,0.2,0.4214226552448489,0.2214226552448489,0.2214226552448489
35,36,2,0.2,0.3682463935982988,0.1682463935982988,0.1682463935982988
36,37,2,0.2,0.3211832928372442,0.12118329283724422,0.12118329283724422
37,38,2,0.2,0.28088291892668127,0.08088291892668126,0.08088291892668126
38,39,2,0.2,0.24616830456649144,0.04616830456649143,0.04616830456649143
39,40,2,0.2,0.2161072083253524,0.016107208325352396,0.016107208325352396
40,41,2,0.1,0.1899926091086639,0.08999260910866388,0.08999260910866388
41,42,2,0.1,0.16723468160919291,0.06723468160919291,0.06723468160919291
42,43,2,0.1,0.14683431096233568,0.046834310962335673,0.046834310962335673
43,44,2,0.1,0.1290339269303107,0.029033926930310705,0.029033926930310705
44,45,2,0.1,0.11347552443173059,0.013475524431730584,0.013475524431730584
45,46,2,0.1,0.0998510103691915,-0.0001489896308085048,0.0001489896308085048
46,47,2,0.1,0.08790515782676839,-0.012094842173231618,0.012094842173231618
47,48,2,0.1,0.0774192968082472,-0.0225807031917528,0.0225807031917528
48,49,2,0.1,0.06820767650671247,-0.03179232349328753,0.03179232349328753
49,50,2,0.1,0.06010880291966433,-0.03989119708033568,0.03989119708033568
50,51,2,0.0,0.05298007650332116,0.05298007650332116,0.05298007650332116
31,34,4,0.3,0.5036753250349013,0.20367532503490132,0.20367532503490132
32,35,4,0.2,0.4355348631727447,0.2355348631727447,0.2355348631727447
33,36,4,0.2,0.3766282724454217,0.17662827244542167,0.17662827244542167
34,37,4,0.2,0.32744725915704126,0.12744725915704125,0.12744725915704125
35,38,4,0.2,0.2858981933197125,0.08589819331971249,0.08589819331971249
36,39,4,0.2,0.2491392296961973,0.0491392296961973,0.0491392296961973
37,40,4,0.2,0.2177430588054364,0.01774305880543639,0.01774305880543639
38,41,4,0.1,0.19075484012307092,0.09075484012307092,0.09075484012307092
39,42,4,0.1,0.16743403784154395,0.06743403784154395,0.06743403784154395
40,43,4,0.1,0.14718806376539745,0.04718806376539744,0.04718806376539744
41,44,4,0.1,0.1295613952195486,0.029561395219548592,0.029561395219548592
42,45,4,0.1,0.11373543582355747,0.013735435823557463,0.013735435823557463
43,46,4,0.1,0.0999355393280521,-6.446067194790239e-05,6.446067194790239e-05
44,47,4,0.1,0.0878838187931892,-0.012116181206810808,0.012116181206810808
45,48,4,0.1,0.07733265294595024,-0.02266734705404977,0.02266734705404977
46,49,4,0.1,0.0680861535561367,-0.0319138464438633,0.0319138464438633
47,50,4,0.1,0.059965899623931423,-0.04003410037606858,0.04003410037606858
48,51,4,0.0,0.05283377557983454,0.05283377557983454,0.05283377557983454
