t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.62144521822911,0.6294145017964128,train
1,0.2,0.4229158708651579,0.4286057681956939,train
2,0.3,0.4315162069091378,0.4358814477290747,train
3,0.3,0.3975779082069852,0.40133396166517493,train
4,0.5,0.46207105032992457,0.46510029979820106,train
5,0.8,0.5376485989679388,0.5405362734071569,train
6,0.9,0.7479308930737621,0.7503152166749856,train
7,1.4,1.0632072963740293,1.065674472348437,train
8,2.1,1.7106371593028389,1.7121768730207707,train
9,2.9,2.7229399830748373,2.723980506416752,train
10,4.1,4.510403326057407,4.507757047530394,train
11,6.7,6.6094485706620265,6.60306689960218,train
12,8.9,8.216091340770113,8.202460861165006,train
13,6.9,6.825732811583517,6.819338423474876,train
14,5.4,6.139647489968257,6.141136316435153,train
15,4.2,4.972782869614018,4.975861086925064,train
16,3.9,4.64925707977944,4.659307284995535,train
17,3.5,3.706140158702193,3.7125627816311115,train
18,3.5,3.5533317620582907,3.5669532287060535,train
19,3.4,2.8983879192273294,2.9066385884969717,train
20,3.3,2.7400186164670703,2.753399638712908,train
21,3.3,2.3263808657668075,2.3358947960979064,train
22,2.7,2.147719306998661,2.159560405449676,train
23,2.1,1.874971866165663,1.8846138039215254,train
24,1.9,1.697966017220612,1.708082134637496,train
25,1.7,1.4961423460497032,1.5048907985725433,train
26,1.7,1.3321152157340335,1.3404283906220715,train
27,1.3,1.1685257767057726,1.175809532856049,train
28,0.9,1.0249759862362335,1.0315845915210005,train
29,0.7,0.8931443134885237,0.8990251652245111,train
30,0.5,0.7790751978222699,0.7844355726344706,train
31,0.4,0.6805214804178458,0.6854327904556285,validation
32,0.3,0.5974033034539115,0.6019630294108604,validation
33,0.3,0.5273515507283372,0.531602647034986,validation
34,0.3,0.46851261527223537,0.4724932327678993,validation
35,0.2,0.41884993991194275,0.422582559812344,validation
36,0.2,0.3767387171896605,0.38024360171044713,validation
37,0.2,0.34078599769476303,0.3440796260887563,validation
38,0.2,0.30989139633696294,0.3129893854502743,validation
39,0.2,0.2831642015114338,0.28608088498852996,validation
40,0.2,0.25989693109135376,0.2626458658410449,validation
41,0.1,0.23952053193158587,0.24211434251979305,test
42,0.1,0.22157749734834642,0.22402794786674193,test
43,0.1,0.2056969117094562,0.20801486900424615,test
44,0.1,0.19157698791898067,0.19377245030361967,test
45,0.1,0.17897111378661082,0.18105322865917559,test
46,0.1,0.16767784731562022,0.16965494785065516,test
47,0.1,0.15753379191610226,0.15941343448072348,test
48,0.1,0.14840944730548547,0.15019845736569012,test
49,0.1,0.14020825568863818,0.14191278866172408,test
50,0.1,0.13286984678651836,0.13449549399509297,test
51,0.0,0.12637924303244552,0.12793125182443416,test
