origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7060758937244705,0.3060758937244705,0.3060758937244705
32,32,1,0.3,0.6107444658744231,0.3107444658744231,0.3107444658744231
33,33,1,0.3,0.5296836160360101,0.22968361603601012,0.22968361603601012
34,34,1,0.3,0.47113885425707236,0.17113885425707237,0.17113885425707237
35,35,1,0.2,0.423711366303073,0.22371136630307298,0.22371136630307298
36,36,1,0.2,0.38361919187440874,0.18361919187440873,0.18361919187440873
37,37,1,0.2,0.3498380602872215,0.14983806028722146,0.14983806028722146
38,38,1,0.2,0.32102063669585745,0.12102063669585744,0.12102063669585744
39,39,1,0.2,0.29618880081200033,0.09618880081200032,0.09618880081200032
40,40,1,0.2,0.274527861678092,0.074527861678092,0.074527861678092
41,41,1,0.1,0.25556204582983716,0.15556204582983715,0.15556204582983715
42,42,1,0.1,0.23827869080916983,0.13827869080916982,0.13827869080916982
43,43,1,0.1,0.2231062107456214,0.12310621074562139,0.12310621074562139
44,44,1,0.1,0.2094095064587261,0.1094095064587261,0.1094095064587261
45,45,1,0.1,0.19722409250914344,0.09722409250914343,0.09722409250914343
46,46,1,0.1,0.1859912808685018,0.0859912808685018,0.0859912808685018
47,47,1,0.1,0.17602242531847725,0.07602242531847725,0.07602242531847725
48,48,1,0.1,0.16688700465681586,0.06688700465681585,0.06688700465681585
49,49,1,0.1,0.1586122571155274,0.058612257115527394,0.058612257115527394
50,50,1,0.1,0.1510425733757768,0.051042573375776806,0.051042573375776806
51,51,1,0.0,0.14403436611411014,0.14403436611411014,0.14403436611411014
31,32,2,0.3,0.6708316909095727,0.37083169090957274,0.37083169090957274
32,33,2,0.3,0.5395485465890244,0.2395485465890244,0.2395485465890244
33,34,2,0.3,0.4648863205445211,0.16488632054452113,0.16488632054452113
34,35,2,0.2,0.405396301211026,0.20539630121102598,0.20539630121102598
35,36,2,0.2,0.3564903271821245,0.15649032718212447,0.15649032718212447
36,37,2,0.2,0.31348424409590975,0.11348424409590974,0.11348424409590974
37,38,2,0.2,0.3244280972314035,0.12442809723140347,0.12442809723140347
38,39,2,0.2,0.2873307643212105,0.08733076432121051,0.08733076432121051
39,40,2,0.2,0.2632307322019976,0.0632307322019976,0.0632307322019976
40,41,2,0.1,0.24230181588238298,0.14230181588238297,0.14230181588238297
41,42,2,0.1,0.22400389937737333,0.12400389937737333,0.12400389937737333
42,43,2,0.1,0.20755508083302193,0.10755508083302193,0.10755508083302193
43,44,2,0.1,0.18880629475205052,0.08880629475205051,0.08880629475205051
44,45,2,0.1,0.17847715642226927,0.07847715642226927,0.07847715642226927
45,46,2,0.1,0.16892418784459184,0.06892418784459184,0.06892418784459184
46,47,2,0.1,0.1602697559330531,0.06026975593305309,0.06026975593305309
47,48,2,0.1,0.1524271818667094,0.05242718186670939,0.05242718186670939
48,49,2,0.1,0.1494637054553522,0.0494637054553522,0.0494637054553522
49,50,2,0.1,0.14300309167732053,0.043003091677320526,0.043003091677320526
50,51,2,0.0,0.1374518071440749,0.1374518071440749,0.1374518071440749
31,34,4,0.3,1.0092410720800002,0.7092410720800002,0.7092410720800002
32,35,4,0.2,0.437926033325825,0.23792603332582501,0.23792603332582501
33,36,4,0.2,0.3731465849341417,0.1731465849341417,0.1731465849341417
34,37,4,0.2,0.3338187745199758,0.1338187745199758,0.1338187745199758
35,38,4,0.2,0.3067630545768666,0.10676305457686658,0.10676305457686658
36,39,4,0.2,0.28275136603256645,0.08275136603256644,0.08275136603256644
37,40,4,0.2,0.26208699459696516,0.06208699459696515,0.06208699459696515
38,41,4,0.1,0.2440407992845869,0.1440407992845869,0.1440407992845869
39,42,4,0.1,0.22819899697616366,0.12819899697616366,0.12819899697616366
40,43,4,0.1,0.21394405306638178,0.11394405306638178,0.11394405306638178
41,44,4,0.1,0.2013270845004596,0.1013270845004596,0.1013270845004596
42,45,4,0.1,0.18994454753683335,0.08994454753683334,0.08994454753683334
43,46,4,0.1,0.17974691220085148,0.07974691220085148,0.07974691220085148
44,47,4,0.1,0.1705436409177889,0.07054364091778889,0.07054364091778889
45,48,4,0.1,0.16229565414322447,0.062295654143224466,0.062295654143224466
46,49,4,0.1,0.1549476147016557,0.054947614701655684,0.054947614701655684
47,50,4,0.1,0.1482552761983147,0.048255276198314684,0.048255276198314684
48,51,4,0.0,0.14294927103085225,0.14294927103085225,0.14294927103085225
