t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,9.228887559676936e-26,9.220801365693924e-26,train
1,0.2,0.07732799311695744,0.07729467237909125,train
2,0.3,0.18176575180894222,0.1816487376637796,train
3,0.3,0.351484336376559,0.35136934847015555,train
4,0.5,0.5285074204625484,0.5283106863938004,train
5,0.8,0.7835974988711097,0.783516211690015,train
6,0.9,1.0305314784546704,1.0304003835890023,train
7,1.4,1.4409143230076895,1.441058500753524,train
8,2.1,1.91486891745345,1.9148704858179468,train
9,2.9,2.904272592519888,2.904752194178998,train
10,4.1,4.169920269126685,4.169387515415395,train
11,6.7,6.68715795903421,6.686573154922921,train
12,8.9,7.858982857608401,7.85369900435664,train
13,6.9,6.841238824573993,6.83837531918164,train
14,5.4,5.980773885911819,5.979604880075337,train
15,4.2,5.258337271188807,5.258444974752981,train
16,3.9,4.621923878579518,4.62301472764622,train
17,3.5,4.063303084695861,4.065134231641779,train
18,3.5,3.5721209464196826,3.574497950405336,train
19,3.4,3.1403428757029688,3.143106931178302,train
20,3.3,2.7607513313674383,2.7637743008024227,train
21,3.3,2.4270446083451556,2.4302236099900405,train
22,2.7,2.133674527837996,2.136927774135592,train
23,2.1,1.8757657636873435,1.879028943307865,train
24,1.9,1.6490318070160106,1.6522550621740282,train
25,1.7,1.4497044156447836,1.4528497870282888,train
26,1.7,1.2744708026086293,1.277510082978256,train
27,1.3,1.1204186244590215,1.1233315565168644,train
28,0.9,0.9849875660852536,0.9877603336021441,train
29,0.7,0.8659267921787742,0.8685507595771464,train
30,0.5,0.7612575378847947,0.7637282003452561,train
31,0.4,0.669240222409921,0.6715563340115388,validation
32,0.3,0.5883455374842793,0.5905083896950012,validation
33,0.3,0.5172290306032558,0.5192418575182611,validation
34,0.3,0.4547087605060681,0.45657625074258407,validation
35,0.2,0.3997456535643863,0.401473551725038,validation
36,0.2,0.35142623459853933,0.35302101778742806,validation
37,0.2,0.3089474451139118,0.3104160621893834,validation
38,0.2,0.27160329663905564,0.27295295976735634,validation
39,0.2,0.23877313734704556,0.24001115702674541,validation
40,0.2,0.20991133695375352,0.2110449930508734,validation
41,0.1,0.18453821845825596,0.18557466095994835,test
42,0.1,0.16223208601281816,0.16317826020207143,test
43,0.1,0.14262221642734704,0.14348480802732938,test
44,0.1,0.12538269782860245,0.12616809438429238,test
45,0.1,0.11022701307399012,0.11094127844901706,test
46,0.1,0.09690327789742227,0.09755213728134624,test
47,0.1,0.08519005464624017,0.08577888790538754,test
48,0.1,0.074892672034394,0.07542651360947712,test
49,0.1,0.06583998974695865,0.06632353361302223,test
50,0.1,0.05788155412439875,0.05831916259172016,test
51,0.0,0.05088509765465845,0.05128081301041689,test
