origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.8500000000000001,0.45000000000000007,0.45000000000000007
32,32,1,0.3,0.625,0.325,0.325
33,33,1,0.3,0.47500000000000003,0.17500000000000004,0.17500000000000004
34,34,1,0.3,0.375,0.07500000000000001,0.07500000000000001
35,35,1,0.2,0.325,0.125,0.125
36,36,1,0.2,0.27499999999999997,0.07499999999999996,0.07499999999999996
37,37,1,0.2,0.25,0.04999999999999999,0.04999999999999999
38,38,1,0.2,0.22499999999999998,0.024999999999999967,0.024999999999999967
39,39,1,0.2,0.2,0.0,0.0
40,40,1,0.2,0.2,0.0,0.0
41,41,1,0.1,0.2,0.1,0.1
42,42,1,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,43,1,0.1,0.15,0.04999999999999999,0.04999999999999999
44,44,1,0.1,0.125,0.024999999999999994,0.024999999999999994
45,45,1,0.1,0.1,0.0,0.0
46,46,1,0.1,0.1,0.0,0.0
47,47,1,0.1,0.1,0.0,0.0
48,48,1,0.1,0.1,0.0,0.0
49,49,1,0.1,0.1,0.0,0.0
50,50,1,0.1,0.1,0.0,0.0
51,51,1,0.0,0.1,0.1,0.1
31,32,2,0.3,0.8500000000000001,0.55,0.55
32,33,2,0.3,0.625,0.325,0.325
33,34,2,0.3,0.47500000000000003,0.17500000000000004,0.17500000000000004
34,35,2,0.2,0.375,0.175,0.175
35,36,2,0.2,0.325,0.125,0.125
36,37,2,0.2,0.27499999999999997,0.07499999999999996,0.07499999999999996
37,38,2,0.2,0.25,0.04999999999999999,0.04999999999999999
38,39,2,0.2,0.22499999999999998,0.024999999999999967,0.024999999999999967
39,40,2,0.2,0.2,0.0,0.0
40,41,2,0.1,0.2,0.1,0.1
41,42,2,0.1,0.2,0.1,0.1
42,43,2,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,44,2,0.1,0.15,0.04999999999999999,0.04999999999999999
44,45,2,0.1,0.125,0.024999999999999994,0.024999999999999994
45,46,2,0.1,0.1,0.0,0.0
46,47,2,0.1,0.1,0.0,0.0
47,48,2,0.1,0.1,0.0,0.0
48,49,2,0.1,0.1,0.0,0.0
49,50,2,0.1,0.1,0.0,0.0
50,51,2,0.0,0.1,0.1,0.1
31,34,4,0.3,0.8500000000000001,0.55,0.55
32,35,4,0.2,0.625,0.425,0.425
33,36,4,0.2,0.47500000000000003,0.275,0.275
34,37,4,0.2,0.375,0.175,0.175
35,38,4,0.2,0.325,0.125,0.125
36,39,4,0.2,0.27499999999999997,0.07499999999999996,0.07499999999999996
37,40,4,0.2,0.25,0.04999999999999999,0.04999999999999999
38,41,4,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
39,42,4,0.1,0.2,0.1,0.1
40,43,4,0.1,0.2,0.1,0.1
41,44,4,0.1,0.2,0.1,0.1
42,45,4,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,46,4,0.1,0.15,0.04999999999999999,0.04999999999999999
44,47,4,0.1,0.125,0.024999999999999994,0.024999999999999994
45,48,4,0.1,0.1,0.0,0.0
46,49,4,0.1,0.1,0.0,0.0
47,50,4,0.1,0.1,0.0,0.0
48,51,4,0.0,0.1,0.1,0.1
