t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.32293469261334895,0.30828526435024245,train
1,0.2,0.47964326182878875,0.4562165034400973,train
2,0.3,0.3836058089239754,0.363506610643058,train
3,0.3,0.46195495178624785,0.436374979890917,train
4,0.5,0.5117164406201007,0.4843964663395883,train
5,0.8,0.6846555291899518,0.6504086224416085,train
6,0.9,0.923164797390721,0.8830553538632407,train
7,1.4,1.3756218688149955,1.3268304941948463,train
8,2.1,2.0676560895922127,2.0147005171785684,train
9,2.9,3.2093107576099658,3.161853137492031,train
10,4.1,4.788703349793782,4.7720648532039025,train
11,6.7,6.661208045006496,6.703580032561043,train
12,8.9,7.8217815275562215,7.9029688658803225,train
13,6.9,7.249485474418412,7.265037965421008,train
14,5.4,5.581313245749264,5.53028833781051,train
15,4.2,4.509706909048313,4.489217192709551,train
16,3.9,3.829160505778486,3.816752308203779,train
17,3.5,3.4855212026491245,3.4935075023334816,train
18,3.5,3.2743704373793445,3.2886179285585095,train
19,3.4,3.152263948312054,3.1735324987635596,train
20,3.3,3.04268027225407,3.0637534618555646,train
21,3.3,2.9209802328619503,2.9396222329419506,train
22,2.7,2.7572163405360617,2.7693243577772932,train
23,2.1,2.543036336035546,2.5465872890028822,train
24,1.9,2.2764487128755633,2.269990327556516,train
25,1.7,1.9687478911425853,1.952607764878437,train
26,1.7,1.6396235466064566,1.6157767568912236,train
27,1.3,1.3143949968444544,1.2862435632783322,train
28,0.9,1.0169736498695898,0.9883272058248015,train
29,0.7,0.7639614092282978,0.7379271116536679,train
30,0.5,0.5618927128280202,0.5402261224891429,train
31,0.4,0.40857107488743605,0.3917043180026155,validation
32,0.3,0.29660027397936806,0.2840835544497046,validation
33,0.3,0.21689054102118785,0.20788658359526122,validation
34,0.3,0.16094313356557344,0.15457262241657826,validation
35,0.2,0.12184769314147866,0.11735881014906178,validation
36,0.2,0.09443234698688743,0.09124849770377878,validation
37,0.2,0.07501892967879714,0.07272540299391976,validation
38,0.2,0.06107105425471575,0.05938087802835297,validation
39,0.2,0.05086972724570289,0.04958865558120097,validation
40,0.2,0.043259233876605546,0.04225713056805426,validation
41,0.1,0.037463793099720887,0.03665355987938189,test
42,0.1,0.03296127053336515,0.03228417905169527,test
43,0.1,0.02939854850288844,0.028814337800885218,test
44,0.1,0.02653579613402685,0.026016076924175516,test
45,0.1,0.024210305739068978,0.023734161321239147,test
46,0.1,0.02231353141763022,0.021864530981185792,test
47,0.1,0.02077723346663493,0.020341326133059317,test
48,0.1,0.01956629914820176,0.019130239284749155,test
49,0.1,0.018677068395766442,0.018227152212751563,test
50,0.1,0.018141046323344956,0.017662031274103297,test
51,0.0,0.018034974370355443,0.017509105684804904,test
