t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.32945148859630274,0.3309507083952058,train
1,0.2,0.34778510945482605,0.3493424676190683,train
2,0.3,0.37812989295470123,0.3796050398091053,train
3,0.3,0.4269159159590715,0.4281227882694388,train
4,0.5,0.5050329484951551,0.5056915599006963,train
5,0.8,0.6316753005842779,0.6313283757424064,train
6,0.9,0.8417407246653466,0.8396164412808556,train
7,1.4,1.1996171903720472,1.194445296185468,train
8,2.1,1.8215340102145348,1.8114901949559596,train
9,2.9,2.894160830539441,2.8777690220427337,train
10,4.1,4.602599413794539,4.582897127148803,train
11,6.7,6.6885368151702735,6.680547265337454,train
12,8.9,7.688704099106118,7.70387730921768,train
13,6.9,6.762481853484222,6.76926881166177,train
14,5.4,5.954138274111324,5.961846159778422,train
15,4.2,5.240522165044871,5.246429393964214,train
16,3.9,4.61295035085488,4.618081004784422,train
17,3.5,4.060415246883319,4.064695062424684,train
18,3.5,3.574082259579857,3.57767525239861,train
19,3.4,3.1459973367495726,3.149002382169114,train
20,3.3,2.7691862616399985,2.7716928932895915,train
21,3.3,2.4375076452518036,2.439592158686728,train
22,2.7,2.145555755425823,2.1472833145655645,train
23,2.1,1.8885723327857085,1.8899985462374942,train
24,1.9,1.6623690375668034,1.6635413131633525,train
25,1.7,1.463259187426824,1.4642178990707757,train
26,1.7,1.2879976715191566,1.2887771641137293,train
27,1.3,1.133728061367579,1.1343575159114345,train
28,0.9,0.997936056527689,0.9984402344608835,train
29,0.7,0.8784085062840487,0.8788083896016424,train
30,0.5,0.7731973395139533,0.7735106809386612,train
31,0.4,0.6805878148431512,0.6808296104199538,validation
32,0.3,0.5990705736315314,0.5992534684357995,validation
33,0.3,0.5273170403057154,0.5274516765080987,validation
34,0.3,0.46415776911088,0.4642530843874848,validation
35,0.2,0.4085633843751556,0.4086268675647905,validation
36,0.2,0.359627803649255,0.3596657136185075,validation
37,0.2,0.31655347029050424,0.3165710231528096,validation
38,0.2,0.2786383548105561,0.2786398839404458,validation
39,0.2,0.24526451313354278,0.24525360580734232,validation
40,0.2,0.2158880152860965,0.21586762925281625,validation
41,0.1,0.19003008037609126,0.19000264320613977,test
42,0.1,0.16726927337716577,0.16723676704226778,test
43,0.1,0.14723463654149607,0.14719866933854375,test
44,0.1,0.12959964349594522,0.12956151113326492,test
45,0.1,0.11407687748488703,0.11403761489533878,test
46,0.1,0.10041334702521065,0.10037377225124607,test
47,0.1,0.08838636262761633,0.08834711393421844,test
48,0.1,0.07779990738262221,0.07776147459087732,test
49,0.1,0.06848144225875619,0.06844419315213875,test
50,0.1,0.06027909404538537,0.06024329657962598,test
51,0.0,0.05305918010901433,0.05302502105202131,test
