round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,candidate_universe_size,candidate_budget_actual,exhaustive_max_candidates,allow_truncated_exhaustive,truncated,search_name,candidate_count
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,0.2692546503341637,0.31814741806301117,0.4380137013956878,0.19533887435510203,0.21896632794586324,0.5301365516627485,0.15379718939950818,0.17997994954403884,3,0.14583207816014795,0.08678128016476067,0.04339064008238033,0.09346686469670902,"{'1': {'mae': 0.17320013790682393, 'rmse': 0.20260725687698497, 'smape': 0.47011457932367984}, '2': {'mae': 0.16018128563435288, 'rmse': 0.18876152070263802, 'smape': 0.46584306788154994}, '4': {'mae': 0.12801014465734767, 'rmse': 0.1485710710524935, 'smape': 0.42875425595126154}}",0.018693372939341805,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,-0.01,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.2992227182425283,False,True,False,True,True,"{'b0': 0.4185521814695959, 'b1': 1.3814329817361253, 'b2': -2.0232919468018036, 'gamma': 0.11617644923960524, 'rho': 10.013239163056253, 'S0': 0.9673513197986604, 'I0': 0.03264868020133965, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=1,SIR|fractional=0|obs=delayed_I|delay=1,SIR,False,delayed_I,1,delayed,6,3,0.26810648240167123,0.31724935003994753,0.43818237735162685,0.19590885693459786,0.2195231827716747,0.5313897455723506,0.15432477209665918,0.18047928208978492,3,0.14635112886556156,0.08687082109544693,0.043435410547723464,0.09355970667189188,"{'1': {'mae': 0.1737505774536367, 'rmse': 0.20313185748631268, 'smape': 0.4714339743557804}, '2': {'mae': 0.1607185540261888, 'rmse': 0.1892701357864147, 'smape': 0.46720290849998364}, '4': {'mae': 0.12850518481015205, 'rmse': 0.14903585299662733, 'smape': 0.43016938016371487}}",0.01871194133437838,0.125,0.06,0.06,0.0,0.0,0.0,0.005,0.0,-0.01,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.30478653941328504,False,True,False,True,True,"{'b0': 0.4851996323721101, 'b1': 1.5402449130063463, 'b2': -1.8629277732708547, 'gamma': 0.11611130843547207, 'rho': 9.965786331613197, 'S0': 0.9666455789797871, 'I0': 0.033354421020212924, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=2,SIR|fractional=0|obs=delayed_I|delay=2,SIR,False,delayed_I,2,delayed,6,3,0.26674837675068636,0.3185932633594573,0.43908510542423446,0.19652843342601398,0.220127503213272,0.532751707007078,0.15489013072829133,0.181015171893955,3,0.1469070115003751,0.08697069001071886,0.04348534500535943,0.09366030974164441,"{'1': {'mae': 0.17434656047153624, 'rmse': 0.20370148461433318, 'smape': 0.4728564200147873}, '2': {'mae': 0.16128879498402726, 'rmse': 0.18980948338656634, 'smape': 0.4686441077567351}, '4': {'mae': 0.1290350367293105, 'rmse': 0.14953454768096547, 'smape': 0.43167987337888875}}",0.018732061948328882,0.13,0.06,0.06,0.0,0.0,0.0,0.01,0.0,-0.01,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.31039235650573455,False,True,False,True,True,"{'b0': 0.5466755841292219, 'b1': 1.6753841730537324, 'b2': -1.6745292915279057, 'gamma': 0.11603876882252914, 'rho': 9.913899915661338, 'S0': 0.9650220595373656, 'I0': 0.034977940462634215, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SIR|fractional=0|obs=delayed_I|delay=3,SIR|fractional=0|obs=delayed_I|delay=3,SIR,False,delayed_I,3,delayed,6,3,0.26526391986779924,0.32338926921984984,0.44119171125030415,0.19726957709921716,0.22084942033608465,0.5343798061433782,0.15555177007846646,0.18164716576459614,3,0.14755679790727222,0.08709264493071657,0.043546322465358285,0.09378683859135567,"{'1': {'mae': 0.17503525359706784, 'rmse': 0.2043650257614381, 'smape': 0.47448826878326916}, '2': {'mae': 0.16195894341710196, 'rmse': 0.19044819976099792, 'smape': 0.47032646257059085}, '4': {'mae': 0.12966111322122958, 'rmse': 0.15012827177135232, 'smape': 0.4334520331704908}}",0.018757367718271134,0.135,0.06,0.06,0.0,0.0,0.0,0.015,0.0,-0.01,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.3161031203726305,False,True,False,True,True,"{'b0': 0.6095385896464377, 'b1': 1.7669196426415525, 'b2': -1.4568906103899733, 'gamma': 0.11595026444960284, 'rho': 9.854107140914172, 'S0': 0.9623227292207956, 'I0': 0.03767727077920441, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.26426030027493375,0.17243822741826342,0.250212335533296,0.09812084593617364,0.10560097715850032,0.6043499720050688,0.10330258345455647,0.10834610779457969,3,0.1047931334132986,0.021156728682694904,0.010578364341347452,0.031596229757468224,"{'1': {'mae': 0.0933900795632172, 'rmse': 0.1007450795180796, 'smape': 0.5643961527675269}, '2': {'mae': 0.10144530627955316, 'rmse': 0.10686640726554518, 'smape': 0.6273172103619524}, '4': {'mae': 0.11507236452089904, 'rmse': 0.11742683660011428, 'smape': 0.7581592162530278}}",0.006319245951493645,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,0.015,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.3403714977546461,False,True,False,True,True,"{'b0': -0.7947921636486105, 'b1': 3.7139251325466476, 'b2': 0.5534880953703826, 'sigma': 0.9673063564043715, 'gamma': 0.5255432239630381, 'omega': 0.15302612121609085, 'rho': 21.75941204246011, 'alpha': 0.9276230559085791, 'S0': 0.973416775424178, 'E0': 0.01367785674414047, 'I0': 0.012905367831681546, 'R0': 0.0, 'fractional': 1.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.34369354471224867,0.3163294938416038,0.44461753586369746,0.19968999066551887,0.2232185987548362,0.5396519793712647,0.15616433505545846,0.18095570859891227,3,0.14849231204464916,0.08494498373033245,0.042472491865166224,0.09138747562530392,"{'1': {'mae': 0.17175126882421082, 'rmse': 0.1976993539757997, 'smape': 0.4735004751021168}, '2': {'mae': 0.1646544585247648, 'rmse': 0.19285733636679103, 'smape': 0.4773583580923474}, '4': {'mae': 0.13208727781739973, 'rmse': 0.15231043545414596, 'smape': 0.4405170574102471}}",0.018277495125060782,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.3459648039098154,False,True,False,True,True,"{'b0': 0.7913754634460153, 'b1': 2.1151777984782747, 'b2': -2.0450253463289214, 'sigma': 0.9757012302528703, 'gamma': 0.11568053310360685, 'rho': 10.030168155112612, 'S0': 0.9608431338919097, 'E0': 0.020227688822490857, 'I0': 0.018929177285599584, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.2658375818514091,0.17255712738195672,0.25368958328685254,0.09678147757394684,0.10428366548047593,0.5933423290072558,0.10950406265369426,0.11370341846988267,3,0.11090003111714036,0.01864953666944955,0.009324768334724775,0.02969021334026196,"{'1': {'mae': 0.09381238944024275, 'rmse': 0.10035112845218919, 'smape': 0.5602977364284528}, '2': {'mae': 0.12092761397940757, 'rmse': 0.1246189765572716, 'smape': 0.7703918737354024}, '4': {'mae': 0.11377218454143244, 'rmse': 0.1161401504001872, 'smape': 0.7461268650124762}}",0.005938042668052392,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,0.015,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.3502247994518652,False,True,False,True,True,"{'b0': -0.42987516865393555, 'b1': 3.243331769434003, 'b2': 1.048746188339903, 'sigma': 0.9626688341889287, 'gamma': 0.5946798679480967, 'omega': 0.1661888187719988, 'rho': 23.86872232856565, 'alpha': 0.9193354507138914, 'S0': 0.9794921855470827, 'E0': 0.008140094142492366, 'I0': 0.012367720310424924, 'R0': 0.0, 'fractional': 1.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,0.3379018856059105,0.31074498578486637,0.44452357578555585,0.2010804481138046,0.2245756668390068,0.5426728100258472,0.1594629313963433,0.1852407967020009,3,0.15142573679321794,0.08757791216668867,0.043788956083344335,0.09424391147925017,"{'1': {'mae': 0.17919539274092736, 'rmse': 0.20820628810659736, 'smape': 0.4845953249369705}, '2': {'mae': 0.16592681519112817, 'rmse': 0.19407983013792066, 'smape': 0.4804969696574131}, '4': {'mae': 0.1332665862569744, 'rmse': 0.15343627186148467, 'smape': 0.44380720006951985}}",0.018848782295850033,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,-0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.35521469287656227,False,True,False,True,True,"{'b0': 0.9041615750388748, 'b1': 2.2009613879907173, 'b2': -1.7895643396379466, 'sigma': 0.9749893061882745, 'gamma': 0.11551852893884187, 'rho': 9.976869233379418, 'S0': 0.9585105541858084, 'E0': 0.021975225034915356, 'I0': 0.019514220779276333, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR,False,delayed_I,3,delayed,8,4,0.3204037588944626,0.3166381188010732,0.44856791476784064,0.20368263145625418,0.22711211590053212,0.5483021434296562,0.15182218759500024,0.1799007563022943,3,0.1459120637084359,0.08546795307046624,0.04273397653523312,0.09610817889501135,"{'1': {'mae': 0.18141330519453516, 'rmse': 0.21042151308694143, 'smape': 0.4896118770941367}, '2': {'mae': 0.16809964869314062, 'rmse': 0.196228036503524, 'smape': 0.48572099745762515}, '4': {'mae': 0.1059536088973249, 'rmse': 0.13305271931641746, 'smape': 0.3780398528027547}}",0.01922163577900227,0.175,0.08,0.08,0.0,0.0,0.0,0.015,0.0,-0.005,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.358646040243669,False,True,False,True,True,"{'b0': 1.1632287612773304, 'b1': 2.109926065529097, 'b2': -1.172694539584756, 'sigma': 0.9722757731844452, 'gamma': 0.11520926852681092, 'rho': 9.85018043888534, 'S0': 0.9480683023811773, 'E0': 0.028410534173915866, 'I0': 0.023521163444906824, 'R0': 0.0, 'fractional': 0.0}",44,44,200,False,False,no_stability_discovery,44
1,,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.25200813520001286,0.17844255187942878,0.2621305654594323,0.10495124820128635,0.11280029944935653,0.6656701571041432,0.11119234898073797,0.11630641473374766,3,0.11280571818035066,0.022360201323545485,0.011180100661772743,0.032737633651186225,"{'1': {'mae': 0.10027096470211232, 'rmse': 0.10803145443897637, 'smape': 0.6246697571522388}, '2': {'mae': 0.10927875297388151, 'rmse': 0.114741326850497, 'smape': 0.6959084014168967}, '4': {'mae': 0.12402732926622004, 'rmse': 0.12614646291176962, 'smape': 0.8432674527672105}}",0.006547526730237245,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,0.015,no_stability,multi_split_mean_mae + multi_split_penalty + complexity_penalty + age_prior_penalty,0.35898581884212344,False,True,False,True,True,"{'b0': -0.4539953416166314, 'b1': 2.781266879192499, 'b2': 1.520070017214065, 'sigma': 0.961982360444773, 'gamma': 0.53575588912682, 'omega': 0.177944175569506, 'rho': 21.86251767772901, 'alpha': 0.9380704693035506, 'S0': 0.9757969007441516, 'E0': 0.01370451003934303, 'I0': 0.01049858921650545, 'R0': 0.0, 'fractional': 1.0}",44,44,200,False,False,no_stability_discovery,44
