t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.32945631145179843,0.3309502607997711,train
1,0.2,0.347787543773063,0.34934193099902594,train
2,0.3,0.37813000420680626,0.3796044444657481,train
3,0.3,0.42691365754379845,0.4281221700216892,train
4,0.5,0.5050281381179782,0.5056909699899449,train
5,0.8,0.6316676018109445,0.6313278989451852,train
6,0.9,0.8417296752424756,0.8396162282511428,train
7,1.4,1.1996024097272646,1.1944456137651203,train
8,2.1,1.821515948248316,1.8114914683491865,train
9,2.9,2.8941428052357647,2.8777717025395324,train
10,4.1,4.602591165988903,4.582900832257486,train
11,6.7,6.688552592915781,6.680548817388461,train
12,8.9,7.688735012819332,7.7038732148858395,train
13,6.9,6.762497344477433,6.76926587790915,train
14,5.4,5.954152557159282,5.96184349095667,train
15,4.2,5.240531994342075,5.24642720898175,train
16,3.9,4.612957486829053,4.618079146711905,train
17,3.5,4.0604199915980725,4.064693506967808,train
18,3.5,3.5740851170392136,3.57767394861158,train
19,3.4,3.1459986876619856,3.149001292856091,train
20,3.3,2.769186425993659,2.7716919857139857,train
21,3.3,2.43750688791075,2.4395914049356806,train
22,2.7,2.145554294824572,2.1472826908065583,train
23,2.1,1.8885703482550666,1.889998032140813,train
24,1.9,1.6623666755678308,1.663540891404809,train
25,1.7,1.4632565668521471,1.464217554903337,train
26,1.7,1.2879948881958605,1.2887768849986487,train
27,1.3,1.1337251918769187,1.13435729120078,train
28,0.9,0.9979331614406881,0.99844005512444,train
29,0.7,0.8784056328981111,0.8788082479921144,train
30,0.5,0.773194524163603,0.7735105705899152,train
31,0.4,0.6805850848476587,0.6808295258737568,validation
32,0.3,0.5990679489332594,0.5992534050931192,validation
33,0.3,0.5273145348453335,0.5274516305015681,validation
34,0.3,0.4641553919789755,0.46425305247209403,validation
35,0.2,0.40856114077407607,0.4086268470242687,validation
36,0.2,0.3596256956941223,0.35966570218520433,validation
37,0.2,0.31655149767412555,0.3165710189391849,validation
38,0.2,0.2786365153533456,0.2786398853805367,validation
39,0.2,0.24526280323645988,0.2452536116067999,validation
40,0.2,0.21588643030194465,0.21586763834629824,validation
41,0.1,0.19002861491223544,0.1900026547210145,test
42,0.1,0.16726792154077086,0.16723678026772806,test
43,0.1,0.14723339213671277,0.1471986836993556,test
44,0.1,0.12959850018103578,0.1295615261674839,test
45,0.1,0.1140758288960586,0.11403763023541993,test
46,0.1,0.10041238687287753,0.10037378760805418,test
47,0.1,0.08838548476991862,0.08834712908351484,test
48,0.1,0.07779910588026884,0.07776148936191914,test
49,0.1,0.06848071141461086,0.06844420741807868,test
50,0.1,0.06027842843166371,0.060243310249444494,test
51,0.0,0.05305857458449195,0.05302503406376206,test
