origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7295705390120186,0.3295705390120186,0.3295705390120186
32,32,1,0.3,0.6328481972964357,0.3328481972964357,0.3328481972964357
33,33,1,0.3,0.5488490724948573,0.24884907249485727,0.24884907249485727
34,34,1,0.3,0.47808631950581837,0.17808631950581838,0.17808631950581838
35,35,1,0.2,0.4179322615660727,0.2179322615660727,0.2179322615660727
36,36,1,0.2,0.36468207791400775,0.16468207791400774,0.16468207791400774
37,37,1,0.2,0.318995292316724,0.11899529231672401,0.11899529231672401
38,38,1,0.2,0.27962791699345496,0.07962791699345495,0.07962791699345495
39,39,1,0.2,0.24551502081264065,0.04551502081264064,0.04551502081264064
40,40,1,0.2,0.215862341270681,0.01586234127068098,0.01586234127068098
41,41,1,0.1,0.1900019551592959,0.0900019551592959,0.0900019551592959
42,42,1,0.1,0.16683862205147304,0.06683862205147303,0.06683862205147303
43,43,1,0.1,0.14658651526258298,0.04658651526258298,0.04658651526258298
44,44,1,0.1,0.128940319383576,0.028940319383575996,0.028940319383575996
45,45,1,0.1,0.11346264335564536,0.013462643355645357,0.013462643355645357
46,46,1,0.1,0.09988610305682895,-0.00011389694317105736,0.00011389694317105736
47,47,1,0.1,0.08796885717342379,-0.012031142826576219,0.012031142826576219
48,48,1,0.1,0.07749947871958399,-0.02250052128041602,0.02250052128041602
49,49,1,0.1,0.06830640307866098,-0.03169359692133902,0.03169359692133902
50,50,1,0.1,0.06019323982248767,-0.039806760177512335,0.039806760177512335
51,51,1,0.0,0.05306307815030386,0.05306307815030386,0.05306307815030386
31,32,2,0.3,0.6448088506414816,0.34480885064148165,0.34480885064148165
32,33,2,0.3,0.5587715477706391,0.2587715477706391,0.2587715477706391
33,34,2,0.3,0.48410906936701004,0.18410906936701005,0.18410906936701005
34,35,2,0.2,0.42142213215878827,0.22142213215878825,0.22142213215878825
35,36,2,0.2,0.36825096384609135,0.16825096384609134,0.16825096384609134
36,37,2,0.2,0.32118630280416705,0.12118630280416703,0.12118630280416703
37,38,2,0.2,0.2808780286157768,0.08087802861577681,0.08087802861577681
38,39,2,0.2,0.2461513501403634,0.046151350140363395,0.046151350140363395
39,40,2,0.2,0.21608718781338798,0.01608718781338797,0.01608718781338797
40,41,2,0.1,0.19001518629524972,0.09001518629524971,0.09001518629524971
41,42,2,0.1,0.16723628899693285,0.06723628899693285,0.06723628899693285
42,43,2,0.1,0.14683568574156317,0.04683568574156316,0.04683568574156316
43,44,2,0.1,0.12903020299386989,0.02903020299386988,0.02903020299386988
44,45,2,0.1,0.11347460482952396,0.01347460482952395,0.01347460482952395
45,46,2,0.1,0.09985135852231958,-0.0001486414776804279,0.0001486414776804279
46,47,2,0.1,0.08790531885495899,-0.012094681145041017,0.012094681145041017
47,48,2,0.1,0.07742039408874188,-0.022579605911258127,0.022579605911258127
48,49,2,0.1,0.06820857114898446,-0.031791428851015546,0.031791428851015546
49,50,2,0.1,0.060109545782023474,-0.03989045421797653,0.03989045421797653
50,51,2,0.0,0.052979660279807876,0.052979660279807876,0.052979660279807876
31,34,4,0.3,0.503688280428709,0.20368828042870896,0.20368828042870896
32,35,4,0.2,0.4355369522184873,0.2355369522184873,0.2355369522184873
33,36,4,0.2,0.37663231074662223,0.17663231074662222,0.17663231074662222
34,37,4,0.2,0.32744967268363984,0.12744967268363983,0.12744967268363983
35,38,4,0.2,0.2858970876326431,0.08589708763264309,0.08589708763264309
36,39,4,0.2,0.2491391018422332,0.04913910184223319,0.04913910184223319
37,40,4,0.2,0.21774333965543002,0.017743339655430013,0.017743339655430013
38,41,4,0.1,0.19076450197157693,0.09076450197157693,0.09076450197157693
39,42,4,0.1,0.1674270458017532,0.06742704580175318,0.06742704580175318
40,43,4,0.1,0.14719275717250727,0.04719275717250726,0.04719275717250726
41,44,4,0.1,0.12956142660452422,0.02956142660452421,0.02956142660452421
42,45,4,0.1,0.11373546657195865,0.013735466571958649,0.013735466571958649
43,46,4,0.1,0.09993932523219834,-6.067476780166614e-05,6.067476780166614e-05
44,47,4,0.1,0.08788458349815231,-0.012115416501847692,0.012115416501847692
45,48,4,0.1,0.07733410107298191,-0.02266589892701809,0.02266589892701809
46,49,4,0.1,0.06808152583917519,-0.031918474160824814,0.031918474160824814
47,50,4,0.1,0.05996553602871541,-0.040034463971284594,0.040034463971284594
48,51,4,0.0,0.05283356309444005,0.05283356309444005,0.05283356309444005
