round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params
3,,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.3600150585526115,0.3144543930703759,0.4261250193440983,0.12712356434818578,0.15515350059326768,0.680698585226808,0.11342551040241355,0.13681018431099642,3,0.11263277686998542,0.03255788338260804,0.01627894169130402,0.07629506434082921,"{'1': {'mae': 0.12539133287937326, 'rmse': 0.15024088921228906, 'smape': 0.6380197696513307}, '2': {'mae': 0.12217398941146843, 'rmse': 0.15225812951248802, 'smape': 0.6663498525892566}, '4': {'mae': 0.09271120891639899, 'rmse': 0.10793153420821218, 'smape': 0.6514937337034082}}",0.015259012868165842,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3466707314294553,False,True,True,True,True,"{'b0': -0.7932958709235725, 'b1': 3.1446440149784833, 'b2': 0.768728410248556, 'sigma': 0.9614767788952887, 'gamma': 0.5276111980811288, 'omega': 0.22762152989323786, 'rho': 21.230858740589042, 'alpha': 0.9407435797477464, 'S0': 0.9720251245404096, 'E0': 0.015435612949116023, 'I0': 0.012539262510474401, 'R0': 0.0, 'fractional': 1.0}"
3,,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.3405426636957289,0.307912571027695,0.4290893921868091,0.13617103668883548,0.1618069730015186,0.8339978176470643,0.12542619337970548,0.149964080038926,3,0.12597780699685152,0.027620184409027745,0.013810092204513872,0.08203007170423092,"{'1': {'mae': 0.13227150399170517, 'rmse': 0.1553038108195266, 'smape': 0.7522277343337401}, '2': {'mae': 0.1372082465067873, 'rmse': 0.16920444725961972, 'smape': 0.7788063691011695}, '4': {'mae': 0.10679882964062391, 'rmse': 0.12538398203763165, 'smape': 0.835984723995735}}",0.016406014340846185,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3686939135422116,False,True,True,True,True,"{'b0': -0.5606261528212346, 'b1': 2.0850386855393612, 'b2': 1.5952352660782063, 'sigma': 0.9451512184748289, 'gamma': 0.46371116908798826, 'omega': 0.2694154730192021, 'rho': 19.071324867278918, 'alpha': 0.9754412428393371, 'S0': 0.970440091405623, 'E0': 0.01838628810137571, 'I0': 0.011173620493001317, 'R0': 0.0, 'fractional': 1.0}"
2,,SEIRS|fractional=1|obs=I,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.3642337467031601,0.3230382169104557,0.43398762835361265,0.14019570435490236,0.1693640133115733,0.8488330511312506,0.1352283999242602,0.1671144212297068,3,0.1331194544823237,0.05005431202195555,0.025027156010977776,0.09644855497182175,"{'1': {'mae': 0.1780164670790546, 'rmse': 0.23978008022743041, 'smape': 0.7988821259144006}, '2': {'mae': 0.11794953469305722, 'rmse': 0.1343561321665066, 'smape': 0.7533043688144587}, '4': {'mae': 0.10971919800066873, 'rmse': 0.12720705129518334, 'smape': 0.8576888296413241}}",0.019289710994364353,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3749363214876658,False,True,True,True,True,"{'b0': -1.2054276274886968, 'b1': 3.3370157493396047, 'b2': 0.48857686931994343, 'sigma': 0.948080898073266, 'gamma': 0.41165155800266134, 'omega': 0.22680220056237135, 'rho': 17.650466406075655, 'alpha': 0.9752525773218381, 'S0': 0.9677402795589634, 'E0': 0.014548832059780017, 'I0': 0.01771088838125658, 'R0': 0.0, 'fractional': 1.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS,False,delayed_I,3,delayed,9,4,0.3350740766597815,0.31075490484023854,0.4319619520234071,0.14923159753985543,0.17809760472975358,1.0360745808893446,0.15246388698554597,0.18781351285758843,3,0.15168678514311204,0.04368584532506323,0.021842922662531614,0.10912753362582306,"{'1': {'mae': 0.18720858463517326, 'rmse': 0.2417634317716339, 'smape': 0.9746705803088853}, '2': {'mae': 0.1467676070274656, 'rmse': 0.17722984164718322, 'smape': 0.9693711384863692}, '4': {'mae': 0.12341546929399906, 'rmse': 0.1444472651539482, 'smape': 1.0975274065832161}}",0.021825506725164614,0.195,0.09,0.08,0.0,0.0,0.0,0.015,0.01,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3803552145308082,False,True,True,True,True,"{'b0': -0.6579669212015591, 'b1': 1.9569642233215785, 'b2': 1.6477283222376684, 'sigma': 0.9384421245791984, 'gamma': 0.4156122732555103, 'omega': 0.2847594830125294, 'rho': 17.514945202330498, 'S0': 0.9696338096501209, 'E0': 0.018405292382179157, 'I0': 0.011960897967699965, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIRS|fractional=0|obs=I,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.3592658599350588,0.32616594132239,0.43460460081917135,0.1557423349792139,0.18813008703428402,1.078037305924758,0.18812440995086752,0.24379225864130194,3,0.18018616800641152,0.06178525402349024,0.03089262701174512,0.15474218100725054,"{'1': {'mae': 0.18966943337723052, 'rmse': 0.2460009844663525, 'smape': 1.0168450015337893}, '2': {'mae': 0.14848541867331783, 'rmse': 0.18282920640969577, 'smape': 1.0536982077968235}, '4': {'mae': 0.22621837780205417, 'rmse': 0.30254658504785753, 'smape': 1.370893017313654}}",0.03094843620145011,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.4120272312196067,False,True,True,True,True,"{'b0': -1.3552923011984328, 'b1': 3.297899865193253, 'b2': 0.5684353153928074, 'sigma': 0.9489107791720552, 'gamma': 0.3682411783779902, 'omega': 0.23660687082431814, 'rho': 16.267967776607435, 'S0': 0.9672400457164576, 'E0': 0.015102216895869108, 'I0': 0.017657737387673463, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS,False,delayed_I,2,delayed,9,4,0.35121630191493025,0.31769131761240904,0.4355005598755449,0.14996607296371933,0.17956342728782665,1.0360251510733696,0.18016508484794005,0.22476383238568334,3,0.17253602732605539,0.07335442387048338,0.03667721193524169,0.1333711628701236,"{'1': {'mae': 0.14680905815894607, 'rmse': 0.17154671769742322, 'smape': 0.9483430610753487}, '2': {'mae': 0.1460747741347974, 'rmse': 0.17601638325029437, 'smape': 1.0206220508606683}, '4': {'mae': 0.24761142225007673, 'rmse': 0.3267283962093325, 'smape': 1.261853030863863}}",0.026674232574024723,0.19,0.09,0.08,0.0,0.0,0.0,0.01,0.01,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.4158874718353218,False,True,True,True,True,"{'b0': -1.0177397835378874, 'b1': 2.5749070543788175, 'b2': 1.3803518383281308, 'sigma': 0.9348438268692996, 'gamma': 0.38101632787655865, 'omega': 0.25533124002606244, 'rho': 16.619157873523825, 'S0': 0.9721174050596094, 'E0': 0.013535114818624903, 'I0': 0.014347480121765671, 'R0': 0.0, 'fractional': 0.0}"
3,,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.35741968066415336,0.31469881252204107,0.43464759227110816,0.13870227815219788,0.16505477371516322,0.8635652824233212,0.16908324020578888,0.21724869736721467,3,0.1604882601906013,0.07787531720391001,0.03893765860195501,0.13498551419561314,"{'1': {'mae': 0.1347160862369159, 'rmse': 0.1581549203416103, 'smape': 0.77829305693557}, '2': {'mae': 0.13819225460360876, 'rmse': 0.16979800020008184, 'smape': 0.802644463374997}, '4': {'mae': 0.23434137977684197, 'rmse': 0.3237931715599519, 'smape': 1.027847176338101}}",0.026997102839122628,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.43392302163167895,False,True,True,True,True,"{'b0': -0.9141310008252711, 'b1': 2.6331057097935093, 'b2': 1.3307768083476637, 'sigma': 0.9352264264058691, 'gamma': 0.41510370865021345, 'omega': 0.2458707079416894, 'rho': 17.717435054451276, 'alpha': 0.9805272472483997, 'S0': 0.9730785538949265, 'E0': 0.012550130702894575, 'I0': 0.014371315402179096, 'R0': 0.0, 'fractional': 1.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.3564896822243795,0.32052065167398847,0.4337692999992328,0.15378117069945502,0.18551456149216722,1.064301334762996,0.20727986480849422,0.2709855717132759,3,0.1959434559545665,0.09319204880257273,0.046596024401286365,0.1741009368440747,"{'1': {'mae': 0.24848249676812917, 'rmse': 0.32895130769057596, 'smape': 1.0571861189074259}, '2': {'mae': 0.14768367321731274, 'rmse': 0.180586432720335, 'smape': 1.0419272966678523}, '4': {'mae': 0.2256734244400407, 'rmse': 0.3034189747289168, 'smape': 1.3536451456033085}}",0.034820187368814946,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.4523596677246678,False,True,True,True,True,"{'b0': -1.2417425627669796, 'b1': 3.033533934582507, 'b2': 0.9810601607220378, 'sigma': 0.9497784856744977, 'gamma': 0.3729989030348294, 'omega': 0.2423933298156749, 'rho': 16.407724014371542, 'S0': 0.9700395380003366, 'E0': 0.015313419363670462, 'I0': 0.014647042635992981, 'R0': 0.0, 'fractional': 0.0}"
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,0.32622778956153675,0.34926254640339655,0.5047620708976577,0.39659526179521354,0.4249902185179239,0.9777095136103611,0.33110176199543256,0.3685828932259745,3,0.31772200846234083,0.12858660900528177,0.06429330450264088,0.16186253384632984,"{'1': {'mae': 0.33967695024476136, 'rmse': 0.3778975374602533, 'smape': 0.8884278358205349}, '2': {'mae': 0.3354627109947403, 'rmse': 0.37655452995288946, 'smape': 0.9289005292903586}, '4': {'mae': 0.3181656247467961, 'rmse': 0.3512966122647806, 'smape': 0.9526643715275201}}",0.03237250676926597,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5343878197342476,False,True,True,True,True,"{'b0': 0.045736670218101655, 'b1': 1.4867016928892236, 'b2': -1.631721493275185, 'gamma': 0.10080907501548281, 'rho': 9.417972550647907, 'S0': 0.9679795815659835, 'I0': 0.032020418434016616, 'R0': 0.0, 'fractional': 0.0}"
2,,SIR|fractional=1|obs=I,SIR|fractional=1|obs=I,SIR,True,I,0,infectious,7,3,0.3200097082455136,0.3311018248020972,0.48313848964026684,0.35534324664757677,0.3819407465617892,0.9323842840559387,0.3203440437060286,0.3526686789060363,3,0.3082131011470279,0.10679774299123712,0.05339887149561856,0.14747789158169422,"{'1': {'mae': 0.3201532881848627, 'rmse': 0.35106218396961436, 'smape': 0.8780356270505154}, '2': {'mae': 0.31601589528616475, 'rmse': 0.349000854864813, 'smape': 0.9188770152490228}, '4': {'mae': 0.32486294764705825, 'rmse': 0.3579429978836816, 'smape': 0.9652597684773714}}",0.029495578316338845,0.14500000000000002,0.07,0.06,0.015,0.0,0.0,0.0,0.0,0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5386075509589853,False,True,True,True,True,"{'b0': -0.35238866176800876, 'b1': 2.161414410746853, 'b2': -0.7764289073229225, 'gamma': 0.37536823653236556, 'rho': 17.529723214412364, 'alpha': 0.7157827594960059, 'S0': 0.9736039023632866, 'I0': 0.0263960976367134, 'R0': 0.0, 'fractional': 1.0}"
