t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.3449624892950983,0.34265478033402635,train
1,0.2,0.3074146606805612,0.30560510254291784,train
2,0.3,0.3546540346805192,0.3533543421825076,train
3,0.2,0.4062998777024812,0.40544660411965777,train
4,0.8,0.49327544678127805,0.4929784369746844,train
5,0.8,0.6305246576828711,0.6308679174868876,train
6,0.7,0.8547912575749387,0.8559216571183327,train
7,1.2,1.2261826398135707,1.2282220236346246,train
8,2.3,1.8466623983307584,1.8495352768223954,train
9,2.2,2.865198847241236,2.8680700203625538,train
10,4.6,4.418939420334114,4.419071080006198,train
11,6.5,6.3418551811390085,6.333919043592937,train
12,7.4,7.566123478354333,7.548455431291785,train
13,7.2,6.7566474034014465,6.745972440110512,train
14,5.8,6.028285878290072,6.023699171951166,train
15,4.7,5.363918428394085,5.3641302668897355,train
16,4.6,4.789005675837769,4.793075093372171,train
17,2.9,4.2584396467000385,4.265526234656545,train
18,4.6,3.8032973332907924,3.812673188217219,train
19,3.8,3.382572080808606,3.3936817035573172,train
20,3.2,3.0187507177595228,3.03110290196031,train
21,4.4,2.687810483457332,2.7009881104329327,train
22,3.0,2.396098645509795,2.40980131163544,train
23,2.5,2.1350307100040435,2.1489717488163826,train
24,1.9,1.9026325242709181,1.9166063613618907,train
25,1.2,1.6955075599380995,1.7093413288702068,train
26,1.6,1.510930490690256,1.5244901637829869,train
27,1.6,1.3464469332787412,1.3596291416974318,train
28,1.1,1.1998694560414935,1.212596480740736,train
29,1.1,1.0692487586352792,1.081464188329111,train
30,0.6,0.952847747073167,0.9645127703404831,train
31,0.5,0.8491184318099821,0.8602086821697024,validation
32,0.6,0.7566813412446921,0.7671842195114111,validation
33,0.1,0.6743071764150778,0.6842195840217332,validation
34,0.1,0.6009004628299213,0.6102268884858377,validation
35,0.3,0.535484982009039,0.5442358917103616,validation
36,0.1,0.477190788983401,0.4853812760746299,validation
37,0.2,0.4252426431024861,0.43289130091156985,validation
38,0.2,0.3789496982923318,0.38607768293254413,validation
39,0.2,0.33769631565723124,0.34432657100099034,validation
40,0.1,0.30093387624394663,0.3070904969098932,validation
41,0.0,0.2681734850882872,0.27388119661625443,test
42,0.2,0.23897946951687687,0.24426320779978727,test
43,0.0,0.2129635852395599,0.2178481597927694,test
44,0.1,0.18977985318063617,0.19428968100682392,test
45,0.1,0.16911995838516686,0.17327885707943308,test
46,0.0,0.15070914981149452,0.15454018018439203,test
47,0.2,0.1343025864822895,0.13782793639087773,test
48,0.2,0.11968208140245017,0.12292298369979264,test
49,0.0,0.10665319994199403,0.1096298785088624,test
50,0.2,0.09504267409601991,0.0977743128267954,test
51,0.0,0.08469609823459862,0.08720082863155984,test
