t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.3429975224859263,0.3404886035417269,train
1,0.2,0.3056604652646362,0.3036698344129224,train
2,0.3,0.3539276674676783,0.35248432320340434,train
3,0.2,0.4060999332989831,0.40512380322014463,train
4,0.8,0.49369274179027434,0.493302840974176,train
5,0.8,0.6314225550096586,0.6317018016601702,train
6,0.7,0.8560706552138575,0.8571707272580724,train
7,1.2,1.2276104422429464,1.229656282624058,train
8,2.3,1.847855525167461,1.850774551108006,train
9,2.2,2.865590069179335,2.8685421879179893,train
10,4.6,4.4181504160468945,4.418374991523183,train
11,6.5,6.340790886330989,6.332908456273571,train
12,7.4,7.56705864900585,7.549367542521161,train
13,7.2,6.756703456194077,6.7460378508489915,train
14,5.8,6.02812974631372,6.02353201156334,train
15,4.7,5.3639470449954425,5.364162072806445,train
16,4.6,4.788906378106376,4.792957552232513,train
17,2.9,4.258383213772595,4.265467544524699,train
18,4.6,3.8033251511540107,3.8126814981425454,train
19,3.8,3.3824186436490056,3.3935189548353613,train
20,3.2,3.018828362142572,3.031164640363163,train
21,4.4,2.6876959712725506,2.7008585262121265,train
22,3.0,2.3961044032390624,2.409793016499084,train
23,2.5,2.134992161088572,2.1489178600739933,train
24,1.9,1.9026065969529427,1.9165659048680692,train
25,1.2,1.695483262529946,1.709302743745631,train
26,1.6,1.5109081591225428,1.5244539754043172,train
27,1.6,1.3464264702840538,1.3595953297431407,train
28,1.1,1.1998507264937346,1.212564961845185,train
29,1.1,1.0692316293596495,1.081434863734609,train
30,0.6,0.9528320921673231,0.9644855346148419,train
31,0.5,0.8491041334779417,0.8601834266765307,validation
32,0.6,0.7566682897462458,0.7671608345631943,validation
33,0.1,0.674295269779004,0.6841979604493921,validation
34,0.1,0.6008896064892619,0.6102069188355569,validation
35,0.3,0.5354750884082764,0.5442174711600035,validation
36,0.1,0.4771817771774686,0.4853643031259658,validation
37,0.2,0.4252344383574865,0.43287567789953774,validation
38,0.2,0.37894223169371893,0.3860633163843788,validation
39,0.2,0.33768952372915556,0.344313371872325,validation
40,0.1,0.30092770058224244,0.307078380720505,validation
41,0.0,0.26816787200876446,0.2738700835045169,test
42,0.2,0.23897436971999406,0.2442530225118838,test
43,0.0,0.2129589534921089,0.217838831620169,test
44,0.1,0.18977564801472915,0.1942811436833548,test
45,0.1,0.1691161418145433,0.17327104864743548,test
46,0.0,0.15070568706495388,0.15453304283785035,test
47,0.2,0.13429944575388925,0.13782141630208258,test
48,0.2,0.11967923361798276,0.1229170308349335,test
49,0.0,0.10665061854116087,0.10962444643697446,test
50,0.2,0.09504033482965465,0.09776935852565671,test
51,0.0,0.08469397897624524,0.0871963122934333,test
