t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.3744024455681048,0.3731385790420379,train
1,0.2,0.3578655868447879,0.3571577008468579,train
2,0.3,0.3131350985632099,0.3147410719498669,train
3,0.2,0.34013884000498024,0.3394708414403506,train
4,0.8,0.36062348352115103,0.36343899157048437,train
5,0.8,0.5809169399831885,0.5789547375591204,train
6,0.7,0.7618839887493224,0.7630559336471017,train
7,1.2,0.9423467790714336,0.9345645448517866,train
8,2.3,1.4187216853492617,1.414485016715881,train
9,2.2,2.2607793356888717,2.243747137797566,train
10,4.6,3.08013153175545,3.078122411379961,train
11,6.5,4.706777394882081,4.7027944478575465,train
12,7.4,6.151769684297747,6.1702917517937275,train
13,7.2,6.524954156772757,6.493366916607109,train
14,5.8,6.451477487544867,6.457690778379679,train
15,4.7,5.875877738967165,5.8479114216828485,train
16,4.6,5.165783720281941,5.176042825825813,train
17,2.9,4.680584450929349,4.662291820742771,train
18,4.6,3.810854824871038,3.828270332028439,train
19,3.8,3.8768815556383815,3.866732788958302,train
20,3.2,3.566111980578266,3.5811020541468834,train
21,4.4,3.1662323596609045,3.1648456600332793,train
22,3.0,3.386767595069823,3.39383406068212,train
23,2.5,2.8960906838191076,2.8987620781029078,train
24,1.9,2.5127050320694364,2.515435003129055,train
25,1.2,2.15711568532396,2.1587647641535685,train
26,1.6,1.6470716286697702,1.6477288170852835,train
27,1.6,1.517737459074375,1.5178169614732377,train
28,1.1,1.3881585006577042,1.387901201471823,train
29,1.1,1.1477198165467786,1.147755078711881,train
30,0.6,1.054499577937085,1.055040502023652,train
31,0.5,0.8209957824413027,0.8223316088615467,validation
32,0.6,0.6561997944158083,0.7787034794575773,validation
33,0.1,0.6041271697320171,0.7431937400437835,validation
34,0.1,0.3958795903976101,0.7126619408800496,validation
35,0.3,0.3132218963873586,0.6871177821290935,validation
36,0.1,0.3227070966151771,0.6649130828678445,validation
37,0.2,0.23318407598552549,0.6458680277292966,validation
38,0.2,0.2369912839027143,0.6291544107725002,validation
39,0.2,0.23389471027870845,0.6145775754967261,validation
40,0.1,0.21435343823341546,0.6017017313756415,validation
41,0.0,0.1804519072588889,0.18354050150282653,test
42,0.2,0.12965857542284695,0.1734794435099569,test
43,0.0,0.16182927683546028,0.16456533689804698,test
44,0.1,0.10407510426489584,0.15664034878251973,test
45,0.1,0.11083363996366864,0.14960061264464908,test
46,0.0,0.1160894028980694,0.14334168067457162,test
47,0.2,0.07431080591683183,0.13778876854896271,test
48,0.2,0.12406661220170866,0.132876182637399,test
49,0.0,0.1357658767018285,0.12856122062339728,test
50,0.2,0.07983465033218319,0.12481919230993603,test
51,0.0,0.1267256087147787,0.12165414427014892,test
