t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.4286436765357967,0.4288424430904187,train
1,0.2,0.3488547401120473,0.3490443551081614,train
2,0.3,0.3441015812541744,0.3443007852197527,train
3,0.2,0.3734961646174465,0.3737275252528595,train
4,0.8,0.4439955652348079,0.4442864315728157,train
5,0.8,0.572747840761568,0.5731470689190501,train
6,0.7,0.7969446836293623,0.7975267098569214,train
7,1.2,1.1768202922260553,1.1777258077415584,train
8,2.3,1.820840898399725,1.8222809042653139,train
9,2.2,2.863880744086207,2.866211771249748,train
10,4.6,4.440606971053229,4.444140052465674,train
11,6.5,6.329205931619909,6.334001313811086,train
12,7.4,7.646254337949593,7.650946857010958,train
13,7.2,7.005590772324039,7.008980602229396,train
14,5.8,5.920868757046093,5.923685393307239,train
15,4.7,5.2087668388445705,5.211657718948243,train
16,4.6,4.6337665580960525,4.63598933563152,train
17,2.9,4.160222017789464,4.162780252181878,train
18,4.6,3.7374590309452955,3.7391193798151474,train
19,3.8,3.394566725779214,3.3969291919036877,train
20,3.2,3.0602443312216114,3.0614221928992738,train
21,4.4,2.79142757735115,2.7936497829596796,train
22,3.0,2.5025802335512988,2.5033543079562146,train
23,2.5,2.273587900326334,2.2756515384423275,train
24,1.9,2.008319959774207,2.008791826696319,train
25,1.2,1.8009189078494576,1.8027394377704569,train
26,1.6,1.5570549448423034,1.5573509955557108,train
27,1.6,1.3720443214653357,1.3735120371728464,train
28,1.1,1.1673167502261759,1.1675601530589044,train
29,1.1,1.0202911197951783,1.0213569630503347,train
30,0.6,0.8720812460569788,0.8723435009575311,train
31,0.5,0.7687036355452704,0.7694293756007398,validation
32,0.6,0.6709482371356206,0.6712333513905168,validation
33,0.1,0.6005442148080136,0.6010429567278728,validation
34,0.1,0.5361193807922394,0.5364020455297778,validation
35,0.3,0.4867865133679664,0.48715047712413584,validation
36,0.1,0.4424124214853156,0.4426737053651039,validation
37,0.2,0.4064261513539794,0.4067104916990846,validation
38,0.2,0.3742787648044418,0.3745122716398943,validation
39,0.2,0.3470794586798047,0.34731366143798,validation
40,0.1,0.3227796670399064,0.32298616089127063,validation
41,0.0,0.30162867889844164,0.30182854911637474,test
42,0.2,0.28266571107556143,0.2828485252204724,test
43,0.0,0.26586188217384393,0.2660364976575838,test
44,0.1,0.2507414145873404,0.25090430709738354,test
45,0.1,0.23721787541594094,0.23737301314505155,test
46,0.0,0.2250562849236617,0.22520275578063031,test
47,0.2,0.21420553384061616,0.21434537026614933,test
48,0.2,0.20459658379179438,0.20472990516305445,test
49,0.0,0.1962915754590997,0.19641975513371182,test
50,0.2,0.18942995815008146,0.1895537168258008,test
51,0.0,0.1843279834841286,0.18444880000076563,test
