origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,1.1,0.6000000000000001,0.6000000000000001
32,32,1,0.6,0.8250000000000001,0.2250000000000001,0.2250000000000001
33,33,1,0.1,0.7000000000000001,0.6000000000000001,0.6000000000000001
34,34,1,0.1,0.45000000000000007,0.3500000000000001,0.3500000000000001
35,35,1,0.3,0.32500000000000007,0.025000000000000078,0.025000000000000078
36,36,1,0.1,0.27499999999999997,0.17499999999999996,0.17499999999999996
37,37,1,0.2,0.15,-0.05000000000000002,0.05000000000000002
38,38,1,0.2,0.175,-0.025000000000000022,0.025000000000000022
39,39,1,0.2,0.2,0.0,0.0
40,40,1,0.1,0.175,0.07499999999999998,0.07499999999999998
41,41,1,0.0,0.17500000000000002,0.17500000000000002,0.17500000000000002
42,42,1,0.2,0.125,-0.07500000000000001,0.07500000000000001
43,43,1,0.0,0.125,0.125,0.125
44,44,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
45,45,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
46,46,1,0.0,0.1,0.1,0.1
47,47,1,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,48,1,0.2,0.1,-0.1,0.1
49,49,1,0.0,0.125,0.125,0.125
50,50,1,0.2,0.1,-0.1,0.1
51,51,1,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002
31,32,2,0.6,1.1,0.5000000000000001,0.5000000000000001
32,33,2,0.1,0.8250000000000001,0.7250000000000001,0.7250000000000001
33,34,2,0.1,0.7000000000000001,0.6000000000000001,0.6000000000000001
34,35,2,0.3,0.45000000000000007,0.15000000000000008,0.15000000000000008
35,36,2,0.1,0.32500000000000007,0.22500000000000006,0.22500000000000006
36,37,2,0.2,0.27499999999999997,0.07499999999999996,0.07499999999999996
37,38,2,0.2,0.15,-0.05000000000000002,0.05000000000000002
38,39,2,0.2,0.175,-0.025000000000000022,0.025000000000000022
39,40,2,0.1,0.2,0.1,0.1
40,41,2,0.0,0.175,0.175,0.175
41,42,2,0.2,0.17500000000000002,-0.024999999999999994,0.024999999999999994
42,43,2,0.0,0.125,0.125,0.125
43,44,2,0.1,0.125,0.024999999999999994,0.024999999999999994
44,45,2,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
45,46,2,0.0,0.07500000000000001,0.07500000000000001,0.07500000000000001
46,47,2,0.2,0.1,-0.1,0.1
47,48,2,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,49,2,0.0,0.1,0.1,0.1
49,50,2,0.2,0.125,-0.07500000000000001,0.07500000000000001
50,51,2,0.0,0.1,0.1,0.1
31,34,4,0.1,1.1,1.0,1.0
32,35,4,0.3,0.8250000000000001,0.5250000000000001,0.5250000000000001
33,36,4,0.1,0.7000000000000001,0.6000000000000001,0.6000000000000001
34,37,4,0.2,0.45000000000000007,0.25000000000000006,0.25000000000000006
35,38,4,0.2,0.32500000000000007,0.12500000000000006,0.12500000000000006
36,39,4,0.2,0.27499999999999997,0.07499999999999996,0.07499999999999996
37,40,4,0.1,0.15,0.04999999999999999,0.04999999999999999
38,41,4,0.0,0.175,0.175,0.175
39,42,4,0.2,0.2,0.0,0.0
40,43,4,0.0,0.175,0.175,0.175
41,44,4,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
42,45,4,0.1,0.125,0.024999999999999994,0.024999999999999994
43,46,4,0.0,0.125,0.125,0.125
44,47,4,0.2,0.07500000000000001,-0.125,0.125
45,48,4,0.2,0.07500000000000001,-0.125,0.125
46,49,4,0.0,0.1,0.1,0.1
47,50,4,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,51,4,0.0,0.1,0.1,0.1
