origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,0.3173165615337116,-0.18268343846628837,0.18268343846628837
32,32,1,0.6,0.23005450721085935,-0.36994549278914063,0.36994549278914063
33,33,1,0.1,0.17948140082669195,0.07948140082669194,0.07948140082669194
34,34,1,0.1,0.11895439638215491,0.018954396382154903,0.018954396382154903
35,35,1,0.3,0.07944632245698453,-0.22055367754301547,0.22055367754301547
36,36,1,0.1,0.05662437890120167,-0.043375621098798334,0.043375621098798334
37,37,1,0.2,0.03835986936276815,-0.16164013063723187,0.16164013063723187
38,38,1,0.2,0.02652817326671406,-0.17347182673328596,0.17347182673328596
39,39,1,0.2,0.018325378122401228,-0.18167462187759878,0.18167462187759878
40,40,1,0.1,0.012609684907849599,-0.08739031509215041,0.08739031509215041
41,41,1,0.0,0.008577972788052408,0.008577972788052408,0.008577972788052408
42,42,1,0.2,0.005738944329676005,-0.194261055670324,0.194261055670324
43,43,1,0.0,0.0039611337996420665,0.0039611337996420665,0.0039611337996420665
44,44,1,0.1,0.0026569090937019505,-0.09734309090629806,0.09734309090629806
45,45,1,0.1,0.0018129278100624245,-0.09818707218993758,0.09818707218993758
46,46,1,0.0,0.0012555419439727515,0.0012555419439727515,0.0012555419439727515
47,47,1,0.2,0.0008766369770079817,-0.19912336302299202,0.19912336302299202
48,48,1,0.2,0.0006317462961675602,-0.19936825370383246,0.19936825370383246
49,49,1,0.0,0.0004675377768219348,0.0004675377768219348,0.0004675377768219348
50,50,1,0.2,0.00036182153511171537,-0.1996381784648883,0.1996381784648883
51,51,1,0.0,0.0002958882303031384,0.0002958882303031384,0.0002958882303031384
31,32,2,0.6,1.9749884394673511,1.374988439467351,1.374988439467351
32,33,2,0.1,0.8352129038259614,0.7352129038259614,0.7352129038259614
33,34,2,0.1,0.12259346501450018,0.022593465014500172,0.022593465014500172
34,35,2,0.3,0.08014056432340955,-0.21985943567659044,0.21985943567659044
35,36,2,0.1,0.05327702529417607,-0.046722974705823934,0.046722974705823934
36,37,2,0.2,0.03815302888494001,-0.16184697111506,0.16184697111506
37,38,2,0.2,0.02581787076795066,-0.17418212923204934,0.17418212923204934
38,39,2,0.2,0.017910971133939455,-0.18208902886606054,0.18208902886606054
39,40,2,0.1,0.012376611994591486,-0.08762338800540852,0.08762338800540852
40,41,2,0.0,0.008550332333387272,0.008550332333387272,0.008550332333387272
41,42,2,0.2,0.0058082109804040195,-0.194191789019596,0.194191789019596
42,43,2,0.0,0.003909593538806822,0.003909593538806822,0.003909593538806822
43,44,2,0.1,0.0026865427924148834,-0.09731345720758512,0.09731345720758512
44,45,2,0.1,0.0018262257936210017,-0.098173774206379,0.098173774206379
45,46,2,0.0,0.0012630873516686607,0.0012630873516686607,0.0012630873516686607
46,47,2,0.2,0.0008836694831351565,-0.19911633051686486,0.19911633051686486
47,48,2,0.2,0.0006336791427841751,-0.19936632085721584,0.19936632085721584
48,49,2,0.0,0.00047052227096238525,0.00047052227096238525,0.00047052227096238525
49,50,2,0.2,0.0003640431181372266,-0.19963595688186278,0.19963595688186278
50,51,2,0.0,0.0002980942276750921,0.0002980942276750921,0.0002980942276750921
31,34,4,0.1,0.7972907476129784,0.6972907476129784,0.6972907476129784
32,35,4,0.3,0.683565273911803,0.383565273911803,0.383565273911803
33,36,4,0.1,0.05632826749729128,-0.04367173250270873,0.04367173250270873
34,37,4,0.2,0.036134888525997486,-0.1638651114740025,0.1638651114740025
35,38,4,0.2,0.023817052782860986,-0.17618294721713904,0.17618294721713904
36,39,4,0.2,0.01722483759255339,-0.18277516240744662,0.18277516240744662
37,40,4,0.1,0.011638234747877814,-0.08836176525212219,0.08836176525212219
38,41,4,0.0,0.008128520235220755,0.008128520235220755,0.008128520235220755
39,42,4,0.2,0.0056578090725581676,-0.19434219092744184,0.19434219092744184
40,43,4,0.0,0.0039421193272732805,0.0039421193272732805,0.0039421193272732805
41,44,4,0.1,0.0027003712540121976,-0.09729962874598781,0.09729962874598781
42,45,4,0.1,0.0018355869556135923,-0.09816441304438642,0.09816441304438642
43,46,4,0.0,0.001286176962135706,0.001286176962135706,0.001286176962135706
44,47,4,0.2,0.0008978545725213437,-0.19910214542747867,0.19910214542747867
45,48,4,0.2,0.0006459961237836235,-0.19935400387621638,0.19935400387621638
46,49,4,0.0,0.00047672187278047326,0.00047672187278047326,0.00047672187278047326
47,50,4,0.2,0.0003680466346878458,-0.19963195336531217,0.19963195336531217
48,51,4,0.0,0.0003015976102707175,0.0003015976102707175,0.0003015976102707175
