t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.2713228111727202,0.27139357570101635,train
1,0.2,0.2713228111727202,0.27139357570101635,train
2,0.3,0.45336808551487257,0.4621495410915309,train
3,0.2,0.4175695554962412,0.38985403056184864,train
4,0.8,0.5840852905971778,0.5885251844521204,train
5,0.8,0.7067905245637262,0.6588346556154328,train
6,0.7,1.0298420637400563,1.0262443220051647,train
7,1.2,1.4361325868990131,1.3562634515540133,train
8,2.3,2.171797009548503,2.1662665862232933,train
9,2.2,3.1636511390189126,3.0521518390454023,train
10,4.6,4.594383947382952,4.641683865247377,train
11,6.5,6.078150708847913,6.014908570710693,train
12,7.4,7.152377340439171,7.328874387999117,train
13,7.2,6.982984614482598,6.943671137004901,train
14,5.8,5.950956407095765,5.9844916183979215,train
15,4.7,4.969486456497298,4.87434815021131,train
16,4.6,4.348925453449971,4.359184377825491,train
17,2.9,3.978137766965442,3.9551897858299494,train
18,4.6,3.758514996813394,3.7965135637471965,train
19,3.8,3.599326560389376,3.6171244987945044,train
20,3.2,3.448691341007821,3.488750042303019,train
21,4.4,3.2685044181358527,3.2897851565869782,train
22,3.0,3.0405945077089513,3.061657880887368,train
23,2.5,2.75923215337514,2.7634239425338274,train
24,1.9,2.431708099296722,2.4259746319855253,train
25,1.2,2.0747492598880717,2.054468078324895,train
26,1.6,1.7114173650343867,1.6803174663182086,train
27,1.6,1.36581904074233,1.3264811457531605,train
28,1.1,1.0577923141352124,1.015895292255774,train
29,1.1,0.7991768119839752,0.7601062746141837,train
30,0.6,0.5930790566149724,0.5612042052545945,train
31,0.5,0.4357309975949632,0.41326913075735944,validation
32,0.6,0.3194913443174983,0.3066701483014306,validation
33,0.1,0.23557533660975968,0.23123960857325818,validation
34,0.1,0.17582779349409308,0.1781887946428034,validation
35,0.3,0.13353052124129666,0.1407231880316341,validation
36,0.1,0.10355002068213907,0.11394410622215788,validation
37,0.2,0.0821511639581772,0.09446492817263522,validation
38,0.2,0.06670089172809522,0.07999878940822594,validation
39,0.2,0.0553789612247293,0.06901736971930723,validation
40,0.1,0.04694072653794389,0.06050057358619291,validation
41,0.0,0.04053929463624336,0.05376433720767049,test
42,0.2,0.03559904515504431,0.048346469155796566,test
43,0.0,0.03172863030132415,0.04393260948573522,test
44,0.1,0.028662518558684475,0.04030899053910862,test
45,0.1,0.02622255234451477,0.03733296036931492,test
46,0.0,0.024293440050110738,0.03491551230228309,test
47,0.2,0.022808145259041367,0.03301241663075947,test
48,0.2,0.02174073653725584,0.0316222438774913,test
49,0.0,0.021105553185849297,0.030790901573464608,test
50,0.2,0.020962750605450938,0.030623608892365716,test
51,0.0,0.021431769925697737,0.031307002412059304,test
