origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.5,0.8500000000000001,0.3500000000000001,0.3500000000000001
32,32,1,0.6,0.55,-0.04999999999999993,0.04999999999999993
33,33,1,0.1,0.55,0.45000000000000007,0.45000000000000007
34,34,1,0.1,0.35,0.24999999999999997,0.24999999999999997
35,35,1,0.3,0.1,-0.19999999999999998,0.19999999999999998
36,36,1,0.1,0.2,0.1,0.1
37,37,1,0.2,0.2,0.0,0.0
38,38,1,0.2,0.15000000000000002,-0.04999999999999999,0.04999999999999999
39,39,1,0.2,0.2,0.0,0.0
40,40,1,0.1,0.2,0.1,0.1
41,41,1,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002
42,42,1,0.2,0.05,-0.15000000000000002,0.15000000000000002
43,43,1,0.0,0.1,0.1,0.1
44,44,1,0.1,0.1,0.0,0.0
45,45,1,0.1,0.05,-0.05,0.05
46,46,1,0.0,0.1,0.1,0.1
47,47,1,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,48,1,0.2,0.1,-0.1,0.1
49,49,1,0.0,0.2,0.2,0.2
50,50,1,0.2,0.1,-0.1,0.1
51,51,1,0.0,0.1,0.1,0.1
31,32,2,0.6,0.8500000000000001,0.2500000000000001,0.2500000000000001
32,33,2,0.1,0.55,0.45000000000000007,0.45000000000000007
33,34,2,0.1,0.55,0.45000000000000007,0.45000000000000007
34,35,2,0.3,0.35,0.04999999999999999,0.04999999999999999
35,36,2,0.1,0.1,0.0,0.0
36,37,2,0.2,0.2,0.0,0.0
37,38,2,0.2,0.2,0.0,0.0
38,39,2,0.2,0.15000000000000002,-0.04999999999999999,0.04999999999999999
39,40,2,0.1,0.2,0.1,0.1
40,41,2,0.0,0.2,0.2,0.2
41,42,2,0.2,0.15000000000000002,-0.04999999999999999,0.04999999999999999
42,43,2,0.0,0.05,0.05,0.05
43,44,2,0.1,0.1,0.0,0.0
44,45,2,0.1,0.1,0.0,0.0
45,46,2,0.0,0.05,0.05,0.05
46,47,2,0.2,0.1,-0.1,0.1
47,48,2,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,49,2,0.0,0.1,0.1,0.1
49,50,2,0.2,0.2,0.0,0.0
50,51,2,0.0,0.1,0.1,0.1
31,34,4,0.1,0.8500000000000001,0.7500000000000001,0.7500000000000001
32,35,4,0.3,0.55,0.25000000000000006,0.25000000000000006
33,36,4,0.1,0.55,0.45000000000000007,0.45000000000000007
34,37,4,0.2,0.35,0.14999999999999997,0.14999999999999997
35,38,4,0.2,0.1,-0.1,0.1
36,39,4,0.2,0.2,0.0,0.0
37,40,4,0.1,0.2,0.1,0.1
38,41,4,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002
39,42,4,0.2,0.2,0.0,0.0
40,43,4,0.0,0.2,0.2,0.2
41,44,4,0.1,0.15000000000000002,0.05000000000000002,0.05000000000000002
42,45,4,0.1,0.05,-0.05,0.05
43,46,4,0.0,0.1,0.1,0.1
44,47,4,0.2,0.1,-0.1,0.1
45,48,4,0.2,0.05,-0.15000000000000002,0.15000000000000002
46,49,4,0.0,0.1,0.1,0.1
47,50,4,0.2,0.05,-0.15000000000000002,0.15000000000000002
48,51,4,0.0,0.1,0.1,0.1
