origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.1,0.2,0.1,0.1
32,32,1,0.1,0.1,0.0,0.0
33,33,1,0.1,0.1,0.0,0.0
34,34,1,0.1,0.1,0.0,0.0
35,35,1,0.1,0.1,0.0,0.0
36,36,1,0.1,0.1,0.0,0.0
37,37,1,0.0,0.1,0.1,0.1
38,38,1,0.1,0.0,-0.1,0.1
39,39,1,0.1,0.1,0.0,0.0
40,40,1,0.0,0.1,0.1,0.1
41,41,1,0.0,0.0,0.0,0.0
42,42,1,0.1,0.0,-0.1,0.1
43,43,1,0.0,0.1,0.1,0.1
44,44,1,0.0,0.0,0.0,0.0
45,45,1,0.0,0.0,0.0,0.0
46,46,1,0.0,0.0,0.0,0.0
47,47,1,0.0,0.0,0.0,0.0
48,48,1,0.0,0.0,0.0,0.0
49,49,1,0.0,0.0,0.0,0.0
50,50,1,0.0,0.0,0.0,0.0
51,51,1,0.0,0.0,0.0,0.0
31,32,2,0.1,0.2,0.1,0.1
32,33,2,0.1,0.1,0.0,0.0
33,34,2,0.1,0.1,0.0,0.0
34,35,2,0.1,0.1,0.0,0.0
35,36,2,0.1,0.1,0.0,0.0
36,37,2,0.0,0.1,0.1,0.1
37,38,2,0.1,0.1,0.0,0.0
38,39,2,0.1,0.0,-0.1,0.1
39,40,2,0.0,0.1,0.1,0.1
40,41,2,0.0,0.1,0.1,0.1
41,42,2,0.1,0.0,-0.1,0.1
42,43,2,0.0,0.0,0.0,0.0
43,44,2,0.0,0.1,0.1,0.1
44,45,2,0.0,0.0,0.0,0.0
45,46,2,0.0,0.0,0.0,0.0
46,47,2,0.0,0.0,0.0,0.0
47,48,2,0.0,0.0,0.0,0.0
48,49,2,0.0,0.0,0.0,0.0
49,50,2,0.0,0.0,0.0,0.0
50,51,2,0.0,0.0,0.0,0.0
31,34,4,0.1,0.2,0.1,0.1
32,35,4,0.1,0.1,0.0,0.0
33,36,4,0.1,0.1,0.0,0.0
34,37,4,0.0,0.1,0.1,0.1
35,38,4,0.1,0.1,0.0,0.0
36,39,4,0.1,0.1,0.0,0.0
37,40,4,0.0,0.1,0.1,0.1
38,41,4,0.0,0.0,0.0,0.0
39,42,4,0.1,0.1,0.0,0.0
40,43,4,0.0,0.1,0.1,0.1
41,44,4,0.0,0.0,0.0,0.0
42,45,4,0.0,0.0,0.0,0.0
43,46,4,0.0,0.1,0.1,0.1
44,47,4,0.0,0.0,0.0,0.0
45,48,4,0.0,0.0,0.0,0.0
46,49,4,0.0,0.0,0.0,0.0
47,50,4,0.0,0.0,0.0,0.0
48,51,4,0.0,0.0,0.0,0.0
