origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.1,0.32301961165908266,0.22301961165908266,0.22301961165908266
32,32,1,0.1,0.22840591340749672,0.1284059134074967,0.1284059134074967
33,33,1,0.1,0.1829608182774977,0.08296081827749768,0.08296081827749768
34,34,1,0.1,0.15385330452993834,0.053853304529938334,0.053853304529938334
35,35,1,0.1,0.1348920220363099,0.034892022036309894,0.034892022036309894
36,36,1,0.1,0.12608143481685608,0.02608143481685607,0.02608143481685607
37,37,1,0.0,0.11857365675868772,0.11857365675868772,0.11857365675868772
38,38,1,0.1,0.07556548804706296,-0.02443451195293704,0.02443451195293704
39,39,1,0.1,0.09229720162201151,-0.007702798377988498,0.007702798377988498
40,40,1,0.0,0.09307935621374472,0.09307935621374472,0.09307935621374472
41,41,1,0.0,0.052588259901326206,0.052588259901326206,0.052588259901326206
42,42,1,0.1,0.04299700596939811,-0.0570029940306019,0.0570029940306019
43,43,1,0.0,0.06763979099932399,0.06763979099932399,0.06763979099932399
44,44,1,0.0,0.034237153897724554,0.034237153897724554,0.034237153897724554
45,45,1,0.0,0.02616493769742292,0.02616493769742292,0.02616493769742292
46,46,1,0.0,0.02396173752158622,0.02396173752158622,0.02396173752158622
47,47,1,0.0,0.013704506788329978,0.013704506788329978,0.013704506788329978
48,48,1,0.0,0.012019884358999422,0.012019884358999422,0.012019884358999422
49,49,1,0.0,0.010545680630150288,0.010545680630150288,0.010545680630150288
50,50,1,0.0,0.0092527667566972,0.0092527667566972,0.0092527667566972
51,51,1,0.0,0.008119500426006723,0.008119500426006723,0.008119500426006723
31,32,2,0.1,0.30840306004278273,0.20840306004278272,0.20840306004278272
32,33,2,0.1,0.21740417050491898,0.11740417050491897,0.11740417050491897
33,34,2,0.1,0.17332528087980398,0.07332528087980397,0.07332528087980397
34,35,2,0.1,0.14415362631465609,0.04415362631465608,0.04415362631465608
35,36,2,0.1,0.12687609218961823,0.026876092189618228,0.026876092189618228
36,37,2,0.0,0.11903576099810745,0.11903576099810745,0.11903576099810745
37,38,2,0.1,0.112479820158562,0.012479820158562,0.012479820158562
38,39,2,0.1,0.07040297015760265,-0.029597029842397357,0.029597029842397357
39,40,2,0.0,0.08754140013105707,0.08754140013105707,0.08754140013105707
40,41,2,0.0,0.0888918026670313,0.0888918026670313,0.0888918026670313
41,42,2,0.1,0.04883734929264891,-0.0511626507073511,0.0511626507073511
42,43,2,0.0,0.03993622419225138,0.03993622419225138,0.03993622419225138
43,44,2,0.0,0.06494659437348671,0.06494659437348671,0.06494659437348671
44,45,2,0.0,0.03184596086776312,0.03184596086776312,0.03184596086776312
45,46,2,0.0,0.024069145081428895,0.024069145081428895,0.024069145081428895
46,47,2,0.0,0.02212514034667691,0.02212514034667691,0.02212514034667691
47,48,2,0.0,0.012094648876951367,0.012094648876951367,0.012094648876951367
48,49,2,0.0,0.010609944396529288,0.010609944396529288,0.010609944396529288
49,50,2,0.0,0.009307127633757144,0.009307127633757144,0.009307127633757144
50,51,2,0.0,0.008166781713970155,0.008166781713970155,0.008166781713970155
31,34,4,0.1,0.28493513924569486,0.18493513924569485,0.18493513924569485
32,35,4,0.1,0.19612788791703548,0.09612788791703547,0.09612788791703547
33,36,4,0.1,0.15483707531144936,0.05483707531144935,0.05483707531144935
34,37,4,0.0,0.1293508566623066,0.1293508566623066,0.1293508566623066
35,38,4,0.1,0.1135061031992699,0.013506103199269898,0.013506103199269898
36,39,4,0.1,0.10744484208856017,0.007444842088560166,0.007444842088560166
37,40,4,0.0,0.10225746246983007,0.10225746246983007,0.10225746246983007
38,41,4,0.0,0.06134840193263296,0.06134840193263296,0.06134840193263296
39,42,4,0.1,0.07980423574045567,-0.020195764259544335,0.020195764259544335
40,43,4,0.0,0.0820909980370669,0.0820909980370669,0.0820909980370669
41,44,4,0.0,0.04294089116784021,0.04294089116784021,0.04294089116784021
42,45,4,0.0,0.03467159152229538,0.03467159152229538,0.03467159152229538
43,46,4,0.0,0.060308955766221445,0.060308955766221445,0.060308955766221445
44,47,4,0.0,0.027777924129069844,0.027777924129069844,0.027777924129069844
45,48,4,0.0,0.020500381351866343,0.020500381351866343,0.020500381351866343
46,49,4,0.0,0.018995146666101977,0.018995146666101977,0.018995146666101977
47,50,4,0.0,0.0092395004179767,0.0092395004179767,0.0092395004179767
48,51,4,0.0,0.008093272675178089,0.008093272675178089,0.008093272675178089
