t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.17074777452921,0.1632452156874335,train
1,0.1,0.18973632608617286,0.18084903316692924,train
2,0.1,0.21715552237678687,0.2064733331422799,train
3,0.2,0.25742649835538445,0.24438444135939424,train
4,0.2,0.3177546280624251,0.30159842607615706,train
5,0.4,0.41010325623487504,0.3899029484563196,train
6,0.4,0.5544079313635514,0.5292494876315784,train
7,0.7,0.7830440659368515,0.7527324161827575,train
8,1.1,1.1439507587438844,1.1108992828645152,train
9,1.6,1.6901333017013562,1.6630158214512851,train
10,2.3,2.4209658922657815,2.4169881523136185,train
11,3.1,3.1432028824404523,3.173552820757793,train
12,4.3,3.439982577669207,3.4738191527695945,train
13,3.3,3.1990046082898376,3.2026528482308336,train
14,2.4,2.8249480771564137,2.8221933388530824,train
15,1.9,2.488774727789431,2.4878272851503254,train
16,2.0,2.1924754833003073,2.193063038571008,train
17,1.7,1.9314436569102333,1.9332228445491917,train
18,1.6,1.701488845239469,1.7041692074830723,train
19,1.7,1.4989119612214947,1.502254480473423,train
20,1.6,1.3204535653442777,1.324263173461555,train
21,1.6,1.1632421717922394,1.1673607734944205,train
22,1.3,1.0247481487001608,1.0290486081095942,train
23,1.0,0.9027430336737111,0.9071240544260577,train
24,0.9,0.7952636805844048,0.7996454624454731,train
25,0.9,0.7005806723386913,0.7049012342762999,train
26,0.9,0.6171704937121046,0.6213825669233622,train
27,0.6,0.5436910170549348,0.5477594245839325,train
28,0.4,0.47895990657361326,0.48285935781208517,train
29,0.3,0.42193559374633877,0.42564883224720973,train
30,0.2,0.37170051777091806,0.37521676956676814,train
31,0.1,0.32744636137828004,0.33076003855288316,validation
32,0.1,0.2884610444482004,0.29157066521785935,validation
33,0.1,0.2541172661465829,0.2570245583097462,validation
34,0.1,0.2238624112198365,0.22657157065149147,validation
35,0.1,0.197209658031858,0.1997267380403911,validation
36,0.1,0.17373014526588362,0.1760625561872044,validation
37,0.0,0.15304607124806582,0.155202172705096,validation
38,0.1,0.1348246148561319,0.13681338573074558,validation
39,0.1,0.11877258019634081,0.12060335360559252,validation
40,0.0,0.10463167887788001,0.10631393136882503,validation
41,0.0,0.09217437397322542,0.09371755979570713,test
42,0.1,0.08120021879090311,0.0826136415141284,test
43,0.0,0.07153263154896494,0.07282534648898789,test
44,0.0,0.0630160540514356,0.06419679600171219,test
45,0.0,0.05551344864886177,0.05659058027974646,test
46,0.0,0.04890409320732097,0.04988557024423777,test
47,0.0,0.043081638605409804,0.043974988527965816,test
48,0.0,0.037952397502989135,0.03876470904445761,test
49,0.0,0.03343383684678664,0.034171758028903654,test
50,0.0,0.02945324985622475,0.030122992679933572,test
51,0.0,0.025946586120803354,0.026553936359605422,test
