origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.1,0.3703869023310012,0.27038690233100116,0.27038690233100116
32,32,1,0.1,0.3177856402960763,0.2177856402960763,0.2177856402960763
33,33,1,0.1,0.2743531050866135,0.17435310508661347,0.17435310508661347
34,34,1,0.1,0.23804043518019705,0.13804043518019704,0.13804043518019704
35,35,1,0.1,0.2073487835401492,0.1073487835401492,0.1073487835401492
36,36,1,0.1,0.1812090728083635,0.08120907280836351,0.08120907280836351
37,37,1,0.0,0.1587933131747377,0.1587933131747377,0.1587933131747377
38,38,1,0.1,0.13816934659276853,0.03816934659276852,0.03816934659276852
39,39,1,0.1,0.1215518832654264,0.021551883265426397,0.021551883265426397
40,40,1,0.0,0.10707900930017507,0.10707900930017507,0.10707900930017507
41,41,1,0.0,0.09371588888402776,0.09371588888402776,0.09371588888402776
42,42,1,0.1,0.08212778002467817,-0.017872219975321832,0.017872219975321832
43,43,1,0.0,0.07254057933849425,0.07254057933849425,0.07254057933849425
44,44,1,0.0,0.06369365770503138,0.06369365770503138,0.06369365770503138
45,45,1,0.0,0.05594775849813076,0.05594775849813076,0.05594775849813076
46,46,1,0.0,0.04917077498211221,0.04917077498211221,0.04917077498211221
47,47,1,0.0,0.043242778288543025,0.043242778288543025,0.043242778288543025
48,48,1,0.0,0.03804087921425301,0.03804087921425301,0.03804087921425301
49,49,1,0.0,0.03347847734344292,0.03347847734344292,0.03347847734344292
50,50,1,0.0,0.029472611520663723,0.029472611520663723,0.029472611520663723
51,51,1,0.0,0.025949176278680673,0.025949176278680673,0.025949176278680673
31,32,2,0.1,0.32880277144509046,0.22880277144509045,0.22880277144509045
32,33,2,0.1,0.2815545039633434,0.1815545039633434,0.1815545039633434
33,34,2,0.1,0.24272258692094234,0.14272258692094233,0.14272258692094233
34,35,2,0.1,0.2103795248287778,0.1103795248287778,0.1103795248287778
35,36,2,0.1,0.18312527310100604,0.08312527310100604,0.08312527310100604
36,37,2,0.0,0.15996173950927076,0.15996173950927076,0.15996173950927076
37,38,2,0.1,0.14011240419144297,0.04011240419144296,0.04011240419144296
38,39,2,0.1,0.12187283017799855,0.021872830177998542,0.021872830177998542
39,40,2,0.0,0.10718535126818315,0.10718535126818315,0.10718535126818315
40,41,2,0.0,0.09442358382981647,0.09442358382981647,0.09442358382981647
41,42,2,0.1,0.08261521456594907,-0.017384785434050934,0.017384785434050934
42,43,2,0.0,0.07238267803258293,0.07238267803258293,0.07238267803258293
43,44,2,0.0,0.06393762199583525,0.06393762199583525,0.06393762199583525
44,45,2,0.0,0.05612758409215402,0.05612758409215402,0.05612758409215402
45,46,2,0.0,0.04929733251270174,0.04929733251270174,0.04929733251270174
46,47,2,0.0,0.04332587179180903,0.04332587179180903,0.04332587179180903
47,48,2,0.0,0.03809575813231522,0.03809575813231522,0.03809575813231522
48,49,2,0.0,0.033515654593274005,0.033515654593274005,0.033515654593274005
49,50,2,0.0,0.029493489411877533,0.029493489411877533,0.029493489411877533
50,51,2,0.0,0.025963511789135984,0.025963511789135984,0.025963511789135984
31,34,4,0.1,0.25913854014795545,0.15913854014795545,0.15913854014795545
32,35,4,0.1,0.22100556847638847,0.12100556847638846,0.12100556847638846
33,36,4,0.1,0.1899834375876787,0.08998343758767868,0.08998343758767868
34,37,4,0.0,0.16432641851820826,0.16432641851820826,0.16432641851820826
35,38,4,0.1,0.14283456924169843,0.04283456924169843,0.04283456924169843
36,39,4,0.1,0.12464042617747671,0.024640426177476707,0.024640426177476707
37,40,4,0.0,0.10911752730862594,0.10911752730862594,0.10911752730862594
38,41,4,0.0,0.09478102213900784,0.09478102213900784,0.09478102213900784
39,42,4,0.1,0.08335933323466047,-0.01664066676533954,0.01664066676533954
40,43,4,0.0,0.0734112023638207,0.0734112023638207,0.0734112023638207
41,44,4,0.0,0.06419421274637271,0.06419421274637271,0.06419421274637271
42,45,4,0.0,0.05622108979557513,0.05622108979557513,0.05622108979557513
43,46,4,0.0,0.04967186430666917,0.04967186430666917,0.04967186430666917
44,47,4,0.0,0.04359854778853284,0.04359854778853284,0.04359854778853284
45,48,4,0.0,0.03827929281675914,0.03827929281675914,0.03827929281675914
46,49,4,0.0,0.033637063885488844,0.033637063885488844,0.033637063885488844
47,50,4,0.0,0.029573065573135934,0.029573065573135934,0.029573065573135934
48,51,4,0.0,0.02601201113918442,0.02601201113918442,0.02601201113918442
