t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.10676181933026185,0.10655330945622862,train
1,0.1,0.11022163396705374,0.11010473818269734,train
2,0.1,0.12695405606901677,0.12692088654180328,train
3,0.2,0.16184488275867578,0.16192689609975974,train
4,0.2,0.22408029884272176,0.22431075718106697,train
5,0.4,0.3206062621436472,0.3211190156412536,train
6,0.4,0.4738242219716659,0.47468406325356893,train
7,0.7,0.6971603627291361,0.6986664410518788,train
8,1.1,1.0556337999073058,1.0576595550585204,train
9,1.6,1.559682739672195,1.5625868395059193,train
10,2.3,2.3367768190363503,2.33866675053384,train
11,3.1,3.118399647326537,3.1186570253162196,train
12,4.3,3.722823925141193,3.7158498767485066,train
13,3.3,3.258529200261149,3.254326363977465,train
14,2.4,2.858813455666536,2.857973445520354,train
15,1.9,2.510756348597473,2.5117643144065847,train
16,2.0,2.2040982852294277,2.2067986767683188,train
17,1.7,1.9352603260279848,1.939121118111894,train
18,1.6,1.6990760294976024,1.7038141990304188,train
19,1.7,1.4917676497670243,1.4970978050349695,train
20,1.6,1.3097342012068562,1.3154476421100518,train
21,1.6,1.1499206762678378,1.1558431504008861,train
22,1.3,1.0096048526660513,1.0156016771095362,train
23,1.0,0.8864116914875968,0.8923767993408304,train
24,0.9,0.7782503199385453,0.7841027549197144,train
25,0.9,0.6832871160836642,0.6889659423964996,train
26,0.9,0.5999114022944232,0.6053722376235817,train
27,0.6,0.5267093379764175,0.5319211496920968,train
28,0.4,0.46243948862542994,0.46738203136093204,train
29,0.3,0.4060119438691271,0.41067358286261246,train
30,0.2,0.35646976980660255,0.36084568934797057,train
31,0.1,0.3129728050410407,0.3170635197290586,validation
32,0.1,0.27478340363386755,0.2785935331097247,validation
33,0.1,0.24125392914243463,0.24479119127348842,validation
34,0.1,0.2118157703518825,0.2150901589560414,validation
35,0.1,0.18596969894435056,0.18899281563405504,validation
36,0.1,0.1632774031288458,0.166061918100613,validation
37,0.0,0.14335405458012687,0.14591327480305086,validation
38,0.1,0.1258617822839391,0.1282093089566648,validation
39,0.1,0.11050394274589019,0.11265340268286063,validation
40,0.0,0.09702008934555921,0.09898492737614324,validation
41,0.0,0.08518155554203495,0.08697487705049992,test
42,0.1,0.07478757702145986,0.07642203149983952,test
43,0.0,0.06566188702648168,0.0671495849907511,test
44,0.0,0.057649727128359765,0.05900218400291422,test
45,0.0,0.050615222749142055,0.05184332438678903,test
46,0.0,0.04443907892644604,0.045553064329636926,test
47,0.0,0.03901655724441869,0.04002601481221418,test
48,0.0,0.03425569962254711,0.0351695738875962,test
49,0.0,0.03007576884036936,0.030902375198683066,test
50,0.0,0.026405879351649734,0.027152924740352958,test
51,0.0,0.023183795168619823,0.02385840302614317,test
