t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.1,0.1,train
1,0.1,0.1,0.1,train
2,0.1,0.1,0.1,train
3,0.2,0.1,0.1,train
4,0.2,0.2,0.2,train
5,0.4,0.2,0.2,train
6,0.4,0.4,0.4,train
7,0.7,0.4,0.4,train
8,1.1,0.7,0.7,train
9,1.6,1.1,1.1,train
10,2.3,1.6,1.6,train
11,3.1,2.3,2.3,train
12,4.3,3.1,3.1,train
13,3.3,4.3,4.3,train
14,2.4,3.3,3.3,train
15,1.9,2.4,2.4,train
16,2.0,1.9,1.9,train
17,1.7,2.0,2.0,train
18,1.6,1.7,1.7,train
19,1.7,1.6,1.6,train
20,1.6,1.7,1.7,train
21,1.6,1.6,1.6,train
22,1.3,1.6,1.6,train
23,1.0,1.3,1.3,train
24,0.9,1.0,1.0,train
25,0.9,0.9,0.9,train
26,0.9,0.9,0.9,train
27,0.6,0.9,0.9,train
28,0.4,0.6,0.6,train
29,0.3,0.4,0.4,train
30,0.2,0.3,0.3,train
31,0.1,0.2,0.2,validation
32,0.1,0.1,0.2,validation
33,0.1,0.1,0.2,validation
34,0.1,0.1,0.2,validation
35,0.1,0.1,0.2,validation
36,0.1,0.1,0.2,validation
37,0.0,0.1,0.2,validation
38,0.1,0.0,0.2,validation
39,0.1,0.1,0.2,validation
40,0.0,0.1,0.2,validation
41,0.0,0.0,0.0,test
42,0.1,0.0,0.0,test
43,0.0,0.1,0.0,test
44,0.0,0.0,0.0,test
45,0.0,0.0,0.0,test
46,0.0,0.0,0.0,test
47,0.0,0.0,0.0,test
48,0.0,0.0,0.0,test
49,0.0,0.0,0.0,test
50,0.0,0.0,0.0,test
51,0.0,0.0,0.0,test
