t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.17075096608463583,0.16324617377970116,train
1,0.1,0.1897412720028222,0.18084956839262256,train
2,0.1,0.2171625895394916,0.2064734323924433,train
3,0.2,0.2574361969946584,0.24438406903519658,train
4,0.2,0.31776762954827154,0.3015975173849722,train
5,0.4,0.4101203379773426,0.38990140280918517,train
6,0.4,0.554429687551871,0.5292471679694997,train
7,0.7,0.7830699877284952,0.7527291716002643,train
8,1.1,1.1439769162083735,1.110895037119354,train
9,1.6,1.6901480658268386,1.663010802298136,train
10,2.3,2.4209475821113347,2.4169832722415148,train
11,3.1,3.1431373099985525,3.1735497032819224,train
12,4.3,3.4399066384043477,3.473818608442298,train
13,3.3,3.1989673526112083,3.2026535808972514,train
14,2.4,2.8249315660680563,2.822194378512669,train
15,1.9,2.4887671478576125,2.487828463571426,train
16,2.0,2.1924745651753343,2.1930643105847394,train
17,1.7,1.9314478940292845,1.9332241714784133,train
18,1.6,1.7014970197623875,1.7041705584605307,train
19,1.7,1.4989230749709765,1.502255831173122,train
20,1.6,1.3204668024503807,1.3242645049841093,train
21,1.6,1.1632568690839107,1.1673620714228166,train
22,1.3,1.0247637708424813,1.0290498617123616,train
23,1.0,0.9027591521123008,0.9071252559863129,train
24,0.9,0.7952799557030319,0.7996466066972179,train
25,0.9,0.7005968383549188,0.704902317931977,train
26,0.9,0.6171863459097787,0.6213835882789583,train
27,0.6,0.5437064010105572,0.5477603831898837,train
28,0.4,0.47897470908260215,0.48286025419993767,train
29,0.3,0.4219497351970491,0.425649667703441,train
30,0.2,0.37171394575027844,0.37521754594643253,train
31,0.1,0.32745904532386433,0.3307607581268194,validation
32,0.1,0.2884729711881944,0.29157133054812173,validation
33,0.1,0.25412843619202913,0.2570251721487188,validation
34,0.1,0.22387283569324504,0.22657213586081962,validation
35,0.1,0.19721935613321226,0.19972725752645204,validation
36,0.1,0.17373914219161418,0.17606303285033498,validation
37,0.0,0.1530543964910522,0.15520260940022398,validation
38,0.1,0.13483230082550193,0.1368137852374345,validation
39,0.1,0.11877966110501574,0.12060371860582256,validation
40,0.0,0.10463818985367487,0.10631426443109691,validation
41,0.0,0.09218035035604162,0.09371786336428278,test
42,0.1,0.08120569558430166,0.08261391790241422,test
43,0.0,0.07153764299932215,0.07282559787623007,test
44,0.0,0.06302063333207554,0.06419702443231204,test
45,0.0,0.055517627630134486,0.0565907876646214,test
46,0.0,0.04890790229663863,0.0498857583637528,test
47,0.0,0.04308510664384196,0.04397515903604413,test
48,0.0,0.03795555170721681,0.03876486347354992,test
49,0.0,0.03343670278708052,0.0341718977955549,test
50,0.0,0.029455851462692226,0.030123119090735843,test
51,0.0,0.02594894571148543,0.026554050617367268,test
