origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.3,0.8492301502422233,0.5492301502422232,0.5492301502422232
32,32,1,0.2,0.6580019301344491,0.45800193013444906,0.45800193013444906
33,33,1,0.4,0.5110487445434473,0.11104874454344726,0.11104874454344726
34,34,1,0.3,0.4380374272004075,0.13803742720040751,0.13803742720040751
35,35,1,0.3,0.3843713723414069,0.0843713723414069,0.0843713723414069
36,36,1,0.2,0.3529259725230557,0.15292597252305568,0.15292597252305568
37,37,1,0.3,0.31959592122436936,0.019595921224369373,0.019595921224369373
38,38,1,0.2,0.29469926673483415,0.09469926673483414,0.09469926673483414
39,39,1,0.2,0.2715055951004488,0.0715055951004488,0.0715055951004488
40,40,1,0.2,0.2521918982585815,0.052191898258581504,0.052191898258581504
41,41,1,0.1,0.2348035485469667,0.1348035485469667,0.1348035485469667
42,42,1,0.1,0.21962677344316797,0.11962677344316797,0.11962677344316797
43,43,1,0.1,0.206014454105817,0.106014454105817,0.106014454105817
44,44,1,0.1,0.19387917501961618,0.09387917501961618,0.09387917501961618
45,45,1,0.1,0.18295298067217364,0.08295298067217363,0.08295298067217363
46,46,1,0.0,0.17312297452345113,0.17312297452345113,0.17312297452345113
47,47,1,0.1,0.16426524738880227,0.06426524738880227,0.06426524738880227
48,48,1,0.1,0.1563250573817467,0.0563250573817467,0.0563250573817467
49,49,1,0.1,0.14929347079428196,0.04929347079428195,0.04929347079428195
50,50,1,0.1,0.14325222904086768,0.043252229040867674,0.043252229040867674
51,51,1,0.0,0.1384150226890707,0.1384150226890707,0.1384150226890707
31,32,2,0.2,0.7546358750338524,0.5546358750338525,0.5546358750338525
32,33,2,0.4,0.5718725726560423,0.17187257265604228,0.17187257265604228
33,34,2,0.3,0.4710656665755739,0.17106566657557393,0.17106566657557393
34,35,2,0.3,0.4126981548596543,0.11269815485965429,0.11269815485965429
35,36,2,0.2,0.3992621161214755,0.19926211612147549,0.19926211612147549
36,37,2,0.3,0.36040248548946957,0.06040248548946958,0.06040248548946958
37,38,2,0.2,0.3117306942671432,0.11173069426714322,0.11173069426714322
38,39,2,0.2,0.2776313414131576,0.07763134141315758,0.07763134141315758
39,40,2,0.2,0.2587437239291803,0.058743723929180314,0.058743723929180314
40,41,2,0.1,0.2402517080254933,0.1402517080254933,0.1402517080254933
41,42,2,0.1,0.22507464246948455,0.12507464246948455,0.12507464246948455
42,43,2,0.1,0.21091606457612302,0.11091606457612302,0.11091606457612302
43,44,2,0.1,0.19865575539085054,0.09865575539085053,0.09865575539085053
44,45,2,0.1,0.18742931977120353,0.08742931977120352,0.08742931977120352
45,46,2,0.0,0.1774641166026989,0.1774641166026989,0.1774641166026989
46,47,2,0.1,0.16842315990025788,0.06842315990025788,0.06842315990025788
47,48,2,0.1,0.16036594074483534,0.06036594074483534,0.06036594074483534
48,49,2,0.1,0.15319864894697713,0.05319864894697712,0.05319864894697712
49,50,2,0.1,0.14702224489444357,0.047022244894443566,0.047022244894443566
50,51,2,0.0,0.14197626565454827,0.14197626565454827,0.14197626565454827
31,34,4,0.3,0.5005229248961809,0.2005229248961809,0.2005229248961809
32,35,4,0.3,0.39361483876439296,0.09361483876439297,0.09361483876439297
33,36,4,0.2,0.37558273234009104,0.17558273234009103,0.17558273234009103
34,37,4,0.3,0.648777603037724,0.34877760303772404,0.34877760303772404
35,38,4,0.2,0.2995366914834098,0.09953669148340977,0.09953669148340977
36,39,4,0.2,0.2711659438837286,0.0711659438837286,0.0711659438837286
37,40,4,0.2,0.2467684390522898,0.04676843905228978,0.04676843905228978
38,41,4,0.1,0.2263298279831783,0.1263298279831783,0.1263298279831783
39,42,4,0.1,0.2083302066275777,0.1083302066275777,0.1083302066275777
40,43,4,0.1,0.19268279093642465,0.09268279093642465,0.09268279093642465
41,44,4,0.1,0.17892034529934497,0.07892034529934497,0.07892034529934497
42,45,4,0.1,0.16657916491047556,0.06657916491047555,0.06657916491047555
43,46,4,0.0,0.16652163975764694,0.16652163975764694,0.16652163975764694
44,47,4,0.1,0.1579575508156402,0.05795755081564019,0.05795755081564019
45,48,4,0.1,0.14999235261433705,0.04999235261433704,0.04999235261433704
46,49,4,0.1,0.14290619295357346,0.04290619295357345,0.04290619295357345
47,50,4,0.1,0.13677694699176815,0.036776946991768145,0.036776946991768145
48,51,4,0.0,0.13178410782767494,0.13178410782767494,0.13178410782767494
