origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.3,1.3524614927807637,1.0524614927807636,1.0524614927807636
32,32,1,0.2,0.4943619345769594,0.2943619345769594,0.2943619345769594
33,33,1,0.4,0.41952067745517163,0.01952067745517161,0.01952067745517161
34,34,1,0.3,0.36010839240777737,0.06010839240777738,0.06010839240777738
35,35,1,0.3,0.3156047054711908,0.015604705471190805,0.015604705471190805
36,36,1,0.2,0.2875467769585882,0.0875467769585882,0.0875467769585882
37,37,1,0.3,0.24796963705926067,-0.052030362940739316,0.052030362940739316
38,38,1,0.2,0.21383973118811075,0.013839731188110743,0.013839731188110743
39,39,1,0.2,0.18440741195162116,-0.015592588048378847,0.015592588048378847
40,40,1,0.2,0.1590260569884362,-0.04097394301156382,0.04097394301156382
41,41,1,0.1,0.137138137541666,0.037138137541666005,0.037138137541666005
42,42,1,0.1,0.1182628057431765,0.0182628057431765,0.0182628057431765
43,43,1,0.1,0.10198542867761813,0.0019854286776181257,0.0019854286776181257
44,44,1,0.1,0.08794842435684072,-0.012051575643159285,0.012051575643159285
45,45,1,0.1,0.07584343717113057,-0.024156562828869438,0.024156562828869438
46,46,1,0.0,0.06540454772484329,0.06540454772484329,0.06540454772484329
47,47,1,0.1,0.056402439553788083,-0.04359756044621192,0.04359756044621192
48,48,1,0.1,0.04863935753375994,-0.051360642466240065,0.051360642466240065
49,49,1,0.1,0.04194476555089619,-0.058055234449103814,0.058055234449103814
50,50,1,0.1,0.03617159941227059,-0.06382840058772941,0.06382840058772941
51,51,1,0.0,0.031193036534581414,0.031193036534581414,0.031193036534581414
31,32,2,0.2,0.5108377407954207,0.31083774079542065,0.31083774079542065
32,33,2,0.4,0.42750777227970205,0.027507772279702025,0.027507772279702025
33,34,2,0.3,0.36734197239714966,0.06734197239714967,0.06734197239714967
34,35,2,0.3,0.3156436761734065,0.015643676173406507,0.015643676173406507
35,36,2,0.2,0.28265093077144243,0.08265093077144242,0.08265093077144242
36,37,2,0.3,0.24343645396130212,-0.05656354603869787,0.05656354603869787
37,38,2,0.2,0.20966252402422117,0.009662524024221159,0.009662524024221159
38,39,2,0.2,0.1797534700610815,-0.02024652993891851,0.02024652993891851
39,40,2,0.2,0.15480008704667123,-0.045199912953328786,0.045199912953328786
40,41,2,0.1,0.13338066812001909,0.03338066812001908,0.03338066812001908
41,42,2,0.1,0.1150035641670632,0.015003564167063194,0.015003564167063194
42,43,2,0.1,0.09896381025119867,-0.0010361897488013333,0.0010361897488013333
43,44,2,0.1,0.08522159241147981,-0.014778407588520198,0.014778407588520198
44,45,2,0.1,0.07338763326425607,-0.026612366735743936,0.026612366735743936
45,46,2,0.0,0.06319695001854313,0.06319695001854313,0.06319695001854313
46,47,2,0.1,0.05442135566989964,-0.045578644330100365,0.045578644330100365
47,48,2,0.1,0.04682419887304205,-0.05317580112695795,0.05317580112695795
48,49,2,0.1,0.04032107672289517,-0.059678923277104834,0.059678923277104834
49,50,2,0.1,0.03472113281642517,-0.06527886718357484,0.06527886718357484
50,51,2,0.0,0.031000867250980228,0.031000867250980228,0.031000867250980228
31,34,4,0.3,0.20779220946800667,-0.09220779053199332,0.09220779053199332
32,35,4,0.3,0.313533668868159,0.013533668868158988,0.013533668868158988
33,36,4,0.2,0.2659016362110921,0.06590163621109207,0.06590163621109207
34,37,4,0.3,0.22827206460378774,-0.07172793539621225,0.07172793539621225
35,38,4,0.2,0.19596769774234518,-0.0040323022576548295,0.0040323022576548295
36,39,4,0.2,0.16506728648453353,-0.03493271351546648,0.03493271351546648
37,40,4,0.2,0.15611648216720933,-0.04388351783279068,0.04388351783279068
38,41,4,0.1,0.13447188305372115,0.03447188305372115,0.03447188305372115
39,42,4,0.1,0.11167504852828436,0.011675048528284354,0.011675048528284354
40,43,4,0.1,0.10161264767292993,0.0016126476729299288,0.0016126476729299288
41,44,4,0.1,0.08761405497249984,-0.012385945027500164,0.012385945027500164
42,45,4,0.1,0.07554396826002105,-0.024456031739978956,0.024456031739978956
43,46,4,0.0,0.06513670827795118,0.06513670827795118,0.06513670827795118
44,47,4,0.1,0.0561631969201762,-0.04383680307982381,0.04383680307982381
45,48,4,0.1,0.04842591484298259,-0.05157408515701742,0.05157408515701742
46,49,4,0.1,0.04175455381813707,-0.058245446181862934,0.058245446181862934
47,50,4,0.1,0.03600226800461034,-0.06399773199538966,0.06399773199538966
48,51,4,0.0,0.031042479216329775,0.031042479216329775,0.031042479216329775
