origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.3,0.9249999999999999,0.625,0.625
32,32,1,0.2,0.625,0.425,0.425
33,33,1,0.4,0.4,0.0,0.0
34,34,1,0.3,0.32499999999999996,0.024999999999999967,0.024999999999999967
35,35,1,0.3,0.3,0.0,0.0
36,36,1,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
37,37,1,0.3,0.3,0.0,0.0
38,38,1,0.2,0.275,0.07500000000000001,0.07500000000000001
39,39,1,0.2,0.25,0.04999999999999999,0.04999999999999999
40,40,1,0.2,0.22499999999999998,0.024999999999999967,0.024999999999999967
41,41,1,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
42,42,1,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,43,1,0.1,0.15,0.04999999999999999,0.04999999999999999
44,44,1,0.1,0.125,0.024999999999999994,0.024999999999999994
45,45,1,0.1,0.1,0.0,0.0
46,46,1,0.0,0.1,0.1,0.1
47,47,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
48,48,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
49,49,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
50,50,1,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
51,51,1,0.0,0.1,0.1,0.1
31,32,2,0.2,0.9249999999999999,0.7249999999999999,0.7249999999999999
32,33,2,0.4,0.625,0.22499999999999998,0.22499999999999998
33,34,2,0.3,0.4,0.10000000000000003,0.10000000000000003
34,35,2,0.3,0.32499999999999996,0.024999999999999967,0.024999999999999967
35,36,2,0.2,0.3,0.09999999999999998,0.09999999999999998
36,37,2,0.3,0.30000000000000004,5.551115123125783e-17,5.551115123125783e-17
37,38,2,0.2,0.3,0.09999999999999998,0.09999999999999998
38,39,2,0.2,0.275,0.07500000000000001,0.07500000000000001
39,40,2,0.2,0.25,0.04999999999999999,0.04999999999999999
40,41,2,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
41,42,2,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
42,43,2,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,44,2,0.1,0.15,0.04999999999999999,0.04999999999999999
44,45,2,0.1,0.125,0.024999999999999994,0.024999999999999994
45,46,2,0.0,0.1,0.1,0.1
46,47,2,0.1,0.1,0.0,0.0
47,48,2,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
48,49,2,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
49,50,2,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
50,51,2,0.0,0.07500000000000001,0.07500000000000001,0.07500000000000001
31,34,4,0.3,0.9249999999999999,0.625,0.625
32,35,4,0.3,0.625,0.325,0.325
33,36,4,0.2,0.4,0.2,0.2
34,37,4,0.3,0.32499999999999996,0.024999999999999967,0.024999999999999967
35,38,4,0.2,0.3,0.09999999999999998,0.09999999999999998
36,39,4,0.2,0.30000000000000004,0.10000000000000003,0.10000000000000003
37,40,4,0.2,0.3,0.09999999999999998,0.09999999999999998
38,41,4,0.1,0.275,0.17500000000000002,0.17500000000000002
39,42,4,0.1,0.25,0.15,0.15
40,43,4,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
41,44,4,0.1,0.22499999999999998,0.12499999999999997,0.12499999999999997
42,45,4,0.1,0.17500000000000002,0.07500000000000001,0.07500000000000001
43,46,4,0.0,0.15,0.15,0.15
44,47,4,0.1,0.125,0.024999999999999994,0.024999999999999994
45,48,4,0.1,0.1,0.0,0.0
46,49,4,0.1,0.1,0.0,0.0
47,50,4,0.1,0.07500000000000001,-0.024999999999999994,0.024999999999999994
48,51,4,0.0,0.07500000000000001,0.07500000000000001,0.07500000000000001
