round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,random_draw_index,search_name,candidate_budget_requested,candidate_budget_actual,candidate_universe_size,random_repeats,random_seed
14,0,0:SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,0.384527920030719,0.42061259498345016,0.5456316902375284,0.1018071086687586,0.14970229074733335,0.2985831488949676,0.07405628782334174,0.1069545612255313,3,0.06978027761045019,0.054443992152838176,0.027221996076419088,0.07605411888895232,"{'1': {'mae': 0.09801232425926636, 'rmse': 0.14684943836883807, 'smape': 0.29288868971755677}, '2': {'mae': 0.07625507854035286, 'rmse': 0.11843337913546238, 'smape': 0.2529602264855819}, '4': {'mae': 0.047901460670405994, 'rmse': 0.05558086617229344, 'smape': 0.18952804267898518}}",0.015210823777790464,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.22221309746465973,False,True,True,True,True,"{'b0': 0.6474413240915797, 'b1': 1.3148948512750607, 'b2': -2.224459203523725, 'gamma': 0.13780393086050138, 'rho': 13.777236560584369, 'S0': 0.9684530541450636, 'I0': 0.031546945854936455, 'R0': 0.0, 'fractional': 0.0}",14,random_structure_discovery,30,30,44,1,2258
30,0,0:SIR|fractional=0|obs=delayed_I|delay=1,SIR|fractional=0|obs=delayed_I|delay=1,SIR,False,delayed_I,1,delayed,6,3,0.38375526046325403,0.41986422477433294,0.5457928005679041,0.10191821215746828,0.149845268967997,0.2987491966301258,0.07413356577592016,0.10705000567996364,3,0.06984306966361749,0.054560379232588295,0.027280189616294147,0.07611382901967766,"{'1': {'mae': 0.09812033055591139, 'rmse': 0.14698559599875416, 'smape': 0.29302935823389675}, '2': {'mae': 0.07634609041690249, 'rmse': 0.11853966113207179, 'smape': 0.2530724035037786}, '4': {'mae': 0.047934276354946605, 'rmse': 0.055624759909064944, 'smape': 0.18950416030384526}}",0.015222765803935532,0.125,0.06,0.06,0.0,0.0,0.0,0.005,0.0,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.22734602508384716,False,True,True,True,True,"{'b0': 0.6954936166935665, 'b1': 1.518316240233582, 'b2': -2.0697066857133577, 'gamma': 0.13777705252295203, 'rho': 13.710746359547281, 'S0': 0.9677516932691392, 'I0': 0.03224830673086073, 'R0': 0.0, 'fractional': 0.0}",30,random_structure_discovery,30,30,44,1,2258
4,0,0:SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.4722040409735019,0.4111070673126821,0.5558603389115209,0.1025044237894375,0.15060344002581305,0.29963482249460216,0.07460379100313079,0.10760612793583557,3,0.07022056212128244,0.055315335418821,0.0276576677094105,0.076445081429415,"{'1': {'mae': 0.09881736734405512, 'rmse': 0.14780571978101367, 'smape': 0.2937680537979269}, '2': {'mae': 0.07687519389384473, 'rmse': 0.11913522530460756, 'smape': 0.2535400806859235}, '4': {'mae': 0.04811881177149253, 'rmse': 0.05587743872188552, 'smape': 0.1891856585820501}}",0.015289016285883,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.26816724611657594,False,True,True,True,True,"{'b0': 0.9557125686425249, 'b1': 2.24615356246158, 'b2': -2.2736738247695887, 'sigma': 0.9849576527697406, 'gamma': 0.13765412726051796, 'rho': 13.811331350198714, 'S0': 0.9630568917227805, 'E0': 0.0191526951467291, 'I0': 0.0177904131304904, 'R0': 0.0, 'fractional': 0.0}",4,random_structure_discovery,30,30,44,1,2258
25,0,0:SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,0.4673878098255478,0.40782270484843347,0.5556603499981188,0.10295210429951869,0.15118326659471787,0.30029714721459283,0.07624015269581609,0.11165860383691086,3,0.0718011333792017,0.05778129436104293,0.028890647180521464,0.08034644267369452,"{'1': {'mae': 0.09925154418655571, 'rmse': 0.1483481043952847, 'smape': 0.2943637552975511}, '2': {'mae': 0.08118303961397798, 'rmse': 0.13050730665165852, 'smape': 0.259675059856323}, '4': {'mae': 0.048285874286914617, 'rmse': 0.05612040046378935, 'smape': 0.18925057849300742}}",0.016069288534738903,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.2767610690944621,False,True,True,True,True,"{'b0': 1.0486633270458845, 'b1': 2.399265715885453, 'b2': -2.0267113827548195, 'sigma': 0.9847797383539856, 'gamma': 0.13754164387352072, 'rho': 13.744923417371075, 'S0': 0.960581132161985, 'E0': 0.020759541951434528, 'I0': 0.018659325886580484, 'R0': 0.0, 'fractional': 0.0}",25,random_structure_discovery,30,30,44,1,2258
21,0,0:SEIAR|fractional=0|obs=I,SEIAR|fractional=0|obs=I,SEIAR,False,I,0,infectious,11,5,0.5116626517126729,0.41278812514866187,0.5553269255666894,0.10351362107848275,0.1519137244520178,0.30112628092533145,0.07282399131782272,0.10324590148832881,3,0.0687347126298927,0.05205702417031496,0.02602851208515748,0.07216407093215589,"{'1': {'mae': 0.09230237342221323, 'rmse': 0.1331888861996553, 'smape': 0.2834727910870754}, '2': {'mae': 0.07765270875640756, 'rmse': 0.12009982830440905, 'smape': 0.2546141552570612}, '4': {'mae': 0.04851689177484735, 'rmse': 0.056448989960922104, 'smape': 0.1894661419844119}}",0.014432814186431178,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3191960389014814,False,True,True,True,True,"{'b0': 0.9389923817061662, 'b1': 2.60479328116088, 'b2': -2.41815956169702, 'sigma': 0.9851984931769031, 'p_asym': 0.03695118378001273, 'gamma_i': 0.13740285089710721, 'gamma_a': 0.7960336512764083, 'rho': 15.348703672341347, 'S0': 0.9015590541420109, 'E0': 0.01726184909524848, 'I0': 0.015986372719799673, 'A0': 0.06519272404294095, 'R0': 0.0, 'fractional': 0.0}",21,random_structure_discovery,30,30,44,1,2258
28,0,0:SEIAR|fractional=0|obs=delayed_I|delay=1,SEIAR|fractional=0|obs=delayed_I|delay=1,SEIAR,False,delayed_I,1,delayed,11,5,0.5086383598257451,0.4066066069548515,0.5546734504744363,0.10393787355684465,0.15246794206544573,0.3017516211279767,0.07439757224676741,0.10706233417480958,3,0.07011566944581991,0.05681503120717249,0.028407515603586245,0.07572742515876414,"{'1': {'mae': 0.10024080292053701, 'rmse': 0.1495784071040541, 'smape': 0.295802250537367}, '2': {'mae': 0.07801287820162381, 'rmse': 0.12052385338506799, 'smape': 0.2551111780407401}, '4': {'mae': 0.04493903561814138, 'rmse': 0.05108474203530663, 'smape': 0.17985876479941149}}",0.01514548503175283,0.21500000000000002,0.11,0.1,0.0,0.0,0.0,0.005,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.328668670081159,False,True,True,True,True,"{'b0': 1.0333005504928328, 'b1': 2.7736292513721605, 'b2': -2.172041606708553, 'sigma': 0.9850467669487969, 'p_asym': 0.03695370269142537, 'gamma_i': 0.13729977962199497, 'gamma_a': 0.7916141856378294, 'rho': 15.177215418212691, 'S0': 0.9055604465148117, 'E0': 0.018584799294735093, 'I0': 0.016775692484012828, 'A0': 0.05907906170644038, 'R0': 0.0, 'fractional': 0.0}",28,random_structure_discovery,30,30,44,1,2258
19,0,0:SEIHR|fractional=0|obs=delayed_I|delay=2,SEIHR|fractional=0|obs=delayed_I|delay=2,SEIHR,False,delayed_I,2,delayed,11,5,0.48622219629782587,0.41246025388311996,0.5585164624732175,0.10484968745591979,0.15366282433065953,0.3030645789847829,0.07346180630496164,0.10486532980711534,3,0.06935047656477153,0.05531163716360786,0.02765581858180393,0.07360380203214353,"{'1': {'mae': 0.09700920299858029, 'rmse': 0.14245942691802904, 'smape': 0.290978897415184}, '2': {'mae': 0.07872649911125082, 'rmse': 0.12142879496012761, 'smape': 0.2562094213741204}, '4': {'mae': 0.0446497168050538, 'rmse': 0.05070776754318942, 'smape': 0.17849864284654643}}",0.014720760406428708,0.22000000000000003,0.11,0.1,0.0,0.0,0.0,0.01,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3317270555530042,False,True,True,True,True,"{'b0': 1.4260198767167263, 'b1': 2.5872399733812252, 'b2': -1.797643231403661, 'sigma': 0.9838503861638375, 'eta': 0.0685502823559196, 'gamma_i': 0.06848848148210973, 'gamma_h': 0.49988799783791643, 'rho': 15.450351953726928, 'S0': 0.8457885894255234, 'E0': 0.018624177049192638, 'I0': 0.017352629888838896, 'H0': 0.11823460363644506, 'R0': 0.0, 'fractional': 0.0}",19,random_structure_discovery,30,30,44,1,2258
22,0,0:SEIHR|fractional=0|obs=I,SEIHR|fractional=0|obs=I,SEIHR,False,I,0,infectious,11,5,0.49683925997447065,0.41037247704594493,0.5562018616681892,0.10376586341182133,0.15224109669427704,0.301482068134896,0.08214802171426328,0.11836219778258299,3,0.07613699679792088,0.058284239714841125,0.029142119857420563,0.08452838726192247,"{'1': {'mae': 0.09997859004705631, 'rmse': 0.1492449410597185, 'smape': 0.2955019702234993}, '2': {'mae': 0.07782995057416042, 'rmse': 0.12032146755274678, 'smape': 0.2549309651510033}, '4': {'mae': 0.06863552452157311, 'rmse': 0.08552018473528364, 'smape': 0.2387379764328586}}",0.016905677452384495,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.33218479410772594,False,True,True,True,True,"{'b0': 1.1984355369613622, 'b1': 2.3750594036774544, 'b2': -2.38226148970772, 'sigma': 0.9844688781031022, 'eta': 0.06765582340385196, 'gamma_i': 0.06965961785825296, 'gamma_h': 0.5014541466733582, 'rho': 15.587692068048742, 'S0': 0.8519845875490991, 'E0': 0.016438030518804686, 'I0': 0.015268885631338406, 'H0': 0.1163084963007578, 'R0': 0.0, 'fractional': 0.0}",22,random_structure_discovery,30,30,44,1,2258
18,0,0:SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.35787986811865113,0.26049272678027496,0.37008429995232256,0.09810746415328367,0.11583726233292545,0.38735971435402516,0.09141307916134316,0.09822655521379646,3,0.09147209453310642,0.010951625757922072,0.005475812878961036,0.03594119383366217,"{'1': {'mae': 0.09453167195280088, 'rmse': 0.10189548686116184, 'smape': 0.40583084077881876}, '2': {'mae': 0.08923315502075517, 'rmse': 0.09578853894282141, 'smape': 0.4108786899202459}, '4': {'mae': 0.09047441051047338, 'rmse': 0.09699563983740614, 'smape': 0.4594531013970089}}",0.007188238766732434,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,0.015,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.33413614617879994,False,True,True,True,True,"{'b0': -0.26034085145173014, 'b1': 3.649309919531811, 'b2': 0.7531080844068442, 'sigma': 0.9688908753650902, 'gamma': 0.6214807676629145, 'omega': 0.09164302113011367, 'rho': 32.9097179611543, 'alpha': 0.8750981615240774, 'S0': 0.9797213629936833, 'E0': 0.008450980445856885, 'I0': 0.01182765656045985, 'R0': 0.0, 'fractional': 1.0}",18,random_structure_discovery,30,30,44,1,2258
11,0,0:SEIHR|fractional=0|obs=H,SEIHR|fractional=0|obs=H,SEIHR,False,H,0,hospitalized,11,5,0.5785595263274347,0.41437720869904776,0.5478461347802452,0.10890632396232262,0.15908755499315771,0.30881905389683817,0.07794385949420028,0.11169202479805722,3,0.07312323174390542,0.06103595355163046,0.03051797677581523,0.07883376021547385,"{'1': {'mae': 0.10468558133809154, 'rmse': 0.15534530622646778, 'smape': 0.30310666502237077}, '2': {'mae': 0.08189776626201467, 'rmse': 0.12548146123110232, 'smape': 0.2617695343901039}, '4': {'mae': 0.04724823088249465, 'rmse': 0.05424930693660157, 'smape': 0.1837196028769254}}",0.01576675204309477,0.21500000000000002,0.11,0.1,0.0,0.0,0.005,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.33440796056281546,False,True,True,True,True,"{'b0': 3.2653939991608527, 'b1': 3.3914591593732824, 'b2': -2.1649933664654686, 'sigma': 0.9815491054122716, 'eta': 0.883427462697534, 'gamma_i': 0.17715268291103148, 'gamma_h': 0.13590746090757355, 'rho': 16.33946073811989, 'S0': 0.957880455928254, 'E0': 0.007575807072613096, 'I0': 0.006826410004499138, 'H0': 0.02771732699463359, 'R0': 0.0, 'fractional': 0.0}",11,random_structure_discovery,30,30,44,1,2258
