t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.2,0.2,0.2,train
1,0.3,0.2,0.2,train
2,0.4,0.25,0.25,train
3,0.3,0.3,0.3,train
4,0.6,0.3,0.3,train
5,1.0,0.4,0.4,train
6,1.3,0.575,0.575,train
7,1.8,0.8,0.8,train
8,2.7,1.175,1.175,train
9,3.7,1.7,1.7,train
10,4.7,2.375,2.375,train
11,9.3,3.2249999999999996,3.2249999999999996,train
12,11.4,5.1000000000000005,5.1000000000000005,train
13,8.9,7.275,7.275,train
14,7.3,8.575,8.575,train
15,5.1,9.225,9.225,train
16,4.6,8.175,8.175,train
17,4.1,6.475,6.475,train
18,4.0,5.275,5.275,train
19,3.7,4.449999999999999,4.449999999999999,train
20,3.6,4.1,4.1,train
21,3.3,3.85,3.85,train
22,2.9,3.6500000000000004,3.6500000000000004,train
23,2.1,3.3750000000000004,3.3750000000000004,train
24,2.1,2.975,2.975,train
25,1.8,2.5999999999999996,2.5999999999999996,train
26,1.9,2.225,2.225,train
27,1.5,1.975,1.975,train
28,1.1,1.8250000000000002,1.8250000000000002,train
29,0.7,1.5750000000000002,1.5750000000000002,train
30,0.4,1.3,1.3,train
31,0.3,0.9249999999999999,0.9249999999999999,validation
32,0.2,0.625,0.9249999999999999,validation
33,0.4,0.4,0.9249999999999999,validation
34,0.3,0.32499999999999996,0.9249999999999999,validation
35,0.3,0.3,0.9249999999999999,validation
36,0.2,0.30000000000000004,0.9249999999999999,validation
37,0.3,0.3,0.9249999999999999,validation
38,0.2,0.275,0.9249999999999999,validation
39,0.2,0.25,0.9249999999999999,validation
40,0.2,0.22499999999999998,0.9249999999999999,validation
41,0.1,0.22499999999999998,0.22499999999999998,test
42,0.1,0.17500000000000002,0.22499999999999998,test
43,0.1,0.15,0.22499999999999998,test
44,0.1,0.125,0.22499999999999998,test
45,0.1,0.1,0.22499999999999998,test
46,0.0,0.1,0.22499999999999998,test
47,0.1,0.07500000000000001,0.22499999999999998,test
48,0.1,0.07500000000000001,0.22499999999999998,test
49,0.1,0.07500000000000001,0.22499999999999998,test
50,0.1,0.07500000000000001,0.22499999999999998,test
51,0.0,0.1,0.22499999999999998,test
