t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.1,0.1,train
1,0.1,0.1,0.1,train
2,0.1,0.1,0.1,train
3,0.2,0.1,0.1,train
4,0.2,0.2,0.2,train
5,0.6,0.2,0.2,train
6,0.7,0.6,0.6,train
7,0.6,0.7,0.7,train
8,0.9,0.6,0.6,train
9,1.3,0.9,0.9,train
10,1.7,1.3,1.3,train
11,2.7,1.7,1.7,train
12,2.2,2.7,2.7,train
13,1.8,2.2,2.2,train
14,1.7,1.8,1.8,train
15,1.4,1.7,1.7,train
16,1.9,1.4,1.4,train
17,1.9,1.9,1.9,train
18,1.7,1.9,1.9,train
19,1.7,1.7,1.7,train
20,1.7,1.7,1.7,train
21,1.5,1.7,1.7,train
22,1.6,1.5,1.5,train
23,1.1,1.6,1.6,train
24,1.2,1.1,1.1,train
25,0.7,1.2,1.2,train
26,0.7,0.7,0.7,train
27,0.4,0.7,0.7,train
28,0.3,0.4,0.4,train
29,0.2,0.3,0.3,train
30,0.1,0.2,0.2,train
31,0.2,0.1,0.1,validation
32,0.2,0.2,0.1,validation
33,0.1,0.2,0.1,validation
34,0.0,0.1,0.1,validation
35,0.1,0.0,0.1,validation
36,0.1,0.1,0.1,validation
37,0.0,0.1,0.1,validation
38,0.1,0.0,0.1,validation
39,0.0,0.1,0.1,validation
40,0.0,0.0,0.1,validation
41,0.0,0.0,0.0,test
42,0.0,0.0,0.0,test
43,0.0,0.0,0.0,test
44,0.0,0.0,0.0,test
45,0.0,0.0,0.0,test
46,0.0,0.0,0.0,test
47,0.0,0.0,0.0,test
48,0.0,0.0,0.0,test
49,0.0,0.0,0.0,test
50,0.0,0.0,0.0,test
51,0.0,0.0,0.0,test
