t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.24880429275933155,0.22747849582250668,train
1,0.1,0.24880429275933155,0.22747849582250668,train
2,0.1,0.41542855875134893,0.37840786293130996,train
3,0.2,0.4475172650730368,0.40227939683256386,train
4,0.2,0.5464074452765382,0.5012540477916003,train
5,0.6,0.659889953892911,0.611188335268827,train
6,0.7,0.8130879735372945,0.7685289485514665,train
7,0.6,0.9996093221464739,0.9634514338916769,train
8,0.9,1.2160707378296327,1.1975324920509525,train
9,1.3,1.4435323493221353,1.4486599702602079,train
10,1.7,1.6531021825671754,1.6824685428897328,train
11,2.7,1.811806675659698,1.8551959625391772,train
12,2.2,1.8994636874572592,1.9404158932182305,train
13,1.8,1.9198663465648766,1.9464268586544966,train
14,1.7,1.8951940807708934,1.9071316925062265,train
15,1.4,1.8486491444870723,1.853299514286801,train
16,1.9,1.7931908936682006,1.7978745483793057,train
17,1.9,1.731834244771934,1.7403165092236144,train
18,1.7,1.6627616449302784,1.6755727505335467,train
19,1.7,1.5833764623045428,1.599303548032696,train
20,1.7,1.4920879977819024,1.509321999154074,train
21,1.5,1.3886987856915105,1.4053488269839463,train
22,1.6,1.2743092373927867,1.2885445047957376,train
23,1.1,1.1511532548535595,1.161271937083949,train
24,1.2,1.0224136466465663,1.0269820132326097,train
25,0.7,0.891948929607422,0.8900024720778189,train
26,0.7,0.7638989225218363,0.7551229542149683,train
27,0.4,0.642214843312226,0.6270197339303608,train
28,0.3,0.53021262329387,0.5096624515242127,train
29,0.2,0.4302509942984512,0.4058629662840226,train
30,0.1,0.3435952766134007,0.3170719425558983,train
31,0.2,0.27046888606359604,0.24343864827384173,validation
32,0.2,0.21024521598201745,0.18406948622947006,validation
33,0.1,0.16170946342919337,0.13738177495961876,validation
34,0.0,0.12332400987502146,0.10145497009219373,validation
35,0.1,0.09345185626903257,0.0743149273924693,validation
36,0.1,0.07051753779799358,0.05412591532864143,validation
37,0.0,0.05310490533036648,0.03929481818067315,validation
38,0.1,0.04000278989816486,0.02850750286075864,validation
39,0.0,0.030213677092666397,0.020721002296976602,validation
40,0.0,0.022939719525128435,0.015131924205934165,validation
41,0.0,0.017557325232309174,0.011135704387539748,test
42,0.0,0.013588004728092669,0.008285682960625389,test
43,0.0,0.01067009482251714,0.006256640038646901,test
44,0.0,0.008533726224503333,0.004814564027818621,test
45,0.0,0.006979937109210362,0.003792779311194205,test
46,0.0,0.005863988656214203,0.003073758873140909,test
47,0.0,0.005082522742256983,0.0025756649926088654,test
48,0.0,0.004564060184788767,0.002242662834371757,test
49,0.0,0.004262359974695478,0.002038190080130457,test
50,0.0,0.004152278287602883,0.0019405591765922817,test
51,0.0,0.004227947002940583,0.0019404805426007602,test
