origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.2,0.3974205448345442,0.1974205448345442,0.1974205448345442
32,32,1,0.2,0.33935252453972614,0.13935252453972613,0.13935252453972613
33,33,1,0.1,0.2922221736882691,0.19222217368826908,0.19222217368826908
34,34,1,0.0,0.24876608558867813,0.24876608558867813,0.24876608558867813
35,35,1,0.1,0.2109539696374452,0.1109539696374452,0.1109539696374452
36,36,1,0.1,0.18033354509799854,0.08033354509799853,0.08033354509799853
37,37,1,0.0,0.15497213493806375,0.15497213493806375,0.15497213493806375
38,38,1,0.1,0.10720769317053225,0.007207693170532242,0.007207693170532242
39,39,1,0.0,0.09238048947816456,0.09238048947816456,0.09238048947816456
40,40,1,0.0,0.07916329145880395,0.07916329145880395,0.07916329145880395
41,41,1,0.0,0.06715086738199182,0.06715086738199182,0.06715086738199182
42,42,1,0.0,0.057993413270773,0.057993413270773,0.057993413270773
43,43,1,0.0,0.05065904257850229,0.05065904257850229,0.05065904257850229
44,44,1,0.0,0.044342234601446935,0.044342234601446935,0.044342234601446935
45,45,1,0.0,0.039718381730527975,0.039718381730527975,0.039718381730527975
46,46,1,0.0,0.036779398584092786,0.036779398584092786,0.036779398584092786
47,47,1,0.0,0.03286508061349155,0.03286508061349155,0.03286508061349155
48,48,1,0.0,0.030392550171312583,0.030392550171312583,0.030392550171312583
49,49,1,0.0,0.02851447329924916,0.02851447329924916,0.02851447329924916
50,50,1,0.0,0.02678030194166041,0.02678030194166041,0.02678030194166041
51,51,1,0.0,0.02625893349291673,0.02625893349291673,0.02625893349291673
31,32,2,0.2,0.34029729879386944,0.14029729879386943,0.14029729879386943
32,33,2,0.1,0.29276096419121306,0.19276096419121305,0.19276096419121305
33,34,2,0.0,0.2506374459669328,0.2506374459669328,0.2506374459669328
34,35,2,0.1,0.21319745146101562,0.11319745146101562,0.11319745146101562
35,36,2,0.1,0.1794446432520444,0.0794446432520444,0.0794446432520444
36,37,2,0.0,0.1536230651064524,0.1536230651064524,0.1536230651064524
37,38,2,0.1,0.13152287344203722,0.03152287344203722,0.03152287344203722
38,39,2,0.0,0.1119029320698233,0.1119029320698233,0.1119029320698233
39,40,2,0.0,0.09613890542921238,0.09613890542921238,0.09613890542921238
40,41,2,0.0,0.08199798622777457,0.08199798622777457,0.08199798622777457
41,42,2,0.0,0.06998491258145517,0.06998491258145517,0.06998491258145517
42,43,2,0.0,0.05963207158852052,0.05963207158852052,0.05963207158852052
43,44,2,0.0,0.05092268804263967,0.05092268804263967,0.05092268804263967
44,45,2,0.0,0.043509729758545626,0.043509729758545626,0.043509729758545626
45,46,2,0.0,0.03714261458350156,0.03714261458350156,0.03714261458350156
46,47,2,0.0,0.03172182096005215,0.03172182096005215,0.03172182096005215
47,48,2,0.0,0.027017422724666177,0.027017422724666177,0.027017422724666177
48,49,2,0.0,0.023050435254752432,0.023050435254752432,0.023050435254752432
49,50,2,0.0,0.019672882793953034,0.019672882793953034,0.019672882793953034
50,51,2,0.0,0.016775925079637516,0.016775925079637516,0.016775925079637516
31,34,4,0.0,0.26624670036762793,0.26624670036762793,0.26624670036762793
32,35,4,0.1,0.22265053971584767,0.12265053971584766,0.12265053971584766
33,36,4,0.1,0.19001290970690765,0.09001290970690765,0.09001290970690765
34,37,4,0.0,0.16042270821141075,0.16042270821141075,0.16042270821141075
35,38,4,0.1,0.1343375476872446,0.03433754768724459,0.03433754768724459
36,39,4,0.0,0.11460932185920156,0.11460932185920156,0.11460932185920156
37,40,4,0.0,0.09802575459110993,0.09802575459110993,0.09802575459110993
38,41,4,0.0,0.08288222536009691,0.08288222536009691,0.08288222536009691
39,42,4,0.0,0.07111858140900384,0.07111858140900384,0.07111858140900384
40,43,4,0.0,0.0604846776005331,0.0604846776005331,0.0604846776005331
41,44,4,0.0,0.051504178861079455,0.051504178861079455,0.051504178861079455
42,45,4,0.0,0.04388203521650639,0.04388203521650639,0.04388203521650639
43,46,4,0.0,0.03733610259364935,0.03733610259364935,0.03733610259364935
44,47,4,0.0,0.03183108249172145,0.03183108249172145,0.03183108249172145
45,48,4,0.0,0.02715252579446532,0.02715252579446532,0.02715252579446532
46,49,4,0.0,0.023131534636876457,0.023131534636876457,0.023131534636876457
47,50,4,0.0,0.019744284963625156,0.019744284963625156,0.019744284963625156
48,51,4,0.0,0.016823077979106944,0.016823077979106944,0.016823077979106944
