t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.1,0.1,train
1,0.1,0.1,0.1,train
2,0.1,0.1,0.1,train
3,0.2,0.10000000000000002,0.10000000000000002,train
4,0.2,0.125,0.125,train
5,0.6,0.15000000000000002,0.15000000000000002,train
6,0.7,0.275,0.275,train
7,0.6,0.425,0.425,train
8,0.9,0.525,0.525,train
9,1.3,0.7,0.7,train
10,1.7,0.875,0.875,train
11,2.7,1.125,1.125,train
12,2.2,1.6500000000000001,1.6500000000000001,train
13,1.8,1.975,1.975,train
14,1.7,2.1,2.1,train
15,1.4,2.1,2.1,train
16,1.9,1.775,1.775,train
17,1.9,1.7000000000000002,1.7000000000000002,train
18,1.7,1.725,1.725,train
19,1.7,1.7249999999999999,1.7249999999999999,train
20,1.7,1.8,1.8,train
21,1.5,1.75,1.75,train
22,1.6,1.65,1.65,train
23,1.1,1.625,1.625,train
24,1.2,1.475,1.475,train
25,0.7,1.35,1.35,train
26,0.7,1.1500000000000001,1.1500000000000001,train
27,0.4,0.925,0.925,train
28,0.3,0.7499999999999999,0.7499999999999999,train
29,0.2,0.5249999999999999,0.5249999999999999,train
30,0.1,0.4,0.4,train
31,0.2,0.24999999999999997,0.24999999999999997,validation
32,0.2,0.2,0.24999999999999997,validation
33,0.1,0.175,0.24999999999999997,validation
34,0.0,0.15,0.24999999999999997,validation
35,0.1,0.125,0.24999999999999997,validation
36,0.1,0.1,0.24999999999999997,validation
37,0.0,0.07500000000000001,0.24999999999999997,validation
38,0.1,0.05,0.24999999999999997,validation
39,0.0,0.07500000000000001,0.24999999999999997,validation
40,0.0,0.05,0.24999999999999997,validation
41,0.0,0.025,0.025,test
42,0.0,0.025,0.025,test
43,0.0,0.0,0.025,test
44,0.0,0.0,0.025,test
45,0.0,0.0,0.025,test
46,0.0,0.0,0.025,test
47,0.0,0.0,0.025,test
48,0.0,0.0,0.025,test
49,0.0,0.0,0.025,test
50,0.0,0.0,0.025,test
51,0.0,0.0,0.025,test
